region,rtpp_intersubject_cov
MST_R,1.3990485376476105
V6_R,1.341705754465425
V2_R,1.0658165982905663
V3_R,1.0466090508330894
V4_R,1.1055464828828103
V8_R,1.5852599412610624
4_R,0.8954286515264664
3b_R,1.309853104383106
FEF_R,1.2596373945076151
PEF_R,1.4768309395755357
55b_R,1.3054519121030546
V3A_R,1.145498750888556
RSC_R,1.4460028213272456
POS2_R,1.1713081631159352
V7_R,1.3693778809332462
IPS1_R,1.326463469527704
FFC_R,1.398238828485698
V3B_R,1.5085426465283045
LO1_R,1.556613117930369
LO2_R,1.4430584902843138
PIT_R,1.3903411880906311
MT_R,1.355747228861346
A1_R,1.5023701038692303
PSL_R,1.2881674271928294
SFL_R,1.3440844173316828
PCV_R,1.2484537561796731
STV_R,1.338524143978454
7Pm_R,1.5935044070036046
7m_R,1.2220595335362376
POS1_R,1.170165999439855
23d_R,1.5775451803491842
v23ab_R,1.541735791128159
d23ab_R,1.3080651118820883
31pv_R,1.2631124908965687
5m_R,1.581241635957824
5mv_R,1.3993186499371726
23c_R,1.110029575087806
5L_R,1.47901413534061
24dd_R,1.1430193260023795
24dv_R,1.3779436991868503
7AL_R,1.5263361209904944
SCEF_R,1.2558379746917523
6ma_R,1.2366793475125486
7Am_R,1.3719212794155822
7Pl_R,1.8029988260327967
7PC_R,1.5644523362840068
LIPv_R,1.606020601165563
VIP_R,1.693212272442426
MIP_R,1.369172559663849
1_R,1.258972916856407
2_R,1.2460084162497962
3a_R,1.3982221284399432
6d_R,1.2753843374328142
6mp_R,1.1532041265128503
6v_R,1.495344165155207
p24pr_R,1.591802220298829
33pr_R,1.8476147537607488
a24pr_R,1.562249178453798
p32pr_R,1.438682209547188
a24_R,1.6640117979140645
d32_R,1.6332778468985634
8BM_R,1.4425849205012866
p32_R,1.811600028406724
10r_R,1.561861571382866
47m_R,1.7390179214366557
8Av_R,1.3089624738224253
8Ad_R,1.4970615784099517
9m_R,1.5210862284083788
8BL_R,1.4538516438165636
9p_R,1.604663566448097
10d_R,1.4468855723295724
8C_R,1.360842080427378
44_R,1.3156172802528934
45_R,1.6145661698056135
47l_R,1.581729140333745
a47r_R,1.4878735386941828
6r_R,1.1720281565568604
IFJa_R,1.6203484294697936
IFJp_R,1.7101627781799276
IFSp_R,1.5999510718448635
IFSa_R,1.6563220129576957
p9-46v_R,1.3591893077594
46_R,1.2970813182520948
a9-46v_R,1.7597287894497395
9-46d_R,1.3710416797450808
9a_R,1.3747256465175015
10v_R,1.391539956573411
a10p_R,1.492237922247207
10pp_R,1.7352690344672923
11l_R,1.323220849631791
13l_R,1.665304611278032
OFC_R,1.4846243742589351
47s_R,1.7480173043689904
LIPd_R,1.6737415588871092
6a_R,1.2499559041516612
i6-8_R,1.4965858984616072
s6-8_R,1.4382998564158609
43_R,1.3466446043424107
OP4_R,1.3155689604437428
OP1_R,1.5361421756660547
OP2-3_R,1.3403025082565323
52_R,1.4004713203877337
RI_R,1.3366177013215297
PFcm_R,1.2740752105689088
PoI2_R,1.5135755932200234
TA2_R,1.5629169333132586
FOP4_R,1.2800050605169022
MI_R,1.329002312738979
Pir_R,1.549648590828038
AVI_R,1.5675097858342046
AAIC_R,1.7176599010677172
FOP1_R,1.5017969886056255
FOP3_R,1.351097306357569
FOP2_R,1.34705579982337
PFt_R,1.4127809977701211
AIP_R,1.519879383565686
EC_R,1.525740048561482
PreS_R,1.509245961750427
H_R,1.3247022106297273
ProS_R,1.4127072958108695
PeEc_R,1.200333571114362
STGa_R,1.786657510666313
PBelt_R,1.2973686436607526
A5_R,1.447108701233357
PHA1_R,1.420745567916393
PHA3_R,1.7508695868870117
STSda_R,1.3908243472797148
STSdp_R,1.3927366526864338
STSvp_R,1.4755158842825278
TGd_R,1.2460854941291777
TE1a_R,1.559709546438119
TE1p_R,1.403390907587437
TE2a_R,1.393248848393612
TF_R,1.3494873014375872
TE2p_R,1.628442730471999
PHT_R,1.4054740746295196
PH_R,1.456617295762484
TPOJ1_R,1.1413466851668532
TPOJ2_R,1.3382070978785805
TPOJ3_R,1.1896844244528049
DVT_R,1.3449577905825083
PGp_R,1.102701486947447
IP2_R,1.5494205299288322
IP1_R,1.4982253281505618
IP0_R,1.6070398896450857
PFop_R,1.3587753182967657
PF_R,1.1911174892865606
PFm_R,1.165251159459494
PGi_R,1.0472779741162532
PGs_R,1.1861761845878325
V6A_R,1.6358970098117616
VMV1_R,1.229799507209952
VMV3_R,1.7835309028223598
PHA2_R,1.558960265077843
V4t_R,1.4968629611646165
FST_R,1.509296025760477
V3CD_R,1.263900283786909
LO3_R,1.3901046928678191
VMV2_R,1.6722159931377207
31pd_R,1.3556837387002498
31a_R,1.3447618037520097
VVC_R,1.3704873828134103
25_R,1.5813957856412282
s32_R,1.8418046887276984
pOFC_R,1.650749179476493
PoI1_R,1.4170200827616446
Ig_R,1.2624886625976517
FOP5_R,1.476083105493877
p10p_R,1.4277795756004166
p47r_R,1.5623650708681018
TGv_R,1.3159263863947273
MBelt_R,1.2838628686879043
LBelt_R,1.4366524047228642
A4_R,1.3331218872288086
STSva_R,1.734661524927712
TE1m_R,1.6838902998779686
PI_R,1.644311969718124
a32pr_R,1.532236755340683
p24_R,1.5206188583160254
