region,rtop_intersubject_cov
TF_L,4.989821926680267
TE2p_L,5.546954294436545
PHT_L,4.834006511113502
PH_L,5.368818230585661
TPOJ1_L,6.0202726002023565
TPOJ2_L,5.652913128980527
TPOJ3_L,5.647235435426527
DVT_L,4.618205281763313
PGp_L,4.497095757508662
IP2_L,4.988604633043198
IP1_L,5.465066066037271
IP0_L,5.605822807422848
PFop_L,5.238507913586202
PF_L,4.338833450807702
PFm_L,4.298875333458759
PGi_L,4.837993981786117
PGs_L,4.3051198541216555
V6A_L,6.632547488773547
VMV1_L,7.0910822822605555
VMV3_L,6.3312125503535235
PHA2_L,5.6428695752373015
V4t_L,6.007732509097201
FST_L,5.667587978792291
V3CD_L,5.05392128991918
LO3_L,5.811991964168095
VMV2_L,7.018208762165444
31pd_L,4.497076591481163
31a_L,6.052775226298746
VVC_L,5.620986248721178
25_L,6.210982659008304
s32_L,6.82460597334964
pOFC_L,6.2478663740444125
PoI1_L,4.798263727603621
Ig_L,5.647650860927788
FOP5_L,5.341045506154572
p10p_L,5.00927011769402
p47r_L,5.2205076700247615
TGv_L,6.172319286705054
MBelt_L,5.177591601978036
LBelt_L,5.710307292358178
A4_L,4.907706055606498
STSva_L,4.139448729890672
TE1m_L,6.394547552648246
PI_L,4.295136510258455
a32pr_L,5.966824755636603
p24_L,6.96692123921255
V1_R,4.185343185316086
MST_R,5.402314892428517
V6_R,4.907067943541758
V2_R,4.013435659497048
V3_R,3.818010659784937
V4_R,4.1208271208253695
V8_R,5.800053949314618
4_R,4.050697470361304
3b_R,4.359263530844492
FEF_R,5.1346518698014405
PEF_R,6.071903555493155
55b_R,5.596541457051466
V3A_R,4.663984482692369
RSC_R,5.180303735324779
POS2_R,4.82565809985249
V7_R,5.688436070604246
IPS1_R,5.53881098306527
FFC_R,5.418454476506416
V3B_R,6.157453113447836
LO1_R,5.7288755265770845
LO2_R,5.610043723294066
PIT_R,5.1110781573824955
MT_R,5.309360932022561
A1_R,5.998864905209492
PSL_R,5.319011795415312
SFL_R,4.8383324804980195
PCV_R,4.40429918834884
STV_R,5.4699471626968625
7Pm_R,6.20095604359479
7m_R,4.547961238740389
POS1_R,4.857034860340987
23d_R,5.742929626474045
v23ab_R,6.226637663023736
d23ab_R,5.563261356862502
31pv_R,4.645056278293102
5m_R,6.342873376003129
5mv_R,4.368417281404672
23c_R,3.722557433954661
5L_R,5.238234915120516
24dd_R,4.16725541465372
24dv_R,4.537374231525408
7AL_R,6.028229655645546
SCEF_R,4.081546623669313
6ma_R,4.961083007340592
7Am_R,4.98543028626053
7Pl_R,7.1964144604543785
7PC_R,6.683629664945025
LIPv_R,6.730534357921199
VIP_R,6.979721256386395
MIP_R,5.546855673273143
1_R,5.703546300759132
2_R,5.556634640902584
3a_R,5.629460209757255
6d_R,5.944613883107422
6mp_R,4.56399983113967
6v_R,5.81975408071615
p24pr_R,5.543520856544846
33pr_R,6.515601829561528
a24pr_R,4.842819289748431
p32pr_R,4.742582471449028
a24_R,5.733724214874961
d32_R,5.408988116115027
8BM_R,4.547949107867855
p32_R,5.487101557166244
10r_R,5.087952721967874
47m_R,6.0089339782718705
8Av_R,5.397992674290251
8Ad_R,5.9473980703350104
9m_R,5.094154245614138
8BL_R,5.481465090128577
9p_R,6.055454556850861
10d_R,5.388892535694264
8C_R,5.57119294210477
44_R,5.110916641328821
45_R,6.910330834168688
47l_R,6.009522669856992
a47r_R,5.549953624077422
