region,isovf_intersubject_cov
9m_R,22.286249943630125
8BL_R,22.61547953835933
9p_R,25.54911957260838
10d_R,22.2839119415561
8C_R,25.36412218785597
44_R,21.54794827461746
45_R,26.113072588676967
47l_R,22.65149388834332
a47r_R,20.953947381353515
6r_R,20.00007227026794
IFJa_R,25.775985062018275
IFJp_R,29.16691181222909
IFSp_R,23.268238054390128
IFSa_R,24.43025982565205
p9-46v_R,23.29203839973315
46_R,20.430924113644856
a9-46v_R,25.33381435929081
9-46d_R,20.86157136959068
9a_R,22.048498950006746
10v_R,18.011734992815583
a10p_R,24.1610054628222
10pp_R,19.110699537794883
11l_R,20.638396296687763
13l_R,17.017811981246478
OFC_R,15.094524649338952
47s_R,26.64891236094603
LIPd_R,33.67113035910646
6a_R,24.235096390904456
i6-8_R,26.89207333418301
s6-8_R,27.00211401940814
43_R,23.59872334076473
OP4_R,23.90740620796244
OP1_R,28.791780444407934
OP2-3_R,26.80888278800704
52_R,21.920091498139676
RI_R,21.128929325736152
PFcm_R,24.42731034438479
PoI2_R,25.248834057608494
TA2_R,21.37905486648129
FOP4_R,22.42911915229729
MI_R,21.356836904967537
Pir_R,21.74456786770945
AVI_R,23.304502143317738
AAIC_R,28.035763660618414
FOP1_R,27.71704382082673
FOP3_R,26.001384329320214
FOP2_R,26.507631946823984
PFt_R,25.55609204433621
AIP_R,28.880854821124107
EC_R,20.604116813011213
PreS_R,15.627079087576872
H_R,21.06485066069543
ProS_R,28.04847359290789
PeEc_R,23.78829353134176
STGa_R,23.810215616645987
PBelt_R,21.62715345895541
A5_R,26.817949400738183
PHA1_R,28.203419122033875
PHA3_R,36.52275482855232
STSda_R,29.235490457135864
STSdp_R,30.82546073714432
STSvp_R,29.766897475004267
TGd_R,19.653254077337685
TE1a_R,36.087698882124016
TE1p_R,41.20672086406645
TE2a_R,29.09809299885712
TF_R,23.360527910042777
TE2p_R,32.973801431760776
PHT_R,33.91207565680462
PH_R,38.19166396877789
TPOJ1_R,25.34510963045745
TPOJ2_R,32.31282363328368
TPOJ3_R,30.867248940199648
DVT_R,25.191294289621773
PGp_R,28.1115320541794
IP2_R,29.906848791681384
IP1_R,31.1158178251978
IP0_R,35.303369561958725
PFop_R,27.14653883006345
PF_R,20.261803724134257
PFm_R,22.59482582283649
PGi_R,25.22106389508477
PGs_R,26.05757768746309
V6A_R,29.188264486064732
VMV1_R,32.12864385825011
VMV3_R,39.44807259680636
PHA2_R,37.587445426019386
V4t_R,35.60341293731449
FST_R,36.30268807511476
V3CD_R,31.863504697378588
LO3_R,32.505736678979005
VMV2_R,40.99703888434393
31pd_R,27.88150510704116
31a_R,29.311144987531296
VVC_R,33.05622797154955
25_R,25.994821111969767
s32_R,27.61802802698281
pOFC_R,20.199041749947423
PoI1_R,21.664909458951605
Ig_R,24.422393653762764
FOP5_R,23.17207483128684
p10p_R,22.213977550456136
p47r_R,24.13974134748888
TGv_R,21.95897964002028
MBelt_R,16.65303436421945
LBelt_R,21.3307871013138
A4_R,26.168664944180787
STSva_R,32.16706808415589
TE1m_R,44.862121154618144
PI_R,22.92422010821424
a32pr_R,25.31099755548236
p24_R,22.487540995086157
