region,fa_intersubject_cov
6d_R,7.99479052196085
6mp_R,6.177350221230476
6v_R,7.064218511103866
p24pr_R,7.144791883594811
33pr_R,8.410971023554508
a24pr_R,9.835177703871652
p32pr_R,6.976427001327032
a24_R,6.558292575458068
d32_R,5.4691986585664125
8BM_R,5.153479326390662
p32_R,6.480787800180507
10r_R,6.96691170576798
47m_R,7.1253672548896825
8Av_R,6.545819424885489
8Ad_R,6.813262769111805
9m_R,4.2118124364946885
8BL_R,6.260385084132084
9p_R,7.010256544574105
10d_R,5.796167951196448
8C_R,6.945555681903405
44_R,5.622173515489309
45_R,5.820161230124878
47l_R,5.777225126986942
a47r_R,5.275108075923345
6r_R,5.964215831000927
IFJa_R,8.927290692885235
IFJp_R,8.689695345012423
IFSp_R,7.553364844172425
IFSa_R,6.145637585794303
p9-46v_R,6.585172608476634
46_R,5.717263850595121
a9-46v_R,6.84513429476215
9-46d_R,5.25367145421405
9a_R,6.275394888309909
10v_R,5.773839299523918
a10p_R,7.111001182258453
10pp_R,6.770426565348112
11l_R,5.834009353625698
13l_R,6.627143653799728
OFC_R,8.47663703035536
47s_R,6.291262623847032
LIPd_R,8.658668172804566
6a_R,6.216491843815056
i6-8_R,8.164185275400126
s6-8_R,7.710098944780149
43_R,6.505953933493419
OP4_R,5.566743604365893
OP1_R,6.582759328338171
OP2-3_R,6.113245802802864
52_R,9.803905247147544
RI_R,7.140894418203778
PFcm_R,6.656197396008441
PoI2_R,5.9473661745248165
TA2_R,7.595681460726615
FOP4_R,5.322873498346076
MI_R,5.927247590380182
Pir_R,5.860996527974517
AVI_R,6.334703351289675
AAIC_R,5.6482315997498
FOP1_R,6.546366708060639
FOP3_R,6.757269608168179
FOP2_R,6.275207631059891
PFt_R,7.9004394296842735
AIP_R,6.577378706689816
EC_R,6.308817446827162
PreS_R,6.353740001203642
H_R,5.272501401858511
ProS_R,7.756831164914903
PeEc_R,5.475456936061277
STGa_R,7.449556028920197
PBelt_R,7.230070099349881
A5_R,5.165263202962746
PHA1_R,5.470484853675049
PHA3_R,7.82837661602737
STSda_R,7.390072666833032
STSdp_R,5.986857706338975
STSvp_R,6.652560308550018
TGd_R,4.734620491449915
TE1a_R,6.398568370614346
TE1p_R,6.200446408111666
TE2a_R,5.882612018685742
TF_R,6.323730784115456
TE2p_R,6.54768064538046
PHT_R,6.255227398419944
PH_R,6.173255771948001
TPOJ1_R,5.91563543032287
TPOJ2_R,6.973123806620568
TPOJ3_R,7.839604069947477
DVT_R,6.432563613967038
PGp_R,5.950232005111643
IP2_R,7.329827942349054
IP1_R,6.616496057226577
IP0_R,6.7431750397861885
PFop_R,6.79231380996397
PF_R,5.465797041007671
PFm_R,4.915535145816799
PGi_R,4.983360615234296
PGs_R,5.618475473335952
V6A_R,9.537993646852254
VMV1_R,7.695999434728738
VMV3_R,8.91110169432661
PHA2_R,8.345794442578159
V4t_R,8.493378233957948
FST_R,6.988992928552773
V3CD_R,7.234267861386525
LO3_R,8.079133836201194
VMV2_R,8.336403475885412
31pd_R,7.380554672550378
31a_R,8.998802591899251
VVC_R,5.7241013185441645
25_R,6.9226072905578
s32_R,10.666673650141124
pOFC_R,6.523706271511512
PoI1_R,6.621835455597294
Ig_R,5.345427364141473
FOP5_R,5.958290065697151
p10p_R,6.186795540924623
p47r_R,6.413444746830437
TGv_R,5.708415095101097
MBelt_R,6.23207509017025
LBelt_R,8.269798660616246
A4_R,6.839265564062301
STSva_R,7.0557959144720295
TE1m_R,7.172643365842085
PI_R,8.372683820419327
a32pr_R,6.722550278751255
p24_R,8.82744925889916
