region,mk_intersubject_cov
VMV2_L,5.34888023164574
31pd_L,4.850641205636478
31a_L,4.6726378571312015
VVC_L,5.039061666813354
25_L,5.033235699595708
s32_L,5.33130373534205
pOFC_L,4.808641980015231
PoI1_L,3.9580325927061817
Ig_L,4.286778842347524
FOP5_L,3.7718646225543573
p10p_L,5.4146634938162075
p47r_L,4.293477006250811
TGv_L,5.510080696315871
MBelt_L,4.258695058570016
LBelt_L,4.729764125879431
A4_L,4.21343447042699
STSva_L,4.513905899755923
TE1m_L,5.5537203008271545
PI_L,4.070021142419859
a32pr_L,4.5778213050528285
p24_L,4.372504925775589
V1_R,3.743060305686887
MST_R,4.781260994019045
V6_R,4.6196596443243125
V2_R,3.8511193499698853
V3_R,3.782127948864934
V4_R,3.9988587384630687
V8_R,5.086137737975046
4_R,3.9653709593503192
3b_R,4.019385994912355
FEF_R,4.577339508432845
PEF_R,5.246233879698633
55b_R,4.9116634210690755
V3A_R,3.708549602649975
RSC_R,4.07943605380677
POS2_R,4.2950449732693965
V7_R,5.0267641085470895
IPS1_R,4.550713450192121
FFC_R,4.922847083122676
V3B_R,4.289332744920622
LO1_R,4.610184406142396
LO2_R,4.724718332178872
PIT_R,4.807219712618992
MT_R,4.586882358876795
A1_R,3.911031731152486
PSL_R,3.6959063279181317
SFL_R,4.8067527487073605
PCV_R,4.546031756986034
STV_R,4.5251702725891585
7Pm_R,4.77320758081982
7m_R,4.464716376065841
POS1_R,4.7361197995345155
23d_R,4.187632414317557
v23ab_R,5.189162885420621
d23ab_R,5.019146718293556
31pv_R,4.817468961441543
5m_R,4.649291888258359
5mv_R,4.686887291651114
23c_R,4.395980294495237
5L_R,4.572600081394313
24dd_R,4.098430073624063
24dv_R,4.42965914770993
7AL_R,4.274448915409709
SCEF_R,4.505699389971585
6ma_R,4.817750737446324
7Am_R,4.4469979892403515
7Pl_R,4.779639758810858
7PC_R,4.273533980065945
LIPv_R,4.806278406407366
VIP_R,4.713266329414737
MIP_R,4.639889271677598
1_R,3.9263616403394894
2_R,4.002157559019652
3a_R,3.7094980513512157
6d_R,4.424864406521854
6mp_R,4.630821623691671
6v_R,4.822416560316764
p24pr_R,4.420585371370308
33pr_R,4.176185109025817
a24pr_R,4.435225001891138
p32pr_R,4.474419412578611
a24_R,4.069033712295624
d32_R,4.279926356459436
8BM_R,4.328313190470798
p32_R,4.3344028009150195
10r_R,4.785390863971985
47m_R,4.4586861622379095
8Av_R,4.614343193664724
8Ad_R,4.879558917869055
9m_R,4.420301388756609
8BL_R,4.7561737151582015
9p_R,5.425425690661519
10d_R,5.526899489877008
8C_R,4.738585300293216
44_R,4.761871431231743
45_R,6.291610060057358
47l_R,5.028873440722399
