region,icvf_intersubject_cov
FST_L,4.845107198125237
V3CD_L,5.655990384093364
LO3_L,5.822573432154671
VMV2_L,5.817613839175213
31pd_L,4.391864239358014
31a_L,4.591238451996564
VVC_L,5.399725761978915
25_L,8.840487595001166
s32_L,9.29943612716134
pOFC_L,9.172062757038193
PoI1_L,5.284067734794185
Ig_L,5.723500766162429
FOP5_L,5.536693140708032
p10p_L,7.398059469661271
p47r_L,6.105352329187901
TGv_L,8.220706842182977
MBelt_L,5.925951369245148
LBelt_L,6.440848843252738
A4_L,5.183208721587795
STSva_L,5.269615501986676
TE1m_L,7.099473369334196
PI_L,5.670672456103859
a32pr_L,5.49102718143764
p24_L,5.692551004598202
V1_R,4.661714763158768
MST_R,5.235251146442202
V6_R,5.990747053753309
V2_R,4.624101468864506
V3_R,4.2833912495123005
V4_R,4.400812385968171
V8_R,5.78599157881344
4_R,5.04958247176411
3b_R,6.596880874002162
FEF_R,5.904599371991699
PEF_R,6.1347075578030505
55b_R,5.702334196704073
V3A_R,4.5397643815342805
RSC_R,5.555240994754981
POS2_R,4.672876312311033
V7_R,5.463105340211546
IPS1_R,4.827151818331006
FFC_R,6.152179894745781
V3B_R,4.7085157170654295
LO1_R,5.391251105135459
LO2_R,5.429726991629183
PIT_R,5.575305900390167
MT_R,5.087112081139266
A1_R,5.86477596805909
PSL_R,4.644587644341867
SFL_R,5.567226087133987
PCV_R,5.630909890237367
STV_R,4.999142776742692
7Pm_R,5.907524472025036
7m_R,5.024725225859753
POS1_R,4.747134859286243
23d_R,5.432499265547731
v23ab_R,5.984688559278476
d23ab_R,5.318397560341312
31pv_R,4.895150039471286
5m_R,6.124123949083222
5mv_R,6.563392869153005
23c_R,4.889733711118694
5L_R,5.59793182651855
24dd_R,5.8953361267551285
24dv_R,6.112835002309673
7AL_R,5.29876377072128
SCEF_R,6.026945425960181
6ma_R,5.395233353961007
7Am_R,5.554198391980898
7Pl_R,5.701475467380116
7PC_R,5.309223953016048
LIPv_R,5.504024676901134
VIP_R,5.841040329342274
MIP_R,5.2338757847764565
1_R,4.528295092145175
2_R,4.827907557004413
3a_R,5.460349683633655
6d_R,5.42863158369665
6mp_R,5.530858471026822
6v_R,5.342974095560296
p24pr_R,5.70158410317105
33pr_R,6.115924482976673
a24pr_R,6.337229148905994
p32pr_R,6.368858367951809
a24_R,6.166620258284008
d32_R,6.128923483404482
8BM_R,5.952453980852899
p32_R,6.459847521505188
10r_R,7.866086246762362
47m_R,7.1369257766781
8Av_R,5.508648345949618
8Ad_R,5.707997189482366
9m_R,6.012195795997266
8BL_R,5.814066508920363
9p_R,6.091528989366002
10d_R,7.154337815397518
8C_R,5.2007409713882975
44_R,5.110679979539991
45_R,6.458210074247003
47l_R,5.867968372402631
a47r_R,5.6007733327274405
6r_R,4.840644346431151
IFJa_R,5.86805496641833
IFJp_R,5.961167749782352
IFSp_R,5.826282794321087
IFSa_R,5.544538705725268
p9-46v_R,5.571437819222112
46_R,5.715832152546929
a9-46v_R,5.875366967228158
9-46d_R,5.663713109179694
9a_R,6.010829563754454
10v_R,7.331881589427808
a10p_R,7.548818361938153
10pp_R,8.667662971533664
11l_R,7.028280303918908
13l_R,8.029351748301652
OFC_R,6.156191463002932
47s_R,6.951324292042195
LIPd_R,5.272147367810423
6a_R,5.399189557652649
i6-8_R,6.126313848694306
s6-8_R,5.775090168090933
43_R,4.932816224666927
OP4_R,4.76933424553984
OP1_R,5.036696816676662
OP2-3_R,5.02332966994413
52_R,6.628657799195485
RI_R,5.404590297662637
PFcm_R,4.586263569672703
PoI2_R,5.255270409358307
TA2_R,5.863748503022059
FOP4_R,5.094280131959226
MI_R,4.673904381918065
Pir_R,6.158349339688534
AVI_R,5.0790321279450525
AAIC_R,5.695182054878715
FOP1_R,5.371124146227598
FOP3_R,5.225540753349038
FOP2_R,5.304729589535124
