region,dki-ad_intersubject_cov
a9-46v_L,1.9292599153834216
9-46d_L,2.0069502649513007
9a_L,2.263384186904055
10v_L,2.411297679048605
a10p_L,1.953457902943443
10pp_L,2.3027889592882884
11l_L,2.010453435529191
13l_L,2.7376095644321774
OFC_L,2.7302580817037825
47s_L,2.0037845294273096
LIPd_L,2.3645192973424987
6a_L,2.301985120767052
i6-8_L,2.168103989885869
s6-8_L,2.413765136742026
43_L,1.9388488372132504
OP4_L,1.712867213952609
OP1_L,2.0115602777053825
OP2-3_L,1.9329578216657357
52_L,2.0515730066778985
RI_L,2.0469925824384982
PFcm_L,1.899735437854725
PoI2_L,1.884252399920678
TA2_L,1.9750591235884936
FOP4_L,1.640864209626434
MI_L,1.832404172866672
Pir_L,1.9109927429264744
AVI_L,1.849970747152792
AAIC_L,1.920106809345708
FOP1_L,1.9543283744308853
FOP3_L,2.009156098050704
FOP2_L,1.8687970067566628
PFt_L,2.0217906752471677
AIP_L,2.076409151338545
EC_L,2.507139643121005
PreS_L,1.827453691637922
H_L,2.23365315607961
ProS_L,2.358513321831048
PeEc_L,2.440568375044601
STGa_L,2.1845829515360564
PBelt_L,2.205636485963118
A5_L,1.8762997738310367
PHA1_L,2.41124613143476
PHA3_L,2.3568425581956647
STSda_L,2.272501962236864
STSdp_L,2.0946113503686545
STSvp_L,2.1735308713055725
TGd_L,2.111543485773064
TE1a_L,2.231683876165095
TE1p_L,2.04890680764067
TE2a_L,2.2013270827622797
TF_L,2.403611643838351
TE2p_L,2.12129460417298
PHT_L,2.001314217404109
PH_L,1.958656408101052
TPOJ1_L,1.9167333739538397
TPOJ2_L,2.085706250360562
TPOJ3_L,2.37770963858253
DVT_L,1.9499043781060752
PGp_L,1.999246234408112
IP2_L,2.1853693587196696
IP1_L,2.2135345650849345
IP0_L,2.31144783272475
PFop_L,1.7649585122679463
PF_L,1.72622433937565
PFm_L,1.8279178005459509
PGi_L,1.8097767850804616
PGs_L,1.8309779382520457
V6A_L,1.97126010691967
VMV1_L,2.621129340611015
VMV3_L,2.383506770742623
PHA2_L,2.709815012545685
V4t_L,2.23771746793519
FST_L,2.093338901740072
V3CD_L,2.351489387045297
LO3_L,2.346599935343029
VMV2_L,2.447679477576899
31pd_L,2.2499574028650886
31a_L,2.401737000378327
VVC_L,2.2636609888244363
25_L,3.1312191660481083
s32_L,2.6495189498134883
pOFC_L,3.950565071509662
PoI1_L,2.1410133195772025
Ig_L,2.011796581097137
FOP5_L,1.8407032554471687
p10p_L,2.120589506818746
p47r_L,1.7410866830138585
TGv_L,2.556887814880768
MBelt_L,1.9506483778054584
LBelt_L,2.315934959716933
A4_L,1.9473346273933805
STSva_L,2.4211056299121547
TE1m_L,2.386098948783067
PI_L,2.057383247943119
a32pr_L,2.213468004409469
p24_L,2.4768132411600177
V1_R,1.846500207557398
MST_R,2.1062898809228625
V6_R,2.1916251769651787
V2_R,1.7426174421964893
V3_R,1.6890322180410606
V4_R,1.808491722274835
V8_R,2.300455081761614
4_R,1.6054031371682616
3b_R,2.3052890262764025
FEF_R,2.1057189062017194
PEF_R,2.5524671855972425
55b_R,2.137557859519103
V3A_R,1.9140807897985133
RSC_R,2.054629018028935
POS2_R,1.857085715283122
V7_R,2.284275313743453
IPS1_R,2.161722590020492
FFC_R,2.432322218072989
V3B_R,2.150561410183699
LO1_R,2.1893878889112024
LO2_R,2.129847488954397
PIT_R,2.131194347780576
MT_R,2.083473814745494
A1_R,2.1958711147386145
PSL_R,1.789914391415245
SFL_R,2.1706372198017845
PCV_R,2.2296764695684166
STV_R,1.9467512028780696
7Pm_R,2.1719658438177825
7m_R,2.093045455622277
POS1_R,2.111262049853309
23d_R,2.4072420948202145
v23ab_R,2.278123593731933
d23ab_R,2.438122352679068
31pv_R,2.518017275317377
5m_R,2.162744628806907
5mv_R,2.292569338450429
23c_R,2.451791513052872
5L_R,2.214727318950608
24dd_R,2.1437815849680844
24dv_R,2.391452694071021
7AL_R,2.267488395709669
SCEF_R,2.122865676187567
6ma_R,2.1508651914136814
7Am_R,2.16474013450521
7Pl_R,2.140677530514668
7PC_R,2.0182892213235832
LIPv_R,2.1167830268779757
VIP_R,2.1294148715107952
MIP_R,2.051147236681081
1_R,1.835650592981868
2_R,1.909689664928496
3a_R,2.187686745304749
6d_R,1.8835638711666196
6mp_R,2.04054124975054
6v_R,2.3796654311016394
p24pr_R,2.5672871192744724
33pr_R,2.3352031383089984
a24pr_R,2.682729956884528
p32pr_R,2.254970457523579
a24_R,2.201665197823508
d32_R,2.1298218441518504
8BM_R,2.080303298725393
p32_R,2.280954531961214
10r_R,2.1233021039284443
47m_R,2.384627299098564
8Av_R,2.027559218231005
8Ad_R,2.074225898128098
9m_R,2.030673378350325
8BL_R,2.0959434726818595
9p_R,2.227475795701581
10d_R,2.077129684785884
8C_R,2.065088493215501
44_R,2.0789383322829758
45_R,2.1201093936026134
47l_R,2.14845149830606
a47r_R,1.9419773786567176
6r_R,2.0163903940618986
IFJa_R,2.3544566034235896
IFJp_R,2.6408044051801727
IFSp_R,2.227728293684524
IFSa_R,2.0580070367343697
p9-46v_R,2.020164751108287
46_R,1.9692192132879816
a9-46v_R,2.1966102677708497
9-46d_R,2.034147754961876
9a_R,2.1186318218070315
10v_R,2.093423151169374
a10p_R,2.0620071730180527
10pp_R,2.4388035060269107
11l_R,2.055235837241257
13l_R,2.9098650208371737
OFC_R,2.823798838475821
47s_R,2.260948284311289
LIPd_R,2.3006656097146174
6a_R,2.096168537387327
i6-8_R,2.3208044230492475
s6-8_R,2.202524028378072
43_R,2.1573660526684084
OP4_R,2.00361550499435
OP1_R,2.083809277425173
OP2-3_R,2.1638978434923866
52_R,2.23544882986688
RI_R,1.9868869416040853
PFcm_R,1.9169961411161889
PoI2_R,2.021885490944362
TA2_R,2.4445262142267645
FOP4_R,1.947946670450982
MI_R,2.007776650229201
Pir_R,1.972958679108633
AVI_R,2.2348270720905745
AAIC_R,1.984235298739772
FOP1_R,2.1622276181058777
FOP3_R,1.9507325757045544
FOP2_R,2.119501293101079
PFt_R,2.019669347591788
AIP_R,2.176137440524057
EC_R,2.4415391223352856
PreS_R,2.024274499517785
H_R,2.236841840485346
ProS_R,2.634047321564199
PeEc_R,2.4355235016768315
STGa_R,2.6402138176796446
PBelt_R,2.0546975544481496
A5_R,1.9248417976523815
PHA1_R,2.528775655555741
PHA3_R,2.9700405405596446
STSda_R,2.340079084505405
STSdp_R,2.166722486111792
STSvp_R,2.176832612614531
TGd_R,2.1329915342926
TE1a_R,2.6147782239787234
TE1p_R,2.1551848910082247
TE2a_R,2.419655047122504
TF_R,2.461765258279562
TE2p_R,2.429117461758925
PHT_R,1.931890267465863
PH_R,2.1476679835394674
TPOJ1_R,1.8136988760616308
TPOJ2_R,1.8998562790786744
TPOJ3_R,1.9457223426869208
DVT_R,1.9696041489832177
PGp_R,1.6491478078638064
IP2_R,2.181389604866209
IP1_R,2.060942653388411
IP0_R,2.1562630088231174
PFop_R,1.9917696059314915
PF_R,1.6855766437019464
PFm_R,1.6701716767909456
PGi_R,1.6741884804845013
PGs_R,1.7190584683165273
V6A_R,1.9916197554741948
VMV1_R,2.851553426747948
VMV3_R,2.9759328341201927
PHA2_R,2.839960081336073
V4t_R,2.2162260732598345
