region,qiv_intersubject_cov
LO3_R,4.515503784032389
VMV2_R,5.587807743344687
31pd_R,4.2695108329433475
31a_R,4.579793460530944
VVC_R,5.056576293038352
25_R,6.422608765097025
s32_R,6.882628253560598
pOFC_R,7.556745845761882
PoI1_R,4.436541222946456
Ig_R,3.882747510024486
FOP5_R,4.1516869940062975
p10p_R,4.343713180354031
p47r_R,4.50930684264952
TGv_R,5.076156979988594
MBelt_R,4.107278581579607
LBelt_R,4.482454230488358
A4_R,4.5031223443283945
STSva_R,4.5017053444250115
TE1m_R,4.75733477450416
PI_R,4.509271757069556
a32pr_R,4.062887787134214
p24_R,4.084893410267245
