region,myl_intersubject_cov
PHA1_L,5.549023310857273
PHA3_L,4.395818010200147
STSda_L,5.294352907181348
STSdp_L,4.645091387198444
STSvp_L,4.490677296722196
TGd_L,6.052713694111053
TE1a_L,5.158133743913414
TE1p_L,4.1999355893275965
TE2a_L,4.7569068500409495
TF_L,4.845272081037778
TE2p_L,4.3463276949121905
PHT_L,4.103424650756217
PH_L,4.0693477038272885
TPOJ1_L,4.84576553213933
TPOJ2_L,4.85140238660751
TPOJ3_L,4.946900434998765
DVT_L,4.830545872542283
PGp_L,4.598769825866026
IP2_L,5.420703985916858
IP1_L,5.28815594162404
IP0_L,4.712749670476401
PFop_L,4.956646328863793
PF_L,4.694308527643317
PFm_L,4.912694749765672
PGi_L,4.399699934047804
PGs_L,4.820626527036635
V6A_L,5.842639901255221
VMV1_L,5.468736195455055
VMV3_L,4.4223903602552
PHA2_L,4.770354288736602
V4t_L,5.0152281345426815
FST_L,4.338387662195312
V3CD_L,4.8508709943833574
LO3_L,4.733782959457503
VMV2_L,4.387813199554954
31pd_L,5.1072128828392005
31a_L,5.3302776106954814
VVC_L,4.532435094731974
25_L,8.111734363387598
s32_L,6.92702437162488
pOFC_L,18.601087501176274
PoI1_L,5.115265288211341
Ig_L,5.177854794830785
FOP5_L,6.621253278399997
p10p_L,8.458900966097897
p47r_L,7.257727569281743
TGv_L,6.563643270961786
MBelt_L,6.246685964366925
LBelt_L,5.367665129701822
A4_L,5.519909776210712
STSva_L,5.058797049326181
TE1m_L,4.778449979875276
PI_L,5.338708369924597
a32pr_L,6.567881317413655
p24_L,6.687119362534371
V1_R,5.477508950697698
MST_R,6.186110668441936
V6_R,6.343472933485341
V2_R,5.441213477082648
V3_R,5.546793687394247
V4_R,5.660117359124311
V8_R,5.82791251248369
4_R,6.420470897222663
3b_R,6.409915153186925
FEF_R,6.536364232499244
PEF_R,6.687583581330841
55b_R,6.491870323130023
V3A_R,6.295712010111809
RSC_R,5.971007760066511
POS2_R,6.178586580285594
V7_R,6.645260916824057
IPS1_R,6.398025711571259
FFC_R,5.353512645596523
V3B_R,6.047798992590367
LO1_R,6.172753577095802
LO2_R,6.130727432953895
PIT_R,5.862359696964998
MT_R,6.272822109358556
A1_R,5.945801642563072
PSL_R,5.421487267624206
SFL_R,7.16087242770039
PCV_R,6.30286604690386
STV_R,5.58474571351401
7Pm_R,6.438830766494508
7m_R,5.89642963592821
POS1_R,5.4893834799816315
23d_R,5.691977556066016
v23ab_R,5.567478765582644
d23ab_R,5.5188075073312595
31pv_R,5.754536326875892
5m_R,7.001071134617305
5mv_R,6.240677503968531
23c_R,5.721543237912853
5L_R,6.669656036430674
24dd_R,6.33620337800092
24dv_R,6.071907241485827
7AL_R,6.573576743973667
SCEF_R,6.766430944726977
6ma_R,6.98161495805874
7Am_R,6.627189092134376
7Pl_R,6.75315190648261
7PC_R,6.46642971039676
LIPv_R,6.839640309308015
VIP_R,6.8167577793045995
MIP_R,6.404661548432301
1_R,6.204405767048674
2_R,6.114733006704558
3a_R,5.959186326193616
6d_R,6.797133330354285
6mp_R,6.73315422053409
6v_R,6.067926137367089
p24pr_R,5.686569865030604
33pr_R,6.080846835331025
a24pr_R,6.225583347386471
p32pr_R,6.173133361450448
a24_R,6.6646434539922
d32_R,7.013850973782168
8BM_R,6.924439737021027
p32_R,7.147426152371739
10r_R,7.75201751313293
47m_R,7.247887094969424
8Av_R,6.57244016251867
8Ad_R,6.871387413771729
9m_R,7.9189721567758244
8BL_R,7.281455131255453
9p_R,7.6672242773914325
10d_R,9.229932271378463
8C_R,6.621924606422135
44_R,6.197636004377931
45_R,6.583848840922552
47l_R,6.772574533117523
a47r_R,7.461388491413416
6r_R,5.716307174066311
IFJa_R,6.572868277114397
