region,rtap_intersubject_cov
1_R,4.0480520564149325
2_R,3.9194625674026886
3a_R,3.968118981053439
6d_R,4.2917253321542015
6mp_R,3.189921779812314
6v_R,4.1045477928548175
p24pr_R,3.55324754332613
33pr_R,4.639091224082123
a24pr_R,3.2172811061586155
p32pr_R,3.09522806535546
a24_R,3.5912799791324432
d32_R,3.176583535413427
8BM_R,2.8070925574781795
p32_R,3.425375429465874
10r_R,3.2844823650030075
47m_R,4.097751336560598
8Av_R,3.681357439152312
8Ad_R,4.033827119643864
9m_R,2.9966461165706315
8BL_R,3.5431379601146404
9p_R,3.881671306259048
10d_R,3.3605534611271084
8C_R,3.886900293808173
44_R,3.3929197449179065
45_R,4.674712146729624
47l_R,4.024415121678632
a47r_R,3.6120833894130095
6r_R,3.025135782452213
IFJa_R,4.70901153818436
IFJp_R,4.585648947404865
IFSp_R,4.445690053604469
IFSa_R,4.220766805884495
p9-46v_R,3.901148217452901
46_R,3.2107313423181543
a9-46v_R,4.163984400234242
9-46d_R,3.260957030732213
9a_R,3.428379714831896
10v_R,3.529946837701449
a10p_R,3.783634195631013
10pp_R,4.574469291390085
11l_R,3.531396468349557
13l_R,4.336077486471027
OFC_R,3.6379433707220574
47s_R,4.240612307485733
LIPd_R,4.842310037737716
6a_R,3.385939242835937
i6-8_R,4.272332968698126
s6-8_R,4.125506228852606
43_R,3.460755808531585
OP4_R,3.357480499079956
OP1_R,3.882219795821788
OP2-3_R,3.49620888385331
52_R,3.93742686969096
RI_R,3.958878955551384
PFcm_R,3.767113263793502
PoI2_R,3.753424178190718
TA2_R,3.3867394045562014
FOP4_R,2.9831470260693824
MI_R,3.5217651839551958
Pir_R,4.57188841233856
AVI_R,3.543196922017177
AAIC_R,4.444256247986425
FOP1_R,3.427425769691365
FOP3_R,3.5228758566431733
FOP2_R,3.240495800336792
PFt_R,4.151104148817607
AIP_R,4.225207377078401
EC_R,3.785806090897156
PreS_R,4.422362942803253
H_R,3.303072200928628
ProS_R,3.9352950978052257
PeEc_R,3.28040387494562
STGa_R,4.3872331151062
PBelt_R,3.359197643516704
A5_R,3.920839769684871
PHA1_R,3.0950716044832243
PHA3_R,4.255016566080671
STSda_R,3.984044112808189
STSdp_R,3.733660987889895
STSvp_R,3.645836459954439
TGd_R,3.055825175712136
TE1a_R,4.2550368664201095
TE1p_R,3.7144921423960064
TE2a_R,3.530597336219416
TF_R,3.5160846402765724
TE2p_R,4.030047348934991
PHT_R,3.3985673467685302
PH_R,3.5172333562392315
TPOJ1_R,3.1566734128455267
TPOJ2_R,3.410559629569057
TPOJ3_R,3.50401713159222
DVT_R,3.5817144649940578
PGp_R,3.075165727487357
