region,megbeta
TE1a_R,0.08111342
TE1p_R,0.08358679
TE2a_R,0.08119297
TF_R,0.08286776
TE2p_R,0.082960196
PHT_R,0.084205456
PH_R,0.08316103
TPOJ1_R,0.09141169
TPOJ2_R,0.087252714
TPOJ3_R,0.08794054
DVT_R,0.09700737
PGp_R,0.091324404
IP2_R,0.11587267
IP1_R,0.10967695
IP0_R,0.10388711
PFop_R,0.10999458
PF_R,0.1155054
PFm_R,0.11222972
PGi_R,0.09775175
PGs_R,0.10246069
V6A_R,0.10101796
VMV1_R,0.086720355
VMV3_R,0.08347714
PHA2_R,0.083520964
V4t_R,0.08809893
FST_R,0.083755344
V3CD_R,0.08937638
LO3_R,0.08680178
VMV2_R,0.086060695
31pd_R,0.10528289
31a_R,0.10736521
VVC_R,0.08509485
25_R,0.0846048
s32_R,0.0883908
pOFC_R,0.08472832
PoI1_R,0.08706956
Ig_R,0.09122605
FOP5_R,0.09907069
p10p_R,0.098536074
p47r_R,0.09813302
TGv_R,0.08145015
MBelt_R,0.08987897
LBelt_R,0.09063835
A4_R,0.08813978
STSva_R,0.08256142
TE1m_R,0.0830167
PI_R,0.08887278
a32pr_R,0.09979933
p24_R,0.09770824
