region,r2-star
V6_R,30.51164285218164
V2_R,35.48818795365394
V3_R,35.536824400951794
V4_R,37.13218535628858
V8_R,44.8083627464297
4_R,50.00589206997277
3b_R,30.827073545427076
FEF_R,66.16693235723481
PEF_R,49.40053405290769
55b_R,62.95275484266665
V3A_R,40.84912001118136
RSC_R,53.869793020057614
POS2_R,24.82165627770622
V7_R,34.88718874822153
IPS1_R,28.564892432765067
FFC_R,41.13073128801308
V3B_R,26.38314667727348
LO1_R,54.14613436077135
LO2_R,50.320836393847294
PIT_R,37.85755154272171
MT_R,27.27695051625244
A1_R,62.5871293760812
PSL_R,47.832252746179456
SFL_R,43.54798990876909
PCV_R,24.63387155948323
STV_R,39.43039971501178
7Pm_R,15.985147920441465
7m_R,27.449009229077237
POS1_R,32.50603851171559
23d_R,27.906355987866437
v23ab_R,29.364000976255475
d23ab_R,29.25428951987189
31pv_R,28.21508194734781
5m_R,20.274356719974225
5mv_R,17.847693899109075
23c_R,25.460140580905925
5L_R,18.008789082380076
24dd_R,46.4716991332342
24dv_R,48.357139649675055
7AL_R,15.040318904213247
SCEF_R,39.28761912258597
6ma_R,36.60770200924873
7Am_R,22.385582283320858
7Pl_R,26.447407817199025
7PC_R,16.436651004277415
LIPv_R,26.15286338961798
VIP_R,16.190222750664546
MIP_R,26.0364952989554
1_R,43.46416652117309
2_R,46.243979816039705
3a_R,43.38789128608444
6d_R,45.87852538378228
6mp_R,60.612224194587306
6v_R,68.27198219574362
p24pr_R,54.48052898477651
33pr_R,48.69003045948771
a24pr_R,50.01869497376718
p32pr_R,58.54339737355608
a24_R,36.31803988811632
d32_R,49.62093003951328
8BM_R,49.64051660307232
p32_R,51.33453877470179
10r_R,41.327985172540366
47m_R,39.2047452018726
8Av_R,56.64573306253436
8Ad_R,46.940013089684975
9m_R,62.79109044960873
8BL_R,52.926773955455886
9p_R,53.35518498138024
10d_R,84.97443144297424
8C_R,56.63413815439053
44_R,41.87904025443629
45_R,59.85876854393396
47l_R,51.09797485176005
a47r_R,47.52467664637856
6r_R,44.380599057502046
IFJa_R,41.015367589990674
IFJp_R,40.26360072657203
IFSp_R,57.2878154396925
IFSa_R,59.60817429651404
p9-46v_R,70.15086101630303
46_R,49.21953087614055
a9-46v_R,61.66993600219261
9-46d_R,55.591843978507406
9a_R,71.90109512304218
10v_R,48.39926465355023
a10p_R,46.57885259445824
10pp_R,52.29994641744057
11l_R,40.31574381434895
13l_R,30.99246824031291
OFC_R,35.858935574058115
47s_R,51.286627409018
LIPd_R,36.91102969833135
6a_R,37.2935250608418
i6-8_R,52.649084102189946
s6-8_R,59.70425207968111
43_R,47.427939367931366
OP4_R,48.763773101236886
OP1_R,43.76169284898408
OP2-3_R,37.69651547661663
52_R,43.904398965497386
RI_R,38.49872573278603
PFcm_R,48.608437983687615
PoI2_R,44.78479401568357
TA2_R,39.567397064794974
FOP4_R,45.775437044021096
MI_R,41.37521707305202
Pir_R,32.934413202393266
AVI_R,36.61577347581105
AAIC_R,37.64234800873132
FOP1_R,41.658981074087365
FOP3_R,38.1865680637431
FOP2_R,37.91803238197015
PFt_R,58.02575994891951
AIP_R,37.286721277313845
EC_R,35.86202525438949
PreS_R,33.09418714850467
H_R,26.88358690666913
ProS_R,30.49421151645243
PeEc_R,39.57255749947624
STGa_R,36.48000462678824
PBelt_R,64.02491434866732
A5_R,40.33977593981583
PHA1_R,46.36155326739079
PHA3_R,27.299297477855564
STSda_R,34.71832858829598
STSdp_R,42.98795093681529
STSvp_R,46.58896025947652
TGd_R,36.9261995076511
TE1a_R,37.06215813041747
TE1p_R,37.60137085496494
TE2a_R,34.514997631539686
TF_R,27.557207986338707
TE2p_R,31.100846636836906
PHT_R,39.86256054854776
PH_R,35.613265113808154
TPOJ1_R,46.61526020040416
TPOJ2_R,27.30620212274136
TPOJ3_R,24.87201562883805
DVT_R,25.602067903716964
PGp_R,35.867924739877914
IP2_R,27.447932443163424
IP1_R,23.23412061771823
IP0_R,21.16785163456589
PFop_R,58.097940672230855
PF_R,43.74161886097849
PFm_R,29.87587201505599
PGi_R,30.69274565850321
PGs_R,38.452867070957005
V6A_R,31.13356857862825
VMV1_R,39.1450832106278
VMV3_R,40.466093307659946
PHA2_R,24.6818165314936
V4t_R,42.88621046546487
FST_R,32.6159358214744
V3CD_R,35.01351907602318
LO3_R,32.56819383556566
VMV2_R,35.046919792175295
31pd_R,29.91665775923465
31a_R,36.82291256166124
VVC_R,44.02745785695404
25_R,34.408710500340405
s32_R,20.97100050649116
pOFC_R,35.84711869088531
PoI1_R,49.00780859458301
Ig_R,32.34508133475202
FOP5_R,41.908384584913065
p10p_R,55.25555591560586
p47r_R,44.51996635845383
TGv_R,30.65610996920801
MBelt_R,47.83107147772204
LBelt_R,47.06254924995172
A4_R,53.186757789139065
STSva_R,31.61774469101152
TE1m_R,42.43106785254045
PI_R,40.92864379449384
a32pr_R,52.8684952417625
p24_R,45.09893903372038
