region,thick_V
i6-8_L,0.4460612303322337
s6-8_L,0.4333632986257548
43_L,0.4487484528314538
OP4_L,0.4393938377392047
OP1_L,0.4533485711377933
OP2-3_L,0.4626620712406011
52_L,0.4165491502897817
RI_L,0.4572768940493553
PFcm_L,0.4435400314505342
PoI2_L,0.4524025705671368
TA2_L,0.4608362936870738
FOP4_L,0.4564418125490762
MI_L,0.4176318527890467
Pir_L,0.4345279020502452
AVI_L,0.4469492045433977
AAIC_L,0.4467068287736248
FOP1_L,0.4484789801054232
FOP3_L,0.4524439426714166
FOP2_L,0.4560206649101636
PFt_L,0.4437848845468089
AIP_L,0.4394339394568711
EC_L,0.4360304064047929
PreS_L,0.409903786625668
H_L,0.4200454862349011
ProS_L,0.4655175225529911
PeEc_L,0.4280446563554302
STGa_L,0.4414281164082192
PBelt_L,0.4374447056453169
A5_L,0.4354321349977946
PHA1_L,0.4323547526209512
PHA3_L,0.4019578593249597
STSda_L,0.4172844516804981
STSdp_L,0.4145685844506747
STSvp_L,0.4420626783373382
TGd_L,0.4438230402928687
TE1a_L,0.4382480607151567
TE1p_L,0.4442691997283577
TE2a_L,0.4371318213084572
TF_L,0.4274009429999517
TE2p_L,0.4262881511207252
PHT_L,0.4302085278010698
PH_L,0.4205764750075169
TPOJ1_L,0.449579325126364
TPOJ2_L,0.4014120724066119
TPOJ3_L,0.456820568471376
DVT_L,0.4595288714006804
PGp_L,0.4548585023198721
IP2_L,0.4385508395651097
IP1_L,0.4093619274526823
IP0_L,0.4297576732531027
PFop_L,0.4514584636252993
PF_L,0.4385416950592917
PFm_L,0.4471192364550059
PGi_L,0.4321670662094665
PGs_L,0.4423456052889782
V6A_L,0.4621634665055886
VMV1_L,0.4466945587457522
VMV3_L,0.4224966879104065
PHA2_L,0.4330898139501722
V4t_L,0.4237280016634197
FST_L,0.4491989243698402
V3CD_L,0.4708964927127081
LO3_L,0.4280655187272242
VMV2_L,0.457075308446754
31pd_L,0.4325312009985778
31a_L,0.4161474536877201
VVC_L,0.4690010547226684
25_L,0.4300935663226867
s32_L,0.4237615139844841
pOFC_L,0.4491599746405707
PoI1_L,0.4437576502360651
Ig_L,0.4376753212137885
FOP5_L,0.4277301687752095
p10p_L,0.454726234184828
p47r_L,0.438998062970193
TGv_L,0.4466732609990689
MBelt_L,0.4345388893186704
LBelt_L,0.4505838586704024
A4_L,0.4351510204079271
STSva_L,0.4199389795546319
TE1m_L,0.4530684823378706
PI_L,0.4343600118791278
a32pr_L,0.4442338677263421
p24_L,0.4483010127390701
V1_R,0.4414536078755561
MST_R,0.4333830992295799
V6_R,0.4387934937512302
V2_R,0.4395803604497748
V3_R,0.4333656781849055
V4_R,0.4346945444530042
V8_R,0.4547450296898728
4_R,0.4253333190012537
3b_R,0.4300710307590505
FEF_R,0.4280152681604039
PEF_R,0.4044907637506173
55b_R,0.4162153482456246
V3A_R,0.4366412149676244
RSC_R,0.4324450146060075
POS2_R,0.4406327866644013
V7_R,0.4228078061707181
IPS1_R,0.4442038204014244
FFC_R,0.428548077932055
V3B_R,0.4236217999767927
LO1_R,0.4415539805273122
LO2_R,0.4285490159486705
PIT_R,0.4269401507076676
MT_R,0.4651512921405476
A1_R,0.4504616682175945
PSL_R,0.4288303372304506
SFL_R,0.4158693961239981
PCV_R,0.4249923604180869
STV_R,0.443722774107249
7Pm_R,0.4216246285409807
7m_R,0.4179206357258625
POS1_R,0.425270516371975
23d_R,0.4329075975349066
v23ab_R,0.4290018194950603
d23ab_R,0.4369227211138125
31pv_R,0.4393580196459024
