region,fcgradient03
FST_R,-0.41715997
V3CD_R,-0.8316803
LO3_R,-1.134583
VMV2_R,-1.0766088
31pd_R,-1.5709304
31a_R,0.295046
VVC_R,-0.97235763
25_R,-2.4197125
s32_R,-2.2415388
pOFC_R,0.58282363
PoI1_R,0.83604807
Ig_R,-1.067336
FOP5_R,1.714699
p10p_R,0.31153083
p47r_R,1.7147361
TGv_R,-1.4408247
MBelt_R,-0.78253937
LBelt_R,-1.0005206
A4_R,-1.489662
STSva_R,-2.2931156
TE1m_R,0.49280426
PI_R,-0.121243306
a32pr_R,1.9840205
p24_R,1.34871
