region,cbv
PGp_R,3628.4666
IP2_R,4088.2773
IP1_R,3929.8508
IP0_R,4141.101
PFop_R,4948.049
PF_R,4689.1646
PFm_R,4242.9263
PGi_R,4397.9507
PGs_R,4114.509
V6A_R,4459.3296
VMV1_R,4409.1523
VMV3_R,4572.487
PHA2_R,4306.417
V4t_R,5097.3677
FST_R,5651.5493
V3CD_R,4076.8142
LO3_R,3889.2205
VMV2_R,4540.144
31pd_R,4120.002
31a_R,4334.7974
VVC_R,4009.0344
25_R,5072.9976
s32_R,4641.737
pOFC_R,4730.6787
PoI1_R,5447.9644
Ig_R,5206.608
FOP5_R,4575.9023
p10p_R,3274.7654
p47r_R,3701.8342
TGv_R,4585.725
MBelt_R,5336.755
LBelt_R,5491.1763
A4_R,4825.7695
STSva_R,4567.4536
TE1m_R,4479.3975
PI_R,5645.8716
a32pr_R,4674.2593
p24_R,4968.4272
