region,thick_VI
FOP5_L,0.5239163524047705
p10p_L,0.563395703425858
p47r_L,0.5259004563298508
TGv_L,0.5372161904873869
MBelt_L,0.5243105963879464
LBelt_L,0.5398668079291832
A4_L,0.5286724087556697
STSva_L,0.5168932540124783
TE1m_L,0.5526632443551057
PI_L,0.5165849577963152
a32pr_L,0.5352516011058331
p24_L,0.5275534235038691
V1_R,0.5537534963968819
MST_R,0.5543247169252853
V6_R,0.5544088335596191
V2_R,0.5414580798232321
V3_R,0.5243801436656096
V4_R,0.5432826724276363
V8_R,0.5692919962645843
4_R,0.5281527116770647
3b_R,0.527042093598503
FEF_R,0.5336062313440393
PEF_R,0.4904828450581841
55b_R,0.5093043159197844
V3A_R,0.531601829598193
RSC_R,0.5418460634540604
POS2_R,0.5479903434405542
V7_R,0.513870407414241
IPS1_R,0.5505474895438692
FFC_R,0.5282767852307887
V3B_R,0.5139340824890742
LO1_R,0.5568241922993309
LO2_R,0.5094789678212771
PIT_R,0.5350925089749425
MT_R,0.5816300189055396
A1_R,0.5649751242410972
PSL_R,0.528948472296304
SFL_R,0.5192607821557642
PCV_R,0.5302172957596875
STV_R,0.5579398556902327
7Pm_R,0.5340101843012844
7m_R,0.5218726235098612
POS1_R,0.5247570917596286
23d_R,0.5152171161639424
v23ab_R,0.5295202118048499
d23ab_R,0.5710229178169841
31pv_R,0.5343584033283125
5m_R,0.5398970891861353
5mv_R,0.5259031625628836
23c_R,0.5292317083673761
5L_R,0.5374381160123269
24dd_R,0.5322639104932714
24dv_R,0.5396752551105757
7AL_R,0.5299530371483241
SCEF_R,0.5392400675682701
6ma_R,0.5318132769341424
7Am_R,0.5218417795481747
7Pl_R,0.5476273671082089
7PC_R,0.5508774401128635
LIPv_R,0.5606403169160636
VIP_R,0.5244633935156706
MIP_R,0.5291187514605977
1_R,0.5414618922252692
2_R,0.5350938918718633
3a_R,0.5255214841396307
6d_R,0.5071603392417351
6mp_R,0.5164821030403064
6v_R,0.543258466056403
p24pr_R,0.5630088615486499
33pr_R,0.5510405708024294
a24pr_R,0.5337561451217885
p32pr_R,0.5348158373240925
a24_R,0.5424831442197658
d32_R,0.5401780376817739
8BM_R,0.5395880153949993
p32_R,0.5555014577691985
10r_R,0.4948590760535691
47m_R,0.5207916632691445
8Av_R,0.5227504775009275
8Ad_R,0.5482862959728848
9m_R,0.5383105145244809
8BL_R,0.537817789768563
9p_R,0.5243620415122668
10d_R,0.5298348142581696
8C_R,0.5250906293297086
44_R,0.5427730431234946
45_R,0.5412911526609608
47l_R,0.5185777653256787
