region,cmrglc
TPOJ1_L,6184.5234
TPOJ2_L,6383.7227
TPOJ3_L,6402.9897
DVT_L,6690.3633
PGp_L,6158.0093
IP2_L,7235.5654
IP1_L,7370.2974
IP0_L,6803.6104
PFop_L,5994.782
PF_L,6263.293
PFm_L,6877.339
PGi_L,6547.078
PGs_L,6623.3794
V6A_L,6592.4243
VMV1_L,6135.9
VMV3_L,6093.823
PHA2_L,5307.8433
V4t_L,6251.183
FST_L,6233.5044
V3CD_L,6538.3184
LO3_L,6161.7974
VMV2_L,5778.6973
31pd_L,6891.079
31a_L,7247.068
VVC_L,6116.759
25_L,5764.477
s32_L,6302.755
pOFC_L,5785.648
PoI1_L,5095.8916
Ig_L,5952.507
FOP5_L,6432.7954
p10p_L,7023.47
p47r_L,7170.6216
TGv_L,4854.0835
MBelt_L,6363.2915
LBelt_L,6843.1826
A4_L,5952.55
STSva_L,5637.0845
TE1m_L,6067.23
PI_L,4610.3574
a32pr_L,6396.876
p24_L,6017.366
V1_R,7036.409
MST_R,6274.051
V6_R,6797.8384
V2_R,6743.0747
V3_R,6746.085
V4_R,6627.172
V8_R,6721.03
4_R,6737.0063
3b_R,6975.346
FEF_R,7110.105
PEF_R,7294.6855
55b_R,7066.6157
V3A_R,6705.268
RSC_R,6653.1626
POS2_R,7903.4185
V7_R,6756.326
IPS1_R,7080.0005
FFC_R,6233.872
V3B_R,6710.18
LO1_R,6407.106
LO2_R,5946.275
PIT_R,6139.679
MT_R,6353.005
A1_R,7360.0215
PSL_R,6161.8867
SFL_R,6685.567
PCV_R,6990.5737
STV_R,6316.79
7Pm_R,7229.7495
7m_R,7611.0205
POS1_R,6908.543
23d_R,6921.9165
v23ab_R,7179.6196
d23ab_R,7390.2783
31pv_R,7000.93
5m_R,6716.2056
5mv_R,6224.5396
23c_R,6277.913
5L_R,6301.986
24dd_R,6417.55
24dv_R,6068.465
7AL_R,6290.8633
SCEF_R,6877.669
6ma_R,6722.593
7Am_R,6550.087
7Pl_R,6865.4575
7PC_R,6558.5693
LIPv_R,6932.0635
VIP_R,6578.401
MIP_R,7051.4355
1_R,6442.597
2_R,6470.3735
3a_R,6862.8774
6d_R,6725.732
6mp_R,6634.537
6v_R,6375.66
p24pr_R,6020.6704
33pr_R,5639.4746
a24pr_R,6158.856
p32pr_R,6385.614
a24_R,5985.747
d32_R,6477.1807
8BM_R,6959.646
p32_R,6228.982
10r_R,6799.373
47m_R,7061.5835
8Av_R,7184.4155
8Ad_R,7070.0044
9m_R,6449.9155
8BL_R,6554.204
9p_R,6697.872
10d_R,6480.5576
8C_R,7467.2764
44_R,7165.441
45_R,6973.127
47l_R,6784.453
a47r_R,6789.878
6r_R,7096.483
IFJa_R,7348.3774
IFJp_R,7314.0103
IFSp_R,7416.0513
IFSa_R,7142.81
p9-46v_R,7326.9297
46_R,7234.851
a9-46v_R,7449.393
9-46d_R,7263.991
9a_R,6646.173
10v_R,6476.464
a10p_R,6841.4116
10pp_R,6191.8735
11l_R,6421.941
13l_R,6663.0063
OFC_R,6575.22
47s_R,6399.398
LIPd_R,7055.939
6a_R,7026.009
i6-8_R,7165.4697
s6-8_R,7003.3545
43_R,6409.7715
OP4_R,6072.211
OP1_R,6230.5044
OP2-3_R,6025.2354
52_R,6168.7285
RI_R,6320.0435
PFcm_R,6235.451
PoI2_R,5532.9033
TA2_R,5582.9927
FOP4_R,6564.079
MI_R,6369.1367
Pir_R,4222.2495
AVI_R,6707.1543
AAIC_R,5715.2695
FOP1_R,6526.509
FOP3_R,6046.6147
FOP2_R,5843.0503
PFt_R,6177.341
AIP_R,6748.005
EC_R,4589.1265
PreS_R,4899.873
H_R,4469.5957
ProS_R,5757.209
PeEc_R,4431.537
STGa_R,4961.485
PBelt_R,6573.0723
A5_R,5987.958
PHA1_R,5331.376
PHA3_R,5211.631
STSda_R,5643.118
STSdp_R,6007.0225
STSvp_R,6414.4785
TGd_R,4687.284
TE1a_R,5479.9194
TE1p_R,6155.9966
TE2a_R,5824.9434
TF_R,5171.2373
TE2p_R,5864.575
PHT_R,6072.8296
PH_R,6107.7705
TPOJ1_R,6360.4526
TPOJ2_R,6392.2295
TPOJ3_R,6299.3516
DVT_R,6737.6514
PGp_R,6108.1743
IP2_R,7084.0757
IP1_R,7126.6177
IP0_R,6734.8296
PFop_R,6058.1045
PF_R,6175.9814
PFm_R,6850.196
PGi_R,6600.3
PGs_R,6711.0317
V6A_R,6402.887
VMV1_R,6235.2354
VMV3_R,6002.818
PHA2_R,5299.9966
V4t_R,6005.457
FST_R,6153.8564
V3CD_R,6536.232
LO3_R,6152.3945
VMV2_R,5778.6377
31pd_R,7042.633
31a_R,7123.3647
VVC_R,6009.7944
25_R,5673.1616
s32_R,6099.4966
pOFC_R,5958.533
PoI1_R,5314.2734
Ig_R,5983.478
FOP5_R,6717.4985
p10p_R,7293.1704
p47r_R,7109.8096
TGv_R,4626.1436
MBelt_R,6857.238
LBelt_R,7026.5376
A4_R,5960.466
STSva_R,5793.827
TE1m_R,6259.3013
PI_R,5093.862
a32pr_R,6474.4634
p24_R,6033.3228
