region,megtheta
8BM_R,0.31745303
p32_R,0.28399312
10r_R,0.2743615
47m_R,0.25816914
8Av_R,0.29477054
8Ad_R,0.3030242
9m_R,0.29838762
8BL_R,0.3108679
9p_R,0.29814395
10d_R,0.2791875
8C_R,0.28661048
44_R,0.2657907
45_R,0.26952958
47l_R,0.26666775
a47r_R,0.26017207
6r_R,0.2595397
IFJa_R,0.27705938
IFJp_R,0.2797194
IFSp_R,0.269591
IFSa_R,0.26341486
p9-46v_R,0.27691814
46_R,0.28513423
a9-46v_R,0.27119607
9-46d_R,0.28530988
9a_R,0.28768027
10v_R,0.26091582
a10p_R,0.2631315
10pp_R,0.26441482
11l_R,0.2626738
13l_R,0.25270352
OFC_R,0.25536704
47s_R,0.24952191
LIPd_R,0.23892145
6a_R,0.297611
i6-8_R,0.29992962
s6-8_R,0.30957913
43_R,0.24632536
OP4_R,0.24399798
OP1_R,0.24211968
OP2-3_R,0.2431226
52_R,0.23676756
RI_R,0.24386594
PFcm_R,0.24469262
PoI2_R,0.23980662
TA2_R,0.23702605
FOP4_R,0.25200576
MI_R,0.24125242
Pir_R,0.24485223
AVI_R,0.24652012
AAIC_R,0.24201961
FOP1_R,0.25305966
FOP3_R,0.24408178
FOP2_R,0.24669452
PFt_R,0.24491222
AIP_R,0.23822282
EC_R,0.23544376
PreS_R,0.23459177
H_R,0.23435076
ProS_R,0.2379996
PeEc_R,0.23605928
STGa_R,0.23733844
PBelt_R,0.23502891
A5_R,0.23502377
PHA1_R,0.23360795
PHA3_R,0.2347964
STSda_R,0.23606431
STSdp_R,0.23478161
STSvp_R,0.23377511
TGd_R,0.23672698
TE1a_R,0.2335356
TE1p_R,0.2309792
TE2a_R,0.23451616
TF_R,0.23370689
TE2p_R,0.22903687
PHT_R,0.22570984
PH_R,0.21498145
TPOJ1_R,0.23428415
TPOJ2_R,0.22352652
TPOJ3_R,0.22309926
DVT_R,0.22318602
PGp_R,0.21446982
IP2_R,0.23686732
IP1_R,0.2321498
IP0_R,0.22547507
PFop_R,0.24717525
PF_R,0.24427223
PFm_R,0.23558386
PGi_R,0.23080681
PGs_R,0.22576644
V6A_R,0.21787056
VMV1_R,0.23438625
VMV3_R,0.22283696
PHA2_R,0.23535502
V4t_R,0.2128778
FST_R,0.21570452
V3CD_R,0.20821637
LO3_R,0.21237583
VMV2_R,0.22955559
31pd_R,0.2470509
31a_R,0.25700483
VVC_R,0.23094293
25_R,0.25737354
s32_R,0.26689675
pOFC_R,0.24826641
