region,thick_I
FOP5_L,0.2446628276228334
p10p_L,0.2525710518575745
p47r_L,0.2511889200252962
TGv_L,0.2594137660181642
MBelt_L,0.2493782935735203
LBelt_L,0.2500039308287323
A4_L,0.2492070986532126
STSva_L,0.243774664777788
TE1m_L,0.2542586700930366
PI_L,0.2424322279242908
a32pr_L,0.2475622235321614
p24_L,0.2463918009980839
V1_R,0.2539469119701584
MST_R,0.2565319804445964
V6_R,0.2547690005608288
V2_R,0.2530602249946216
V3_R,0.2508100458588584
V4_R,0.2509431066558893
V8_R,0.2494066255995025
4_R,0.2534681675235407
3b_R,0.2518535496432666
FEF_R,0.2480018790846804
PEF_R,0.2459970244062104
55b_R,0.2599335520775228
V3A_R,0.2522301341494446
RSC_R,0.2491825698928256
POS2_R,0.259595597185912
V7_R,0.2386767431699328
IPS1_R,0.2649410300393029
FFC_R,0.2532425596530803
V3B_R,0.2515112430493173
LO1_R,0.2543068041253613
LO2_R,0.2575571871711207
PIT_R,0.2606697666887464
MT_R,0.2585821430917488
A1_R,0.2529148605853237
PSL_R,0.2538531796472688
SFL_R,0.2470763490273544
PCV_R,0.2492791909629267
STV_R,0.252684896907248
7Pm_R,0.2514306464378414
7m_R,0.2452043806470117
POS1_R,0.2500354700214843
23d_R,0.2540978625901983
v23ab_R,0.2509743587778233
d23ab_R,0.2594435729488258
31pv_R,0.2570832308763481
5m_R,0.2564078347052538
5mv_R,0.2494251086033533
23c_R,0.2546939494028731
5L_R,0.2514137481937727
24dd_R,0.2519922069342704
24dv_R,0.2569922499257669
7AL_R,0.2585102864317362
SCEF_R,0.2586352105753576
6ma_R,0.2523140626419425
7Am_R,0.2523043772524881
7Pl_R,0.2441190572085338
7PC_R,0.2532433721940286
LIPv_R,0.2626548069640541
VIP_R,0.2516806132841439
MIP_R,0.253937870926806
1_R,0.2594984675056752
2_R,0.2547727631133669
3a_R,0.2481253709632583
6d_R,0.2446429828984719
6mp_R,0.2527480175686559
6v_R,0.2556106852070163
p24pr_R,0.2575598288160416
33pr_R,0.25730232806903
a24pr_R,0.256866824262939
p32pr_R,0.2579045097229954
a24_R,0.2534757419591372
d32_R,0.25545079184467
8BM_R,0.2552842340830238
p32_R,0.2493556182479211
10r_R,0.2446888974072039
47m_R,0.2523391309001745
8Av_R,0.2550586955047648
8Ad_R,0.2551303030761317
9m_R,0.2563664216537402
8BL_R,0.2620872879121197
9p_R,0.2565988513323978
10d_R,0.2586971951114605
8C_R,0.249738576984035
44_R,0.2603803854721401
45_R,0.2531600956336899
47l_R,0.2480658676201182
a47r_R,0.2524420413599078
6r_R,0.2490783413543157
IFJa_R,0.2606727405643992
IFJp_R,0.2497607055064876
IFSp_R,0.2457719083144841
IFSa_R,0.2448262339608641
p9-46v_R,0.2487228970474795
46_R,0.2562106755428517
a9-46v_R,0.2511429112891126
9-46d_R,0.2535310650300342
9a_R,0.2515411482218956
10v_R,0.2484969469487241
a10p_R,0.2429688480201942
10pp_R,0.2526128036678695
11l_R,0.2549548426357337
13l_R,0.2502641379496425
OFC_R,0.2552710113260911
47s_R,0.2576250265186461
LIPd_R,0.2533631712467243
6a_R,0.2515782986909917
i6-8_R,0.2502828345533169
s6-8_R,0.2582068589257845
43_R,0.2536742234335589
OP4_R,0.249340029360531
OP1_R,0.2608253084211945
OP2-3_R,0.2470897050358332
52_R,0.2598796170385845
RI_R,0.2573374264843703
PFcm_R,0.251537849189919
PoI2_R,0.257682498941965
TA2_R,0.2540951843104503
FOP4_R,0.2550668455530046
MI_R,0.2528801199261981
Pir_R,0.2527346805109129
AVI_R,0.2522789468744068
AAIC_R,0.2584689681579525
FOP1_R,0.2619568337556171
FOP3_R,0.2436940781684358
FOP2_R,0.2556577913733893
PFt_R,0.2552499749500005
AIP_R,0.2509245629339111
EC_R,0.2535736233792271
PreS_R,0.2547396233660977
H_R,0.2505459072021284
ProS_R,0.2500535427586645
PeEc_R,0.2578132778394867
STGa_R,0.2558283583409024
PBelt_R,0.2475550724845129
A5_R,0.2585989714307135
PHA1_R,0.251991938551286
PHA3_R,0.2510170212416194
STSda_R,0.2528109599916271
STSdp_R,0.2472707339498025
STSvp_R,0.2496989765596876
TGd_R,0.2525505948325953
TE1a_R,0.2550598788435724
TE1p_R,0.2546422141010405
TE2a_R,0.2531854225517342
TF_R,0.2489906059392366
TE2p_R,0.2556003547013709
PHT_R,0.2520770161173283
PH_R,0.2497705295783243
TPOJ1_R,0.2512480991693396
TPOJ2_R,0.2499487395909473
TPOJ3_R,0.2485909828035798
DVT_R,0.2519990093435267
PGp_R,0.2514483044872421
IP2_R,0.2564215390405512
IP1_R,0.2511415078047956
IP0_R,0.2514727274584538
PFop_R,0.2580055226713079
PF_R,0.2514748946712888
PFm_R,0.2508758833218489
PGi_R,0.2528849432848297
PGs_R,0.2550446440502048
V6A_R,0.2582928500388695
VMV1_R,0.2606305758661257
VMV3_R,0.2520978262304053
PHA2_R,0.2516889776128517
V4t_R,0.2577790120495897
FST_R,0.2470366743945849
V3CD_R,0.2575992445955925
LO3_R,0.2461009155870533
VMV2_R,0.2633832999764224
31pd_R,0.2605421230234722
31a_R,0.2631868408181996
VVC_R,0.2621731328984075
25_R,0.2525045711619082
s32_R,0.2387954141859099
pOFC_R,0.2527774202739661
PoI1_R,0.2504647974802774
Ig_R,0.2573626463528231
FOP5_R,0.2399365226345305
