region,arealscaling
H_L,1.9444195770505648
ProS_L,1.8399133690076528
PeEc_L,3.172152611948538
STGa_L,3.422782961681077
PBelt_L,2.2899796205822613
A5_L,2.8618059782971748
PHA1_L,2.343823920230608
PHA3_L,2.379002836705476
STSda_L,2.328122646552616
STSdp_L,2.097633529506354
STSvp_L,2.357652727742965
TGd_L,3.419666849496944
TE1a_L,3.053699952962565
TE1p_L,2.786359147858866
TE2a_L,2.8506670761774866
TF_L,2.478566357370796
TE2p_L,2.7677024950489235
PHT_L,2.707391567113881
PH_L,2.438980357000761
TPOJ1_L,2.2428237232232844
TPOJ2_L,2.193287506900132
TPOJ3_L,1.9920872935452432
DVT_L,2.006366931137286
PGp_L,2.5757426415209603
IP2_L,2.0792979029457754
IP1_L,2.137998302667535
IP0_L,2.0798165060492124
PFop_L,2.5992587463111634
PF_L,2.5989780188262297
PFm_L,2.484045618297758
PGi_L,2.197727357375604
PGs_L,2.488750079831568
V6A_L,2.2400051037352062
VMV1_L,2.345004302970433
VMV3_L,1.980420272934193
PHA2_L,1.9651919431561464
V4t_L,2.062833039848893
FST_L,2.2848766517794146
V3CD_L,1.9997577978870065
LO3_L,2.4676030495356227
VMV2_L,1.7940676906733837
31pd_L,1.9135334002665985
31a_L,2.681208622545397
VVC_L,2.6369741660265524
25_L,2.540534578349794
s32_L,2.1104142990268646
pOFC_L,2.701217066190567
PoI1_L,2.894104694375897
Ig_L,2.327187491865719
FOP5_L,2.21691615550549
p10p_L,2.41626020354293
p47r_L,2.125343631066579
TGv_L,3.1531067401897617
MBelt_L,2.277457790605484
LBelt_L,2.146193647697764
A4_L,2.9618352136130555
STSva_L,2.2552120683078245
TE1m_L,2.8314665507090155
PI_L,2.4043566208848066
a32pr_L,2.418700883996433
p24_L,3.2089015619971537
V1_R,1.953850242720196
MST_R,1.98363038867
V6_R,1.779624559454722
V2_R,2.0919048578655426
V3_R,2.024339749032996
V4_R,2.111394254698919
V8_R,2.278769682204887
4_R,2.400230661583128
3b_R,1.5425728632354343
FEF_R,2.4863285449508563
PEF_R,2.2115669853282425
55b_R,2.721337998060015
V3A_R,2.053110785182393
RSC_R,2.4371994099791907
POS2_R,2.24114923074926
V7_R,1.899619261148564
IPS1_R,1.8598760845145093
FFC_R,2.4812913880954968
V3B_R,1.8995706221722293
LO1_R,2.341453006675652
LO2_R,2.4455358474724846
PIT_R,2.683290559946284
MT_R,2.0221159543185947
A1_R,2.3261180962546395
PSL_R,2.7219431468742017
SFL_R,3.0678225268780346
PCV_R,2.414521538168581
STV_R,2.323182638111914
7Pm_R,2.196016059746072
7m_R,2.2547735024695617
POS1_R,2.793543268072941
23d_R,2.7966394897979527
v23ab_R,2.690752373006992
d23ab_R,2.8414648397684363
31pv_R,2.274753904700503
5m_R,2.135153654937086
5mv_R,1.9668505561819425
23c_R,2.342359900034932
5L_R,2.3132755649488383
24dd_R,2.4465293657649885
24dv_R,2.2472516244056666
7AL_R,2.141333398102336
SCEF_R,2.536955235126889
6ma_R,2.646303624330741
7Am_R,2.4432333710351224
7Pl_R,2.3812015520288816
7PC_R,2.3374116134578147
LIPv_R,1.8697802138185784
VIP_R,2.301286990200723
MIP_R,2.0030235242424035
1_R,2.194509529827534
2_R,1.852670963192399
3a_R,1.7093234119687493
6d_R,2.6610001320781014
6mp_R,2.5080016750273355
6v_R,2.804917565862472
p24pr_R,2.6796126947125893
33pr_R,2.454795407660213
a24pr_R,2.906920293362244
p32pr_R,2.32681707172242
a24_R,2.950815179857082
d32_R,2.4935451441874505
8BM_R,2.691361752334906
p32_R,2.188558790291629
10r_R,2.0922764516267622
47m_R,2.903451461038824
8Av_R,2.6124378581264702
8Ad_R,2.245650329807688
9m_R,2.662749018341173
8BL_R,2.920667237902995
9p_R,2.3586241661402574
10d_R,2.6603029311612643
8C_R,2.2436415132897984
44_R,2.5861467909266223
45_R,2.6605594088226843
47l_R,2.7991654639472503
a47r_R,2.635687987702324
6r_R,2.432705503184073
IFJa_R,2.0860858288894137
IFJp_R,2.0093370506606125
IFSp_R,2.168306176846388
IFSa_R,2.2473119732648006
p9-46v_R,2.536982939682469
46_R,2.247467311652931
a9-46v_R,2.4168141676115145
9-46d_R,2.2748018243558104
9a_R,2.494243014970328
10v_R,2.6185428226477634
a10p_R,2.554815628711718
10pp_R,2.943403354374289
11l_R,2.55311864279368
13l_R,2.7110403199552966
OFC_R,2.5680790076194966
47s_R,3.015632643488241
LIPd_R,1.946466645310978
6a_R,2.258847047322377
i6-8_R,2.6365298499231757
s6-8_R,2.690906891304448
43_R,2.7831011090001003
OP4_R,2.713497776145494
OP1_R,2.611773841994724
OP2-3_R,2.270508908927441
52_R,1.805585565119444
RI_R,2.0532973052375785
PFcm_R,2.4324106562439693
PoI2_R,3.3946233966797315
TA2_R,2.7144180303034573
FOP4_R,2.602228516877866
MI_R,3.124422407703485
Pir_R,2.8199423095759224
AVI_R,2.843281744863801
AAIC_R,4.036484921203784
FOP1_R,2.6925857995637945
FOP3_R,2.120548415816192
FOP2_R,2.376637334345605
PFt_R,2.259850853630699
AIP_R,2.041718410326745
EC_R,3.0235255938052386
PreS_R,2.445033958842153
H_R,1.8914495129504825
ProS_R,1.9979250440230736
PeEc_R,3.12604784287626
STGa_R,3.0849939177550234
PBelt_R,2.520047548123532
A5_R,2.8495154272315038
PHA1_R,2.37416273889726
PHA3_R,1.9566129655628413
STSda_R,2.349829235443702
STSdp_R,2.17267391325316
STSvp_R,2.795753469038657
TGd_R,3.4155313536906307
TE1a_R,3.137612742318837
TE1p_R,2.8164028979710856
TE2a_R,2.833813607928091
TF_R,2.2594760490515915
TE2p_R,2.327525502281209
PHT_R,2.5265064740979715
PH_R,2.381220768944662
TPOJ1_R,2.318072336860153
TPOJ2_R,2.558272514840193
TPOJ3_R,1.991524183959292
DVT_R,2.0436348185907574
PGp_R,2.3812138619989045
IP2_R,2.120876313672423
IP1_R,2.317347124086132
IP0_R,2.084934361986778
PFop_R,2.6373461560163127
PF_R,2.663620263632433
PFm_R,2.52284566839728
PGi_R,2.1928380240897303
PGs_R,2.377808506131624
V6A_R,2.2430006827411946
VMV1_R,2.402565222347232
VMV3_R,2.106464265256027
PHA2_R,1.7740829252265953
V4t_R,2.0122028592206704
FST_R,2.066881364882474
V3CD_R,2.0817957109875147
LO3_R,2.4859813543374907
VMV2_R,1.8164003141382907
31pd_R,1.909743089775939
31a_R,2.586539370626129
VVC_R,2.5573378968529585
25_R,2.6766583930059102
s32_R,2.4320940492288123
pOFC_R,2.5353852732402853
PoI1_R,2.814829180189358
Ig_R,2.28600624484836
FOP5_R,2.217088931347164
p10p_R,2.283152730852856
p47r_R,2.269649247367628
TGv_R,3.1072827018175038
MBelt_R,2.182654886482061
LBelt_R,2.257410072860356
A4_R,3.052023113885461
STSva_R,2.7439117336758305
TE1m_R,2.681017823824807
PI_R,2.1321409670403755
a32pr_R,2.440007622230023
p24_R,2.9006927174490853
