region,parvalbumin
FOP2_L,124.2903507440595
PFt_L,138.52743192804132
AIP_L,131.52616318737657
EC_L,107.23425823330469
PreS_L,123.45425617118752
H_L,125.74069131616191
ProS_L,102.58583744224198
PeEc_L,119.54072671730756
STGa_L,132.88430019261722
PBelt_L,126.73835894451754
A5_L,135.87923441953765
PHA1_L,112.19701602935793
PHA3_L,129.62028840560848
STSda_L,143.26056328918156
STSdp_L,144.56129303991267
STSvp_L,152.70044265292276
TGd_L,124.2623324523101
TE1a_L,151.43713203214463
TE1p_L,145.17792214602787
TE2a_L,142.60501982427826
TF_L,137.38913641999486
TE2p_L,139.2540190174828
PHT_L,132.89487013680977
PH_L,129.868688562247
TPOJ1_L,149.0555389258924
TPOJ2_L,118.01368721782646
TPOJ3_L,107.4745307053002
DVT_L,126.8180971992461
PGp_L,107.58658492571834
IP2_L,118.8059712311612
IP1_L,132.08587622683837
IP0_L,132.285155720667
PFop_L,132.3788957514124
PF_L,139.62449986379409
PFm_L,129.87162359117224
PGi_L,121.71946097643652
PGs_L,123.29784953777607
V6A_L,79.60226872245673
VMV1_L,117.89147575685288
VMV3_L,135.17018933781603
PHA2_L,130.8518228369244
V4t_L,135.38108245488291
FST_L,128.74926766826823
V3CD_L,125.75279855948568
LO3_L,126.81274868005856
VMV2_L,141.61674234037488
31pd_L,126.83979547389946
31a_L,145.9643235815239
VVC_L,123.266181359739
25_L,126.203470998546
s32_L,124.8000159355902
pOFC_L,113.94528772156552
PoI1_L,125.2862926509508
Ig_L,143.10784570892136
FOP5_L,118.29255609382336
p10p_L,107.54434445055226
p47r_L,103.4979140145438
TGv_L,105.256518045837
MBelt_L,125.36805612054796
LBelt_L,132.49521285015604
A4_L,141.48547664419388
STSva_L,128.74729900816047
TE1m_L,149.13160819818836
PI_L,133.92670288924333
a32pr_L,101.61534962627572
p24_L,101.23866081371456
V1_R,129.3193401185806
MST_R,128.3577302411418
V6_R,129.41465262077034
V2_R,115.94310110593544
V3_R,117.74347992179077
V4_R,121.03635402048754
V8_R,133.431019710444
4_R,133.92257639093495
3b_R,140.64151192371082
FEF_R,121.07161331899238
PEF_R,106.78788727654351
55b_R,113.27653361000696
V3A_R,134.2193478531822
RSC_R,130.86177118935996
POS2_R,132.71405039149062
V7_R,134.3130762739398
IPS1_R,124.79563599478176
FFC_R,125.31265452240586
V3B_R,142.5490157700317
LO1_R,131.61623735206072
LO2_R,113.26351288434894
PIT_R,83.55013674718363
MT_R,143.13448585336366
A1_R,139.29407185798323
PSL_R,147.94488833153795
SFL_R,86.21636639398807
PCV_R,124.20249460482368
STV_R,131.63453580160157
7Pm_R,103.29249532599198
7m_R,141.8818494251796
POS1_R,130.3177518298074
23d_R,154.87561134804088
v23ab_R,131.00821798819084
d23ab_R,151.59566627611312
31pv_R,146.94411279533796
5m_R,108.68826096069792
5mv_R,121.13573941454004
23c_R,143.98592789911592
5L_R,142.38515279433307
24dd_R,142.76400390514527
24dv_R,132.66168572076646
7AL_R,123.27118481649912
SCEF_R,111.64833965593236
6ma_R,103.71011294423226
7Am_R,116.48730278284916
7Pl_R,120.82949753199372
7PC_R,104.42467512882632
LIPv_R,124.28489879093368
VIP_R,108.62902078904524
MIP_R,120.32226005381784
1_R,132.6214230170617
2_R,138.1852307563706
3a_R,133.3897148119349
6d_R,129.0399732768002
6mp_R,125.22597395589392
6v_R,131.15703017071758
p24pr_R,135.1481662513967
33pr_R,120.69628986352078
a24pr_R,109.64615397361804
p32pr_R,117.94037542084952
a24_R,110.53604816317323
d32_R,100.29443193569988
8BM_R,88.03520583499734
p32_R,108.04582267770132
10r_R,108.167927226421
47m_R,102.26395599416412
8Av_R,105.6526453070757
8Ad_R,92.10192649912506
9m_R,98.61360784187234
8BL_R,91.22965809834682
9p_R,103.16743586985808
10d_R,100.96920357804272
8C_R,109.61886031660794
44_R,127.97786319971708
45_R,110.59496240694315
47l_R,105.54095841421598
a47r_R,104.5926096492501
6r_R,129.1932768150902
IFJa_R,127.86142294174398
IFJp_R,100.59099000407106
IFSp_R,105.15331189489947
IFSa_R,101.50847768051476
p9-46v_R,103.56556449574454
46_R,93.81216773259492
a9-46v_R,100.5550618994173
9-46d_R,95.26257301415312
9a_R,107.7716956443672
10v_R,106.68766162579637
a10p_R,102.4274372885804
10pp_R,92.16096574345904
11l_R,104.26530318627924
13l_R,122.16842959777168
OFC_R,114.43276251206206
47s_R,124.4072633133048
LIPd_R,116.78575369815698
6a_R,124.528974937124
i6-8_R,109.82218242805448
s6-8_R,94.78216790858971
43_R,142.2950754938899
OP4_R,136.43000003719155
OP1_R,143.845094630183
