region,megalpha
MST_R,0.38404304
V6_R,0.40816733
V2_R,0.38690454
V3_R,0.40781757
V4_R,0.3974713
V8_R,0.38503313
4_R,0.27854183
3b_R,0.3057176
FEF_R,0.245171
PEF_R,0.24171516
55b_R,0.24381551
V3A_R,0.43697056
RSC_R,0.28752613
POS2_R,0.3974188
V7_R,0.41032532
IPS1_R,0.38744992
FFC_R,0.3627658
V3B_R,0.41045693
LO1_R,0.39431885
LO2_R,0.38068372
PIT_R,0.38217035
MT_R,0.38962916
A1_R,0.32765913
PSL_R,0.3365599
SFL_R,0.19682445
PCV_R,0.34850928
STV_R,0.34970507
7Pm_R,0.37726438
7m_R,0.36286512
POS1_R,0.33778524
23d_R,0.27278605
v23ab_R,0.3221013
d23ab_R,0.2984627
31pv_R,0.31064636
5m_R,0.3079913
5mv_R,0.30030882
23c_R,0.28697336
5L_R,0.33211225
24dd_R,0.25431627
24dv_R,0.2436803
7AL_R,0.3429996
SCEF_R,0.22075622
6ma_R,0.21629927
7Am_R,0.35900214
7Pl_R,0.37895828
7PC_R,0.34552506
LIPv_R,0.35959715
VIP_R,0.36297253
MIP_R,0.3731129
1_R,0.31630996
2_R,0.32944962
3a_R,0.29795834
6d_R,0.26966295
6mp_R,0.24665436
6v_R,0.25246027
p24pr_R,0.25416058
33pr_R,0.23153734
a24pr_R,0.22252081
p32pr_R,0.21819572
a24_R,0.20088334
d32_R,0.18651752
8BM_R,0.18774725
p32_R,0.18731682
10r_R,0.18388179
47m_R,0.23363122
8Av_R,0.20835197
8Ad_R,0.19706547
9m_R,0.17884314
8BL_R,0.18286327
9p_R,0.185267
10d_R,0.17935643
8C_R,0.21715723
44_R,0.23174712
45_R,0.22158824
47l_R,0.22290292
a47r_R,0.20854838
6r_R,0.25227004
IFJa_R,0.22329926
IFJp_R,0.23137309
IFSp_R,0.21797955
IFSa_R,0.21590294
p9-46v_R,0.20725106
46_R,0.19614105
a9-46v_R,0.19332065
9-46d_R,0.18929435
9a_R,0.1814643
10v_R,0.1970299
a10p_R,0.18746378
10pp_R,0.19031121
11l_R,0.20493469
13l_R,0.23664512
OFC_R,0.22076787
47s_R,0.23952919
LIPd_R,0.35638654
6a_R,0.23392516
i6-8_R,0.21162301
s6-8_R,0.20103267
43_R,0.2862858
OP4_R,0.30843633
OP1_R,0.32323292
OP2-3_R,0.3156229
52_R,0.32226968
RI_R,0.3312699
PFcm_R,0.32814372
PoI2_R,0.2878974
TA2_R,0.2739751
FOP4_R,0.2673122
MI_R,0.28339815
Pir_R,0.24915488
AVI_R,0.26420057
AAIC_R,0.25867498
FOP1_R,0.26979417
FOP3_R,0.28670794
FOP2_R,0.29436582
PFt_R,0.32207245
AIP_R,0.34714624
EC_R,0.29712796
PreS_R,0.33073863
H_R,0.3117563
ProS_R,0.3230756
PeEc_R,0.2903557
STGa_R,0.2530069
PBelt_R,0.32109752
A5_R,0.32545224
PHA1_R,0.33145034
PHA3_R,0.34144115
STSda_R,0.28873903
STSdp_R,0.3373622
STSvp_R,0.3315289
TGd_R,0.25360328
TE1a_R,0.30203927
TE1p_R,0.35001615
TE2a_R,0.3112883
TF_R,0.31878018
TE2p_R,0.35418728
PHT_R,0.3672184
PH_R,0.37843025
TPOJ1_R,0.35442972
TPOJ2_R,0.38022408
TPOJ3_R,0.38205752
DVT_R,0.38261825
PGp_R,0.40157315
IP2_R,0.35018846
IP1_R,0.37110385
IP0_R,0.38486624
PFop_R,0.3114072
PF_R,0.32412374
PFm_R,0.34832314
PGi_R,0.36384928
PGs_R,0.37446597
V6A_R,0.40639126
VMV1_R,0.32738736
VMV3_R,0.35962626
PHA2_R,0.33064416
V4t_R,0.37888613
FST_R,0.37958425
V3CD_R,0.4149184
LO3_R,0.39828435
VMV2_R,0.3346678
31pd_R,0.33460242
31a_R,0.31364977
VVC_R,0.33728397
25_R,0.23196588
s32_R,0.209187
pOFC_R,0.24781992
PoI1_R,0.28770489
Ig_R,0.31803232
FOP5_R,0.23869692
p10p_R,0.18503308
p47r_R,0.21307181
TGv_R,0.27590957
MBelt_R,0.31020626
LBelt_R,0.33415815
A4_R,0.32764202
STSva_R,0.30239248
TE1m_R,0.33167732
PI_R,0.26171204
a32pr_R,0.19714637
p24_R,0.19901884
