region,struct_score
V3_R,-3.162078901993007
V4_R,-3.399014468703877
V8_R,-2.5064411538934084
4_R,-1.556183879340047
3b_R,-0.3069327954419545
FEF_R,-1.3334573698203613
PEF_R,-0.5329773876318824
55b_R,-1.6941661823847278
V3A_R,-3.4849612558677623
RSC_R,1.219816292624318
POS2_R,-2.612154207088797
V7_R,-3.485789312117752
IPS1_R,-3.642157990386012
FFC_R,-1.6014297071427332
V3B_R,-3.568767264143405
LO1_R,-3.837236465643614
LO2_R,-3.567027885637047
PIT_R,-3.5570321088497288
MT_R,-3.153201515640785
A1_R,1.2368610631506505
PSL_R,-2.613396295094708
SFL_R,-0.2556502293375
PCV_R,-1.42876036768711
STV_R,-2.8363758776568013
7Pm_R,-2.2652867051217767
7m_R,-0.7268675845772031
POS1_R,-0.48610119774972244
