region,arousal
46_R,-0.1520999181710695
a9-46v_R,0.15046281061770622
9-46d_R,0.6351147571664056
9a_R,0.8675514529949746
10v_R,0.22053579644159338
a10p_R,-0.43348695758671285
10pp_R,0.42452430482754655
11l_R,0.6121459492720875
13l_R,0.07609666204024818
OFC_R,-0.23042423113818328
47s_R,1.3521387621651675
LIPd_R,-3.300126218867178
6a_R,-1.807015359452535
i6-8_R,-0.6046272176705576
s6-8_R,-0.1560004602274431
43_R,-1.6585029931730042
OP4_R,-1.662876895162028
OP1_R,0.3414647021410488
OP2-3_R,0.7508171839629872
52_R,1.3694994493662571
RI_R,-1.408473563709268
PFcm_R,-1.5097163955099915
PoI2_R,1.9324479760298376
TA2_R,-0.02630059221372467
FOP4_R,-0.2533678391337406
MI_R,0.918505862470221
Pir_R,5.233299614571394
AVI_R,-0.18404350364216612
AAIC_R,0.7784420501816424
FOP1_R,-0.6922811802673943
FOP3_R,0.22753183004934482
FOP2_R,-0.4748789190932773
PFt_R,-1.1155762912432359
AIP_R,-2.5050016206423082
EC_R,7.460661716343529
PreS_R,2.644994621537052
H_R,3.7494686969627398
ProS_R,0.3211998834018434
PeEc_R,1.3959195115526988
STGa_R,0.4003650802163053
PBelt_R,-2.210739914754626
A5_R,-2.172466140288803
PHA1_R,2.5195047083478608
PHA3_R,2.0321788979494215
STSda_R,-0.44779800179894036
STSdp_R,-1.605315861136181
STSvp_R,-2.105712614813408
TGd_R,0.4391928504452654
TE1a_R,-0.8551675432079625
TE1p_R,-1.1419198874053142
TE2a_R,-0.12396255360681221
TF_R,1.0981239523385808
TE2p_R,0.8969328626719246
PHT_R,-0.7754547637934316
PH_R,-0.27010937619501374
TPOJ1_R,-2.068697982997717
TPOJ2_R,-1.4145015029373826
TPOJ3_R,-2.548871296014939
DVT_R,0.01015885513788335
PGp_R,-0.5420442963100163
IP2_R,-2.319213252540321
IP1_R,-1.7047144059891708
IP0_R,0.27015193934337517
PFop_R,-0.10252157135520007
PF_R,-0.9749225759447698
PFm_R,-1.3343295923736889
PGi_R,-2.1692623774501696
PGs_R,-0.8803379200422344
V6A_R,-0.2763468972390099
VMV1_R,0.6273290064505039
VMV3_R,0.3047806056606352
PHA2_R,2.688761444020069
V4t_R,0.8422647385178605
FST_R,0.3783939030052537
V3CD_R,1.6218199215255045
LO3_R,0.7846419589505044
VMV2_R,-0.04886148024087287
31pd_R,1.1454090133284731
31a_R,1.059768056927408
VVC_R,1.4119047690668851
25_R,3.408912232895356
s32_R,2.223440360293488
pOFC_R,1.876199222004982
PoI1_R,2.680745661622678
Ig_R,1.7568882729586492
FOP5_R,-0.6532359110120876
p10p_R,0.11582017822524514
p47r_R,-0.43585704005984005
TGv_R,-0.31010341499107397
MBelt_R,-0.18689022623180565
LBelt_R,-1.5579613138402775
A4_R,-2.045855410712688
STSva_R,-0.5198007462532174
TE1m_R,-1.169317452163237
PI_R,1.3915710255308689
a32pr_R,0.6071355115405457
p24_R,2.402429242738732
