region,strategy
PreS_L,-0.8425835882232721
H_L,-1.5788449235092057
ProS_L,-1.2519532750909204
PeEc_L,-1.052115598111845
STGa_L,-1.320193215870867
PBelt_L,-2.719514902937785
A5_L,-2.115697574190029
PHA1_L,0.09605132530696242
PHA3_L,-0.03116993424366434
STSda_L,-2.126965943384052
STSdp_L,-3.194512125247826
STSvp_L,-2.486506012321158
TGd_L,-0.8969574098174671
TE1a_L,-0.8956938361961467
TE1p_L,-0.9152640694209696
TE2a_L,-0.656928643344105
TF_L,-1.2538112109425232
TE2p_L,-0.961180066969307
PHT_L,-1.6900270999837448
PH_L,-0.9418798378195146
TPOJ1_L,-2.2624605884256748
TPOJ2_L,-1.0057477167359223
TPOJ3_L,-0.06155255313076687
DVT_L,1.7899312015446336
PGp_L,0.48728889659089386
IP2_L,2.5354579462140716
IP1_L,3.1888129306502435
IP0_L,2.3007900896469304
PFop_L,-0.7689856958107691
PF_L,-0.38311362259970394
PFm_L,0.8961765999127437
PGi_L,-0.11267188738163647
PGs_L,0.25372236679114185
V6A_L,1.16396507289873
VMV1_L,-0.24148154922488838
VMV3_L,-0.1572985192020912
PHA2_L,0.03601345206296927
V4t_L,-1.1833552107254268
FST_L,-1.7048189494515948
V3CD_L,0.4241668373858712
LO3_L,-0.7562691791742556
VMV2_L,0.3854142025368776
31pd_L,-1.126303253076274
31a_L,-1.3764687762473162
VVC_L,0.12186185145216848
25_L,0.703943949730611
s32_L,2.529382872637138
pOFC_L,-0.6863829592480026
PoI1_L,-2.2937219570235334
Ig_L,-1.738037362443994
FOP5_L,1.8650918684118931
p10p_L,1.082945111635417
p47r_L,3.794890744023705
TGv_L,-1.1066337642705153
MBelt_L,-2.6348445868997943
LBelt_L,-2.8133904914365417
A4_L,-1.8539799332038764
STSva_L,-2.2186795213144337
TE1m_L,-0.9567048405660676
PI_L,-2.0736470276826635
a32pr_L,1.68710373545421
p24_L,0.11075020673248201
V1_R,-0.2619392937335345
MST_R,-0.954996519148457
V6_R,0.8039617943499221
V2_R,-0.32697695219556594
V3_R,-0.19315104679347814
V4_R,-0.35147746069287333
V8_R,-1.2629276838755938
4_R,-1.320434598347363
3b_R,-1.183963021278987
FEF_R,0.8566344275266308
PEF_R,0.5310690815652552
55b_R,0.5771123105486413
V3A_R,0.21183534553345124
RSC_R,-1.0439598795552554
POS2_R,1.8134966372758912
V7_R,1.7257271023377565
IPS1_R,2.380012401266427
FFC_R,-0.5714364236550453
V3B_R,2.0271352199320196
LO1_R,-0.15245303907963653
LO2_R,-1.3687821652365832
PIT_R,-0.4008630402325737
MT_R,-1.1936775519136298
A1_R,-2.7631769251110407
PSL_R,-0.5847763804380812
SFL_R,-0.16579877390246758
PCV_R,-0.08946012698230925
STV_R,-0.9452905474164687
7Pm_R,2.2947137422230512
7m_R,-0.6247264240674039
POS1_R,0.19909516412719894
23d_R,-1.5767102285842323
v23ab_R,-0.895308713551843
d23ab_R,-1.3017408424964731
31pv_R,-0.9770326991579599
5m_R,-0.9641628632491703
5mv_R,-0.5192212723258907
23c_R,-1.0611193076931718
5L_R,-0.038513452678480345
24dd_R,-0.8813193239663702
24dv_R,0.5213394239893429
7AL_R,0.8589542158333298
SCEF_R,0.5200455907378148
6ma_R,0.9624101768424336
7Am_R,0.9290975223070533
7Pl_R,1.5112240774677
7PC_R,-0.06256718797069766
LIPv_R,1.8249979098373719
VIP_R,1.2630760190059755
MIP_R,2.605563135678629
1_R,-0.6066933704848498
2_R,-1.1199625265462605
3a_R,-1.477871750610208
6d_R,-0.5828849836286031
6mp_R,-0.21263002970497227
6v_R,0.7467959289957636
p24pr_R,-0.3970743585577754
33pr_R,-1.5893667980056956
a24pr_R,0.9234497582599331
p32pr_R,2.879485390625356
a24_R,0.5583230328455099
d32_R,2.182408116010329
8BM_R,2.533822709539438
p32_R,0.1545499076599562
10r_R,0.8276702448245531
47m_R,1.1833298227796836
8Av_R,1.115920463538835
8Ad_R,1.1951250535159141
9m_R,2.538294411773384
8BL_R,0.08618457048097493
9p_R,1.1532426894172512
10d_R,0.6403738583841208
8C_R,3.0067518572560865
44_R,1.7388993369980656
45_R,0.3981786203798339
47l_R,2.6491340891157913
a47r_R,2.3218492453493544
6r_R,2.1958315852978
IFJa_R,4.1998184696537955
IFJp_R,1.2839751170320377
IFSp_R,4.223317438876732
IFSa_R,2.458407268783951
p9-46v_R,4.6486078469858025
46_R,3.661895080763876
a9-46v_R,5.361462316547117
9-46d_R,3.279258696715285
9a_R,3.321890712762007
10v_R,0.9638425825783931
a10p_R,1.1637543101032561
10pp_R,0.6652095315665784
11l_R,0.7076133274885558
13l_R,-0.4440311250540255
OFC_R,0.20982833217220223
47s_R,0.6917179040905347
LIPd_R,3.1317084340469648
6a_R,1.9727159330734494
i6-8_R,2.5639281710662836
s6-8_R,0.25442987820635293
43_R,-0.7098146820971378
OP4_R,-2.055950769486386
OP1_R,-1.8754460497848604
OP2-3_R,-1.9309075055882232
52_R,-2.8170930681430697
RI_R,-2.646415560746083
