region,visual attention
6ma_R,-0.8677653069814818
7Am_R,2.266692906256109
7Pl_R,2.8674796289733493
7PC_R,1.2699399484939828
LIPv_R,3.4455162055188713
VIP_R,3.2643234171869486
MIP_R,4.048900400462759
1_R,-0.4917860212903746
2_R,-0.40914040850717004
3a_R,-1.188775175590706
6d_R,-1.0277452710128536
6mp_R,-0.6890528597860877
6v_R,0.4289223103432815
p24pr_R,-0.591643835173519
33pr_R,-1.6999171928410008
a24pr_R,-2.133646174225682
p32pr_R,-1.309844448997799
a24_R,-1.9660615528830787
d32_R,-1.9304131935901478
8BM_R,-1.6761010306901403
p32_R,-2.4251059815574827
10r_R,-2.085466637594824
47m_R,-1.5695683807058562
8Av_R,-0.7041895471167409
8Ad_R,-1.003764860268498
9m_R,-1.5290233259215094
8BL_R,-1.1448714894722
9p_R,-1.1975974538749772
10d_R,-0.005298885805583469
8C_R,-0.912124526693619
44_R,-1.8601588240205462
45_R,-1.980394907341032
47l_R,-1.385366709108738
a47r_R,-1.4863866599989446
6r_R,-0.7607245244666206
IFJa_R,-1.0608413692682848
IFJp_R,-0.49787265736425684
IFSp_R,-0.8685487887426248
IFSa_R,-0.9702065732035885
p9-46v_R,-0.8250887689030393
46_R,-0.7225058111308716
a9-46v_R,-0.7061038376341772
9-46d_R,-1.1432640944503534
9a_R,-1.0762186980070854
10v_R,-0.6529968214913711
a10p_R,-0.7625324323300129
10pp_R,-0.5928519722576859
11l_R,-1.470251369083874
13l_R,-1.4170355408551052
OFC_R,-0.5264083995657749
47s_R,-2.163764763216967
LIPd_R,1.9788415810991513
6a_R,1.1371868854883456
i6-8_R,-0.2142072053022595
s6-8_R,-1.2239103756764238
43_R,-1.4516190254416763
OP4_R,-2.184461503763166
OP1_R,-1.3777029650936088
OP2-3_R,-0.806114610919109
52_R,-1.7053302338853868
RI_R,-0.9943125566966577
PFcm_R,-1.0228738737822254
PoI2_R,-1.3952051124139866
TA2_R,-2.1154541054951483
FOP4_R,-1.0893208834598682
MI_R,-0.7677194036825281
Pir_R,-2.0674994344783943
AVI_R,-0.9286801380890534
AAIC_R,-2.184627449847175
FOP1_R,-0.6732175976637998
FOP3_R,-0.5466432839218369
FOP2_R,-0.06321840087001428
PFt_R,-0.128193426872158
AIP_R,1.4154707090259138
EC_R,-1.2497883555479157
PreS_R,-1.5721858014264096
H_R,-1.247296907022811
ProS_R,-0.3201150249895615
PeEc_R,-0.6494669863061435
STGa_R,-1.851316180578982
PBelt_R,-2.7316095948101378
A5_R,-2.4325632482518755
PHA1_R,-1.0082905741504193
PHA3_R,0.4772570913628261
STSda_R,-2.26855560165693
STSdp_R,-1.943503853589451
STSvp_R,-1.7383830527937594
TGd_R,-1.261830177013589
TE1a_R,-1.5117423647561739
TE1p_R,-0.3613694115582091
TE2a_R,-0.7505705322202326
TF_R,-0.13238091158811638
TE2p_R,1.7224665164700117
PHT_R,0.24994998833599566
PH_R,6.695490759554113
TPOJ1_R,-0.8568706608665946
TPOJ2_R,0.24901529502004374
TPOJ3_R,-1.3325982802539107
DVT_R,2.6373824592957695
PGp_R,0.5846855771208495
IP2_R,0.2607195529218191
IP1_R,0.8946496216063379
IP0_R,5.376454577878076
PFop_R,-1.660997579627548
PF_R,0.33538912383214425
PFm_R,-0.38628029327676977
PGi_R,-1.3722169338996906
PGs_R,-0.554877940615751
V6A_R,2.1531119109438106
VMV1_R,2.3167051309985798
VMV3_R,5.368733691296119
PHA2_R,-0.37897037838532693
V4t_R,8.59853556373908
FST_R,4.649721267395395
V3CD_R,6.440058425812619
LO3_R,1.645726123814505
VMV2_R,2.4066984133061866
31pd_R,-0.14046132156822783
31a_R,-0.4819958052874151
VVC_R,3.1169017204674656
25_R,-1.9507489528701532
s32_R,-1.105034999283737
pOFC_R,-1.8910574558061624
PoI1_R,-1.621926465687145
Ig_R,-0.5755879380779331
FOP5_R,-0.6636209836843245
p10p_R,-1.175761160466171
p47r_R,-1.3211505370539394
TGv_R,-0.7260946330352482
MBelt_R,-2.5021076654950636
LBelt_R,-2.1777043921999897
A4_R,-2.02550516633401
STSva_R,-1.6435142472464197
TE1m_R,-0.9232767940494209
PI_R,-2.370693958737563
a32pr_R,-2.1044221470601028
p24_R,-2.58978729919849
