region,priming
LO1_R,2.8144312095075588
LO2_R,3.61909207639015
PIT_R,6.949740626075198
MT_R,1.3736743429378304
A1_R,-1.46239396447677
PSL_R,-1.2675945149220147
SFL_R,-1.071691014289541
PCV_R,4.466693976671089
STV_R,-1.3633615882287586
7Pm_R,3.784916603766467
7m_R,6.61866259670192
POS1_R,3.2883995312570713
23d_R,0.03409891259564027
v23ab_R,1.4130200774533621
d23ab_R,2.329061507873753
31pv_R,3.355332805790611
5m_R,0.035481959010873754
5mv_R,0.6547983506539631
23c_R,1.1201213101857421
5L_R,0.35400810110406417
24dd_R,-1.4333235458431792
24dv_R,-1.5819734612971612
7AL_R,0.6819686972764071
SCEF_R,-1.4742380854900514
6ma_R,-1.1071574138047693
7Am_R,2.286136924626122
7Pl_R,1.499856665637924
7PC_R,-0.7619767962402607
LIPv_R,-1.2120803839455927
VIP_R,0.11513871639838447
MIP_R,0.7462052022807107
1_R,-0.31897283181692615
2_R,-1.035413514271313
3a_R,-0.9016693138218659
6d_R,-0.3339746188016118
6mp_R,-1.2793681879213967
6v_R,-1.19211007729349
p24pr_R,-1.9685530051042321
33pr_R,-2.8270169818169597
a24pr_R,-3.5635429309875715
p32pr_R,-2.523506091570658
a24_R,-3.3046340186082164
d32_R,-2.0427944031165537
8BM_R,-1.457812682748874
p32_R,-3.0809949909264187
10r_R,-2.862795153393213
47m_R,-1.1381800125930923
8Av_R,-1.4368134128536085
8Ad_R,-1.054649959801841
9m_R,-1.2205444512395887
8BL_R,-1.1115848105571975
9p_R,-1.2758131915422632
10d_R,-0.5761103214798614
8C_R,-2.5181864811167913
44_R,-0.7950251865559058
45_R,-1.3545123474632803
47l_R,-1.218375073447194
a47r_R,-0.9759824422729962
6r_R,-1.6205141356579231
IFJa_R,-1.7646396083137883
IFJp_R,-1.7918594933403589
IFSp_R,-1.2055750269748773
IFSa_R,-2.1466328642220533
p9-46v_R,-1.2612935696540803
46_R,-1.1297371197976858
a9-46v_R,-1.5270543763187554
9-46d_R,-1.1634736683429332
9a_R,-1.0946535068117205
10v_R,-1.5355434599404578
a10p_R,-0.8083604576776021
10pp_R,-0.6928426111893847
11l_R,-1.212993051139235
13l_R,-1.9643647457024875
OFC_R,-1.2740887674823018
47s_R,-2.2567711870275664
LIPd_R,-1.5792400231134787
6a_R,-0.7163439139773184
i6-8_R,-0.2710683587939857
s6-8_R,-1.1834371461385726
43_R,-1.7608199259160053
OP4_R,-0.9373955031878586
OP1_R,-0.7587072782421262
OP2-3_R,-0.48961457009630416
52_R,-1.4314096721491507
RI_R,-1.6369150506488421
PFcm_R,-1.630475001502315
PoI2_R,-2.1865668384289028
TA2_R,-0.9733596937643431
FOP4_R,-3.317157750393605
MI_R,-3.5905750166214245
Pir_R,-1.0251741659288696
AVI_R,-1.565138303785062
AAIC_R,-2.7945184387365667
FOP1_R,-2.9350204274094156
FOP3_R,-2.431507879198747
FOP2_R,-1.5669920899868768
PFt_R,-0.7484635519165078
AIP_R,-2.023814219237758
EC_R,-0.9627215768480388
PreS_R,-1.0382960266409391
H_R,-0.8007077115618384
ProS_R,0.4783538587569521
PeEc_R,0.20633171260483107
STGa_R,0.21716616391058738
PBelt_R,-0.8616952990051757
A5_R,0.3627439566125059
PHA1_R,0.11171190798988255
PHA3_R,3.5250171197868547
STSda_R,1.12303345144637
STSdp_R,0.07941621294252847
STSvp_R,0.886340680922516
TGd_R,0.35536829126034974
TE1a_R,1.3124727422186742
TE1p_R,1.0598172397389813
TE2a_R,0.8794142874150355
TF_R,1.5668529520005539
TE2p_R,2.598381463344488
PHT_R,1.9750951573017173
PH_R,4.9534265769380745
TPOJ1_R,-0.08426130136431856
TPOJ2_R,0.08664052360386892
TPOJ3_R,-1.2754547784294743
DVT_R,4.150128448056976
PGp_R,1.3390103332253596
IP2_R,-1.7013950400837037
IP1_R,-0.12383175864221958
IP0_R,2.9670250365549773
PFop_R,-0.7593596683250011
PF_R,-0.9388146481551943
PFm_R,-1.0421188922596756
PGi_R,-0.5781839627686345
PGs_R,-0.4770540278943785
V6A_R,1.0880576712732748
VMV1_R,2.609575013209726
VMV3_R,6.257708982640898
PHA2_R,1.3753620540996168
V4t_R,1.8145262723193971
FST_R,1.3193431954145598
V3CD_R,3.4527547314784766
LO3_R,1.28678687922209
VMV2_R,3.287134788442257
31pd_R,3.6484995579391146
31a_R,2.8255799343433856
VVC_R,6.273791919286201
25_R,-2.616055591211027
s32_R,-2.370070741559678
pOFC_R,-2.1006477787112403
PoI1_R,-1.5980340532654698
Ig_R,-1.0333622913361276
FOP5_R,-1.986649868222155
p10p_R,-0.9324865867705928
p47r_R,-1.305218711342816
TGv_R,0.8568944534313411
MBelt_R,-0.5406382059002754
LBelt_R,-1.1899256025586626
A4_R,-0.5618067181801187
STSva_R,1.4084402475694664
TE1m_R,0.08318473970466282
PI_R,-0.6882375014524653
a32pr_R,-2.66675078210928
p24_R,-3.214485247639151
