region,recognition
31a_L,-2.7040155323614266
VVC_L,11.852255401372888
25_L,-3.167098737892459
s32_L,-2.93807699423877
pOFC_L,-2.077854629889757
PoI1_L,-1.670429333776027
Ig_L,-1.3057349547039296
FOP5_L,-0.8959139040294068
p10p_L,-2.0409377001125946
p47r_L,-1.3088602871040886
TGv_L,0.22480081551993836
MBelt_L,-2.3344724805041808
LBelt_L,-1.8951069902895146
A4_L,-1.209857770338424
STSva_L,-0.9154906713249834
TE1m_L,0.17738821603874264
PI_L,-1.290266546925626
a32pr_L,-2.8937193816385136
p24_L,-4.334491164601774
V1_R,3.0627214087323043
MST_R,5.631361043504505
V6_R,2.353331519622885
V2_R,2.9249936832817687
V3_R,4.113763849383219
V4_R,8.049730724294882
V8_R,10.459349534681886
4_R,-1.4059564992098135
3b_R,-1.3284091963931046
FEF_R,-0.5349148335856238
PEF_R,0.01773226464965995
55b_R,-0.47772248815432733
V3A_R,1.2995747614500777
RSC_R,-0.8381269397503951
POS2_R,0.11638432797820317
V7_R,3.430144406240986
IPS1_R,3.0170503867437515
FFC_R,17.02255612802905
V3B_R,5.2593164440157105
LO1_R,5.645184501934962
LO2_R,7.765465213434166
PIT_R,11.10900240500433
MT_R,3.7251771023934395
A1_R,-2.5368985029762303
PSL_R,-1.3213920367034513
SFL_R,-1.789595617913866
PCV_R,-1.8434770963597702
STV_R,-1.0655175666951422
7Pm_R,0.07026987895070803
7m_R,-1.5148614641398854
POS1_R,0.14519405962408913
23d_R,-2.279618416574153
v23ab_R,-1.0032192088477667
d23ab_R,-2.117425337369148
31pv_R,-1.627110484907376
5m_R,-2.023175708301706
5mv_R,-1.238298650751596
23c_R,-1.8680016850645607
5L_R,-0.7893849377277682
24dd_R,-2.006768522155829
24dv_R,-1.9045613713683174
7AL_R,0.11192056994527991
SCEF_R,-1.865852772966394
6ma_R,-1.5007656056318575
7Am_R,-0.21219451176419563
7Pl_R,0.41836450702624706
7PC_R,0.17031421761015447
LIPv_R,1.64912437586395
VIP_R,0.45279050142371763
MIP_R,1.6935154816649407
1_R,-1.0753122510694182
2_R,-1.171838690065254
3a_R,-1.8948329607629761
6d_R,-1.0955727450348742
6mp_R,-1.8317900298455099
6v_R,0.23352204044205477
p24pr_R,-2.095256437323109
33pr_R,-3.438070382560338
a24pr_R,-3.6135774770243554
p32pr_R,-1.8852516683525224
a24_R,-4.05800492442763
d32_R,-3.1727632391675225
8BM_R,-1.9939516554647307
p32_R,-3.885466206505677
10r_R,-3.594417437086387
47m_R,-0.6691882698748143
8Av_R,-1.7058042914254226
8Ad_R,-2.3734179760317056
9m_R,-2.8765730035163144
8BL_R,-2.1206516419725667
9p_R,-1.4686578521376727
10d_R,-0.5947905024589822
8C_R,-2.3613577089185065
44_R,-0.5232473651654604
45_R,-1.3324919057910594
47l_R,-0.9238891882666195
a47r_R,-1.8505012552652906
6r_R,-0.029020822752230852
IFJa_R,0.8288051647774791
IFJp_R,0.4611627827952697
IFSp_R,0.07492379883255236
IFSa_R,-0.9643089208388991
p9-46v_R,-0.22899240511632774
46_R,-2.1354290104273392
a9-46v_R,-1.255638576210023
9-46d_R,-2.082551277770768
9a_R,-1.3779914307749643
10v_R,-2.052937847494938
a10p_R,-1.228416849849458
10pp_R,-1.1004650646668768
11l_R,-1.9392839318140123
13l_R,-2.3280116047524166
OFC_R,-1.538550565862537
47s_R,-1.6037455293933531
LIPd_R,1.5865098947294571
6a_R,-0.5273046778470534
i6-8_R,-1.0193634321500882
s6-8_R,-1.5883747901233831
43_R,-1.5182038194461136
OP4_R,-1.7388719448002634
OP1_R,-1.6248955150087525
OP2-3_R,-1.3229612731348468
52_R,-2.1357077566167284
RI_R,-1.5400048125437156
PFcm_R,-1.6984209923825984
PoI2_R,-2.6837842458682566
TA2_R,-2.4526556493555685
FOP4_R,-1.9004983324034221
MI_R,-2.2500077067446247
Pir_R,-2.2090249741169887
AVI_R,-0.8925488188984647
AAIC_R,-2.675014091647159
FOP1_R,-1.8156050182614212
FOP3_R,-1.6465235690846476
FOP2_R,-0.28232536332474845
PFt_R,-1.3072718704330024
AIP_R,0.08627215806928973
EC_R,5.336687088600062
PreS_R,3.9759627726985403
H_R,6.083503729327622
ProS_R,0.9691549491733209
PeEc_R,4.296247431943529
STGa_R,-1.339560860057202
PBelt_R,-2.0133795764476425
A5_R,-0.581281710928213
PHA1_R,5.026244431691243
PHA3_R,7.983079222208659
STSda_R,-0.544974630236384
STSdp_R,0.27248910529701315
STSvp_R,1.0519150285881724
TGd_R,-0.4356076225001646
TE1a_R,0.13643911073996376
TE1p_R,1.3758868565326656
TE2a_R,0.9353704995394696
TF_R,3.9533631742124693
TE2p_R,3.634664815649823
PHT_R,2.2292930036966307
PH_R,8.91092057397037
TPOJ1_R,1.6768680590062763
TPOJ2_R,2.2332026984909223
TPOJ3_R,-0.8296091301426779
DVT_R,1.0933124664664402
PGp_R,0.3025177550993617
IP2_R,0.15899468149825424
IP1_R,0.3581508585277108
IP0_R,4.477464168454471
PFop_R,-1.8680438679647586
PF_R,-0.12397066400527625
PFm_R,-0.8131548484333363
PGi_R,-1.9057428168503894
PGs_R,-0.7647375228278234
V6A_R,0.6748160232477015
VMV1_R,4.461799159221338
VMV3_R,9.185848518762954
PHA2_R,7.3393697759286205
V4t_R,6.909744034733304
FST_R,5.387720723087663
V3CD_R,4.835629751585625
LO3_R,1.440342790200686
VMV2_R,6.843079015227268
31pd_R,-0.7674887087543554
31a_R,-1.848277003353672
VVC_R,11.97887962638213
25_R,-3.2933655739308163
s32_R,-3.092688103870587
pOFC_R,-2.6150089312889606
PoI1_R,-2.0664375103062875
Ig_R,-1.1954530079433783
FOP5_R,-0.7290278927059867
p10p_R,-2.147925154577535
p47r_R,-1.2530075106811043
TGv_R,1.6408116007816185
MBelt_R,-2.3131304515854643
LBelt_R,-2.1545637257040164
A4_R,-1.4558062742964688
STSva_R,0.7189579449606606
TE1m_R,0.15818519655099483
PI_R,-2.2940555267028824
a32pr_R,-3.0230763237758755
p24_R,-4.046308564706893
