region,familiarity
44_L,-0.5690203216733357
45_L,-0.38395105364190824
47l_L,-1.235729013111611
a47r_L,-0.6824797416872849
6r_L,-1.5968836414476906
IFJa_L,-1.1356754455103244
IFJp_L,-1.8598860236618053
IFSp_L,-0.6772688430309811
IFSa_L,-1.0546618888581154
p9-46v_L,-1.1359691182408145
46_L,-1.6743567746227588
a9-46v_L,-1.1041583678188662
9-46d_L,-1.4842580601804576
9a_L,-1.0129898867359408
10v_L,-1.0123104870834683
a10p_L,-1.603877712483773
10pp_L,-0.6053849002930224
11l_L,-1.0276357388987056
13l_L,-1.462207484129894
OFC_L,-1.1067941191421982
47s_L,-1.4245087505633593
LIPd_L,0.6643484225610766
6a_L,-1.200781617065975
i6-8_L,-0.889452779318038
s6-8_L,0.31636157914421803
43_L,-1.3647213038931212
OP4_L,-1.3663392295426122
OP1_L,-1.0591979683415635
OP2-3_L,-1.2170110498567093
52_L,-1.640865708672095
RI_L,-0.6028399934126132
PFcm_L,-1.6114359768085513
PoI2_L,-1.7084519919558525
TA2_L,-1.9989941848927382
FOP4_L,-1.4985819872443233
MI_L,-2.0027137718038066
Pir_L,-1.4147767403231297
AVI_L,-1.9888446441710113
AAIC_L,-1.7968975835714893
FOP1_L,-1.704418103601874
FOP3_L,-1.177703716653089
FOP2_L,-1.3479388344998111
PFt_L,-1.405230853992629
AIP_L,-0.24633548866301214
EC_L,1.0880089767193302
PreS_L,1.2769739891448768
H_L,0.8448000410384333
ProS_L,-0.6941918145143835
PeEc_L,1.1359581602021183
STGa_L,-0.8602092563146687
PBelt_L,-1.689996000703346
A5_L,-0.8936506186056485
PHA1_L,1.6258411420754835
PHA3_L,1.6204177739067553
STSda_L,-0.8406446995985151
STSdp_L,-0.7398696373268269
STSvp_L,0.3850443568254663
TGd_L,-0.1447776926321157
TE1a_L,-0.3925409728270112
TE1p_L,0.3102618763597894
TE2a_L,-0.036877878323974475
TF_L,1.1386785649571802
TE2p_L,2.617324289897841
PHT_L,0.8184501071164145
PH_L,1.0855062068931733
TPOJ1_L,0.6090809295730109
TPOJ2_L,0.49095935140436275
TPOJ3_L,0.14784702370954506
DVT_L,2.39064828533411
PGp_L,0.26953458391223484
IP2_L,0.08053511170694011
IP1_L,1.2551978881667496
IP0_L,1.2248032160906084
PFop_L,-1.7928284651283057
PF_L,-0.3906420251714818
PFm_L,0.07080392173512519
PGi_L,0.16133779764498096
PGs_L,0.46250496835781263
V6A_L,1.1050842764673745
VMV1_L,-0.16284329776001297
VMV3_L,3.1368547807569214
PHA2_L,1.7636721030268718
V4t_L,1.594103933093478
FST_L,0.645809738141036
V3CD_L,1.4858248898704043
LO3_L,-0.005131251202957631
VMV2_L,0.6835067555026939
31pd_L,3.421931793807243
31a_L,0.5177314553627242
VVC_L,4.676151196726342
25_L,-2.4479744194027138
s32_L,-2.0850122429245443
pOFC_L,-1.5263659595390842
PoI1_L,-1.7201859086504279
Ig_L,-1.4047335966466221
FOP5_L,-1.6559986045791284
p10p_L,-1.581286666415918
p47r_L,-0.5066297322240912
TGv_L,0.15427013297825218
MBelt_L,-1.9487961921175843
LBelt_L,-1.5398258943246714
A4_L,-0.9562298190560179
STSva_L,-0.6000307935796296
TE1m_L,-0.009516004404087331
PI_L,-1.4105803930050693
a32pr_L,-1.7763666855527473
p24_L,-2.469813936841606
V1_R,1.1974030008052468
MST_R,5.173526042766438
V6_R,2.30857219601569
V2_R,1.9810282173364093
V3_R,2.63500054952341
V4_R,4.627385051581105
V8_R,5.207104960999834
4_R,-0.8605767196548514
3b_R,-0.6887454532665315
FEF_R,0.19079807182967232
PEF_R,-0.33856402111896033
55b_R,0.07367404696444806
V3A_R,0.5313164381208383
RSC_R,-0.06610134019434251
POS2_R,4.599282663717142
V7_R,0.7155979530258478
IPS1_R,1.5163209735090015
FFC_R,11.927170553261131
V3B_R,1.593453216721419
LO1_R,3.2272462087775433
LO2_R,5.00571973385547
PIT_R,6.801574995585448
MT_R,3.866637116852973
A1_R,-2.048601421764409
PSL_R,-0.3550785279471196
SFL_R,-0.5540843488544183
PCV_R,2.7249271601748837
STV_R,-0.10167177323034123
7Pm_R,3.32090439194424
7m_R,5.176353753909801
POS1_R,2.2449217387102274
23d_R,-0.613768635925446
v23ab_R,1.4169960214053072
d23ab_R,1.407920362404656
31pv_R,1.8251203351803307
5m_R,-1.0154949743538717
5mv_R,-0.05981338267487114
23c_R,0.38812379296035127
5L_R,-0.08751582699998958
24dd_R,-1.1360462486757046
24dv_R,-1.627914482848222
7AL_R,0.5427878572854932
SCEF_R,-0.5840211008038755
6ma_R,-0.8721485109919075
7Am_R,1.7794975919429035
7Pl_R,0.19867851597000474
7PC_R,0.4325207774448072
LIPv_R,0.5901538812951493
VIP_R,0.17811762491446478
MIP_R,0.6723755705554816
1_R,-0.3783703070504428
2_R,-0.3135957379897478
3a_R,-1.1361551990205052
6d_R,-0.4362998466017531
6mp_R,-1.0547842310092523
6v_R,0.1257482665133252
p24pr_R,-1.9346355870008336
33pr_R,-2.594381131636926
a24pr_R,-2.6368169340923906
p32pr_R,-1.8070011171428975
a24_R,-2.521860243983204
d32_R,-1.6014603420352405
8BM_R,-0.48897369912373695
p32_R,-2.3194470917219245
10r_R,-1.8468940877736848
47m_R,-0.2398774423651549
8Av_R,-0.7293208668413568
8Ad_R,-1.4240063127887395
9m_R,-0.8803848810005912
8BL_R,-0.7731884105954817
9p_R,-0.2806001901537026
10d_R,-0.24837916614070676
8C_R,-1.4931484239327248
44_R,0.7938480139351198
45_R,-0.14664168538128738
47l_R,-0.005337917947167511
a47r_R,-1.1425037959319417
6r_R,0.49329713269306913
IFJa_R,1.402320760366037
IFJp_R,0.6063245482093853
IFSp_R,0.6862052405146305
IFSa_R,-0.2972016791308394
p9-46v_R,0.5314308998427207
46_R,-1.1811981063967831
a9-46v_R,-0.4896754546710374
9-46d_R,-0.9069546088347324
9a_R,-0.18600797819369466
10v_R,-1.2843291702058304
a10p_R,-0.8941647197859648
10pp_R,-0.8266885356068738
11l_R,-1.3178482560648548
13l_R,-1.4998944750287702
OFC_R,-1.1832537249491673
47s_R,-0.2954064961026092
LIPd_R,0.4954580253609961
6a_R,-0.43991915801107856
i6-8_R,-0.4507172635269346
s6-8_R,-0.9665073715555021
43_R,-0.976321365940115
OP4_R,-0.9307667784220377
OP1_R,-1.1405699348509182
OP2-3_R,-1.098409223089417
52_R,-1.7870850302274603
RI_R,-1.0192488717562675
PFcm_R,-0.9585506050355763
PoI2_R,-2.209085677178664
TA2_R,-1.4532923636863504
FOP4_R,-1.468627365836692
MI_R,-2.3318826730381708
Pir_R,-1.350302790664765
AVI_R,-0.8352693806302433
AAIC_R,-1.4426921432099094
FOP1_R,-1.0458543513941256
FOP3_R,-1.4235749168069074
FOP2_R,-0.049033855139527224
PFt_R,-0.7172538875214716
AIP_R,0.20784233402117513
EC_R,2.106631832845509
PreS_R,1.1226885686182273
H_R,2.28371825543644
ProS_R,0.32091151280579056
PeEc_R,2.6406812518243896
STGa_R,-0.44764689803428753
PBelt_R,-1.4129225921194972
A5_R,-0.7867445824312748
PHA1_R,1.4172957299754474
PHA3_R,4.1789367225268705
STSda_R,-0.097399305697482
STSdp_R,-0.5201403877839975
STSvp_R,0.363673497683114
TGd_R,0.10596412692107293
TE1a_R,1.309970950504192
TE1p_R,1.4889658198815925
TE2a_R,1.3472415682085934
TF_R,2.7149423181089882
TE2p_R,2.327443574787602
PHT_R,2.5927983684621787
PH_R,4.700950098898728
TPOJ1_R,2.204255923387849
TPOJ2_R,3.27284468775868
TPOJ3_R,0.7211539736994681
DVT_R,2.26838644416566
PGp_R,1.2182495170720617
IP2_R,1.0761863865668693
IP1_R,0.34191285612694755
IP0_R,2.1181347541638433
PFop_R,-0.7672205437444465
PF_R,0.3591286290121023
PFm_R,0.26224897155968935
PGi_R,0.19274266621114483
PGs_R,0.4825446293628644
V6A_R,0.8073179965351933
VMV1_R,1.328741845691161
VMV3_R,3.8813949818796414
PHA2_R,2.4557584874056895
V4t_R,3.7377389377556827
FST_R,4.084666056567107
V3CD_R,2.4614311025396036
LO3_R,2.1360918845999888
VMV2_R,2.855680186893519
31pd_R,2.076398344118661
31a_R,1.5883865788659026
VVC_R,6.385345042737184
25_R,-2.7614577013164805
s32_R,-1.9576729218484958
pOFC_R,-1.7489800731171556
PoI1_R,-1.7561960001257646
Ig_R,-1.0538939262266125
FOP5_R,-0.6462007953918949
p10p_R,-0.8497451858263101
p47r_R,-0.42172440333593575
TGv_R,1.2395235444747343
MBelt_R,-1.734231583352418
LBelt_R,-1.712561621402299
A4_R,-0.9877422451990218
STSva_R,1.1180980385507984
TE1m_R,0.9500180137420218
PI_R,-1.6626849992965813
a32pr_R,-1.6682076418845098
p24_R,-2.6911104100091072
