region,search
s6-8_L,-1.0509256059810002
43_L,-2.3716258910788333
OP4_L,-1.9309345295792535
OP1_L,-2.4902753729276905
OP2-3_L,-0.7425017634129227
52_L,-1.8440116276012357
RI_L,-0.8522735490531554
PFcm_L,-1.674704067615697
PoI2_L,-1.6186561573457356
TA2_L,-3.0193699338685156
FOP4_L,-1.8051594484126559
MI_L,-1.7810598924875853
Pir_L,-2.342479374531396
AVI_L,-1.0930884333535522
AAIC_L,-2.8110100471858415
FOP1_L,-2.7867838821966395
FOP3_L,-1.035686353462573
FOP2_L,-1.5345439678416724
PFt_L,-0.4596636585392707
AIP_L,2.95159935565314
EC_L,-1.520099633033382
PreS_L,-1.1310835005873634
H_L,-1.2537746683837991
ProS_L,0.07421650492611206
PeEc_L,-0.9118670007846686
STGa_L,-2.0086397949826567
PBelt_L,-3.726138014106625
A5_L,-2.808062274130679
PHA1_L,-0.7450655240598009
PHA3_L,0.5645983932265516
STSda_L,-2.898717125555061
STSdp_L,-2.7666901968055853
STSvp_L,-2.189668489866534
TGd_L,-1.5624481671802979
TE1a_L,-1.5607153419269901
TE1p_L,-0.001007040243090034
TE2a_L,-0.5944518638677536
TF_L,-0.41280181509401576
TE2p_L,1.2550650368974015
PHT_L,0.2292024747084645
PH_L,6.58212018345384
TPOJ1_L,-1.2332181350760512
TPOJ2_L,-0.6067004037863475
TPOJ3_L,0.2033149801884399
DVT_L,2.9642238018736973
PGp_L,3.6710773301401756
IP2_L,3.445031571874883
IP1_L,4.645772662751014
IP0_L,7.699778573803115
PFop_L,-0.6306545963813651
PF_L,0.4377699313082987
PFm_L,0.798026722847247
PGi_L,-0.7530397289678276
PGs_L,0.6115441087338576
V6A_L,2.83151429544794
VMV1_L,1.367226045169149
VMV3_L,4.8012395550776485
PHA2_L,-0.8331904994868169
V4t_L,6.917239919923166
FST_L,6.5921449230364235
V3CD_L,7.307953477171369
LO3_L,2.373987410081117
VMV2_L,1.1510553066629292
31pd_L,-1.3615003915306638
31a_L,-1.3558295290243143
VVC_L,4.221931765729821
25_L,-2.2360910782691086
s32_L,-1.4996539385316052
pOFC_L,-1.8271056182199616
PoI1_L,-1.166428443913704
Ig_L,-0.913543509936481
FOP5_L,-0.9534982750385214
p10p_L,-1.206006600951366
p47r_L,-1.1591833321605025
TGv_L,-0.8473279144811209
MBelt_L,-2.832025231975293
LBelt_L,-3.2709119790357213
A4_L,-2.321766291880341
STSva_L,-2.810091941364973
TE1m_L,-0.7369076379555146
PI_L,-2.325310362072491
a32pr_L,-2.154384359783939
p24_L,-3.0794522593425624
V1_R,5.806846886683942
MST_R,3.8222469472171796
V6_R,5.896203757758873
V2_R,4.265960209601614
V3_R,4.9160976903142055
V4_R,7.50559471320445
V8_R,7.7410995708679256
4_R,-0.828295503743703
3b_R,-0.9304950165910064
FEF_R,-0.13810890137477042
PEF_R,1.107497575109095
55b_R,-0.2723116441713328
V3A_R,4.386842941277439
RSC_R,-0.9696046505546378
POS2_R,2.4262775920434456
V7_R,7.353423593814563
IPS1_R,6.675420025914816
FFC_R,3.852082971825975
V3B_R,8.011010188595915
LO1_R,7.464725779455959
LO2_R,6.893540667178127
PIT_R,6.814890590325107
MT_R,3.010295887075983
A1_R,-3.017574987349928
PSL_R,-0.42617921354990246
SFL_R,-1.463160903195277
PCV_R,0.8370953177005029
STV_R,-1.0134667809750904
7Pm_R,4.597019655998116
7m_R,-1.2088599316483961
POS1_R,-0.01814875469920533
23d_R,-1.572251925688978
v23ab_R,-1.1969075321915679
d23ab_R,-1.7997224669419087
31pv_R,-1.1480407529443366
5m_R,-0.6520360749289226
5mv_R,0.5747595578763861
23c_R,-0.20187788377508395
5L_R,-0.30824138287933056
24dd_R,-0.2535558136536535
24dv_R,-0.608925931919305
7AL_R,2.1374288051036743
SCEF_R,-1.3479149207924703
6ma_R,-0.8392991114179942
7Am_R,3.4958401863706685
7Pl_R,4.208461315185476
7PC_R,2.3149690436654367
LIPv_R,5.784342728825413
VIP_R,4.728499605059048
MIP_R,5.972533447328543
1_R,-0.5981450119602861
2_R,-0.18795782790166976
3a_R,-1.4160312429484059
6d_R,-1.0623835512012745
6mp_R,-0.47969116338412104
6v_R,0.26862211358573923
p24pr_R,-0.8045976132266323
33pr_R,-2.071936580623274
a24pr_R,-2.2553317363780025
p32pr_R,-1.0759567842251399
a24_R,-2.60324595315234
d32_R,-2.3753679828380188
8BM_R,-1.8502805768769655
p32_R,-3.011356493093701
10r_R,-2.618625536608319
47m_R,-1.968873517476409
8Av_R,-0.7535813494082271
8Ad_R,-1.1650193177509136
9m_R,-2.0483273740172856
8BL_R,-1.3527451526676726
9p_R,-1.4382186412873321
10d_R,-0.1380817101673588
8C_R,-0.684264467157609
44_R,-2.1914646571832184
45_R,-2.350482690246706
47l_R,-1.8484234025200759
a47r_R,-1.6214991819520708
6r_R,-0.6647446594575446
IFJa_R,-1.1230463544805105
IFJp_R,-0.43356768240452215
IFSp_R,-0.5826096580882072
IFSa_R,-1.0525922645794104
p9-46v_R,-0.4727810206111753
46_R,-0.6664113601577654
a9-46v_R,-0.745640073354165
9-46d_R,-1.1539532724246186
9a_R,-1.250772013310742
10v_R,-1.0038082867505629
a10p_R,-0.8659116871703746
10pp_R,-0.737731229478836
11l_R,-1.703473929688587
13l_R,-1.816784562869611
OFC_R,-0.8066620546872965
47s_R,-2.4151690247282884
LIPd_R,4.729849956931991
6a_R,2.0328796104848834
i6-8_R,-0.08084322570327264
s6-8_R,-1.2448523392362534
43_R,-1.7149246970602443
OP4_R,-2.5529582819788943
OP1_R,-1.7032625584128296
OP2-3_R,-1.101799841236156
52_R,-2.43665622146185
RI_R,-1.110456175803892
PFcm_R,-0.9524988497866081
PoI2_R,-1.7968828379690545
TA2_R,-2.503459387348778
FOP4_R,-1.2998772235593503
MI_R,-0.9638571796766043
Pir_R,-2.314715064926454
AVI_R,-1.0117967086441209
AAIC_R,-2.3519309170033145
FOP1_R,-0.9316836575340204
FOP3_R,-0.7904117661559216
FOP2_R,-0.4281920369091053
PFt_R,0.09072674558295803
AIP_R,3.5664686065080096
EC_R,-1.58289028306364
PreS_R,-1.8911262189058435
H_R,-1.605264689605017
ProS_R,-0.427581824631367
PeEc_R,-0.903383667874837
STGa_R,-2.3440177833195515
PBelt_R,-3.4343968373487197
A5_R,-3.122992478437575
PHA1_R,-1.2450886737494204
PHA3_R,0.30747777760182415
STSda_R,-2.8342831053388844
STSdp_R,-2.724939836215754
STSvp_R,-2.305446820196398
TGd_R,-1.5478623453536517
TE1a_R,-1.816388164220917
TE1p_R,-0.3362777319170198
TE2a_R,-0.8740132677302467
TF_R,-0.26887178112899485
TE2p_R,1.489893219106012
PHT_R,0.33638715860795876
PH_R,6.523032776404161
TPOJ1_R,-0.8288031931579872
TPOJ2_R,0.260777466477272
TPOJ3_R,-1.18287198268246
DVT_R,3.8389550587228825
PGp_R,1.0339401325954325
IP2_R,2.8974096088347165
IP1_R,2.805888377339879
IP0_R,6.493438691830091
PFop_R,-1.5036552757018302
PF_R,0.9663618646705493
PFm_R,0.9759130840224879
PGi_R,-0.6435913301205209
PGs_R,0.699341478323691
V6A_R,3.151689162350615
VMV1_R,2.2127918898558976
VMV3_R,4.987244348370892
PHA2_R,-0.5635785381836146
V4t_R,8.06351036745071
FST_R,4.34222532799296
V3CD_R,6.726044339969411
LO3_R,1.7297890353130692
VMV2_R,2.258445489064754
31pd_R,0.14474805875230473
31a_R,-0.45120557858242444
VVC_R,2.8994728933619567
25_R,-2.3613694002850365
s32_R,-1.5949531679728446
pOFC_R,-2.0884877971439826
PoI1_R,-2.2174013750036736
Ig_R,-0.929920535047414
FOP5_R,-1.103387393520675
p10p_R,-1.3407495968646852
p47r_R,-1.399651715757918
TGv_R,-0.878805672360407
MBelt_R,-3.3061750379853576
LBelt_R,-3.1022525412180366
A4_R,-2.483518204092158
STSva_R,-2.0217958981175035
TE1m_R,-1.2093536521139878
PI_R,-2.901208012192043
a32pr_R,-2.119435290646225
p24_R,-3.0591250103423206
