region,fear
IFSp_L,-2.582445996985658
IFSa_L,-2.0583869648262914
p9-46v_L,-2.1205710491190293
46_L,-1.1170556093850812
a9-46v_L,-1.3373387968882626
9-46d_L,-0.2618381992820909
9a_L,-0.477921263279705
10v_L,-0.04554866108877469
a10p_L,-0.7565688080671721
10pp_L,0.43616236510062584
11l_L,0.18293272975687647
13l_L,1.457719314126252
OFC_L,0.6079241354792064
47s_L,2.8132796164295852
LIPd_L,-3.010097186512646
6a_L,-2.1919484129492046
i6-8_L,-1.9753771439284202
s6-8_L,1.02143441578802
43_L,-1.030220342646487
OP4_L,-1.0172761690298437
OP1_L,-0.30467606455215784
OP2-3_L,1.0960806623685417
52_L,1.7365260686267732
RI_L,-0.22310445121415204
PFcm_L,-1.7832710933135731
PoI2_L,3.201470747776472
TA2_L,1.188532028492293
FOP4_L,0.8065649947595569
MI_L,2.0111563053795383
Pir_L,7.337067779219326
AVI_L,0.893216826274894
AAIC_L,1.8476930126694509
FOP1_L,-0.5081696578988596
FOP3_L,1.4137903832255432
FOP2_L,-0.1173696907713337
PFt_L,-1.5079529263225404
AIP_L,-1.808942115757154
EC_L,9.263660370151323
PreS_L,1.6184215363514982
H_L,3.5793727876180395
ProS_L,-0.7914323042620689
PeEc_L,3.14755915302448
STGa_L,0.9848976974691352
PBelt_L,-1.0569737826543366
A5_L,-0.8342759296162777
PHA1_L,0.8382263165774485
PHA3_L,0.020539658364231078
STSda_L,0.2775127170056268
STSdp_L,-1.4525149846705152
STSvp_L,-1.8895715529982668
TGd_L,0.9648635034860159
TE1a_L,-0.8774096874696583
TE1p_L,-1.3730126952740482
TE2a_L,-0.09804269082308048
TF_L,-0.255913877547115
TE2p_L,-0.0011792063903392337
PHT_L,-0.7553185790363033
PH_L,-1.2590194885381871
TPOJ1_L,-1.0882296484501894
TPOJ2_L,-1.5619356499132317
TPOJ3_L,-1.6688525258629794
DVT_L,-1.7382511099066014
PGp_L,-0.6558712705043387
IP2_L,-3.168313910110405
IP1_L,-3.725628065888285
IP0_L,-1.5811253020261238
PFop_L,-0.5577904796023122
PF_L,-1.2118404975896873
PFm_L,-1.6437772736603018
PGi_L,-2.079708247629556
PGs_L,-1.2425856249707363
V6A_L,-1.026323115800145
VMV1_L,-0.5165194468054899
VMV3_L,0.31666722856993995
PHA2_L,0.23899121313504185
V4t_L,-0.9495993351109668
FST_L,-1.343886697388646
V3CD_L,-0.38773842714108947
LO3_L,0.4481076308844534
VMV2_L,-0.1525505455182932
31pd_L,-1.5521664132576134
31a_L,-1.2863887510979848
VVC_L,0.9950424962041101
25_L,2.7949127842304295
s32_L,0.05756305673621212
pOFC_L,4.0486377121735435
PoI1_L,3.1055430977734972
Ig_L,2.038964345794425
FOP5_L,0.552027684786617
p10p_L,-0.27703226579429496
p47r_L,-1.624367283035332
TGv_L,0.461011572939704
MBelt_L,1.6208298182192569
LBelt_L,-0.5478015447873538
A4_L,-0.6288793405068156
STSva_L,-0.44599103144843066
TE1m_L,-0.5740271271103975
PI_L,2.1613234675300035
a32pr_L,0.15608738592766908
p24_L,1.1690590995455854
V1_R,-0.6585045773059989
MST_R,0.04613939714406884
V6_R,-0.957709018547239
V2_R,-0.6049954513655734
V3_R,-0.6039877922250683
V4_R,-0.5752981857399992
V8_R,-0.7876900808954017
4_R,-0.8045919786275479
3b_R,-0.7662305361662441
FEF_R,-0.7306700129647807
PEF_R,-1.1935562531339345
55b_R,-0.15660985106038364
V3A_R,-0.3517824369661069
RSC_R,-0.3007588883525486
POS2_R,-1.659962634583143
V7_R,-1.2001156373118054
IPS1_R,-2.6772807078735426
FFC_R,2.2166898103665007
V3B_R,-1.1754294338042954
LO1_R,0.038720808015179284
LO2_R,0.5100205431407134
PIT_R,-0.1155364510909428
MT_R,-0.3015541966548639
A1_R,1.1811067623986617
PSL_R,-1.1722262180624772
SFL_R,-0.44480677293979687
PCV_R,-0.4210092262334822
