region,memory retrieval
V2_R,-0.4201973738873776
V3_R,0.2741791217914461
V4_R,-0.04231861294872672
V8_R,-1.5437382483974404
4_R,-1.249371861282739
3b_R,-1.217625448570954
FEF_R,-0.18519334531110163
PEF_R,-0.3159714748179224
55b_R,-0.6903220894504013
V3A_R,0.7057680609850934
RSC_R,-0.4851439826348776
POS2_R,6.056001952270297
V7_R,3.7562936963560967
IPS1_R,7.04755153735193
FFC_R,-0.6962634450260203
V3B_R,3.1429325119498683
LO1_R,-0.10233086079688193
LO2_R,-1.5911139461317334
PIT_R,-0.9140641692390603
MT_R,-0.4775474082871307
A1_R,-2.852848238204719
PSL_R,0.6259203091236782
SFL_R,-1.6573871017790045
PCV_R,2.9942996656729552
STV_R,0.5162014155189121
7Pm_R,7.511650815783862
7m_R,2.6259897557493197
