region,strength
9m_L,-3.1229011647322764
8BL_L,-0.3286612668408485
9p_L,-1.8677431900643928
10d_L,-1.3113415792392953
8C_L,-0.8099087247944953
44_L,-1.8156453288391408
45_L,-2.0049558970596695
47l_L,-2.2762803989907474
a47r_L,-1.314333785685647
6r_L,-0.5845070733324835
IFJa_L,-0.9591550422534544
IFJp_L,-1.1375147659561435
IFSp_L,-0.8790153278253313
IFSa_L,-1.1722237105146427
p9-46v_L,-0.7349701011135835
46_L,-1.2066154181875846
a9-46v_L,-0.8465016882477026
9-46d_L,-1.9211966387332402
9a_L,-1.8775325112284098
10v_L,-1.2734909289635095
a10p_L,-2.11528580398174
10pp_L,-1.041630792029476
11l_L,-2.4394007712480468
13l_L,-2.5327978666520634
OFC_L,-1.2083920956253542
47s_L,-3.3875713419228863
LIPd_L,2.213070442250002
6a_L,3.1303972776883615
i6-8_L,1.749984066416932
s6-8_L,0.6584103352142638
43_L,1.0125937164522107
OP4_L,2.485419226417557
OP1_L,3.9830891307088025
OP2-3_L,1.2639751525502378
52_L,1.0813612558678642
RI_L,2.6578619533921213
PFcm_L,4.76924168905242
PoI2_L,-0.30445535763445597
TA2_L,-0.695006292968644
FOP4_L,-2.150040177596757
MI_L,-2.0557390479645896
Pir_L,-2.6642759583345756
AVI_L,-2.6597378598016252
AAIC_L,-3.8444920893648113
FOP1_L,-0.17871196000937456
FOP3_L,0.3753659026318156
FOP2_L,1.0458159157036697
PFt_L,3.08329768495535
AIP_L,4.18048742803738
EC_L,1.6892368593217106
PreS_L,3.6465858494047034
H_L,4.55849210450701
ProS_L,-0.9037097060687346
PeEc_L,1.6155210304319572
STGa_L,-1.7077793770954257
PBelt_L,6.290765561483459
A5_L,1.118806401677136
PHA1_L,4.709864678275962
PHA3_L,3.9376379892471594
STSda_L,0.041011123960407084
STSdp_L,2.7793318577177955
STSvp_L,-0.21851862344780387
TGd_L,-1.351756674781756
TE1a_L,-0.7839997587870288
TE1p_L,-0.2736115344819638
TE2a_L,-0.1852743671316621
TF_L,1.0016119804560062
TE2p_L,-0.6013707837635782
PHT_L,-0.678575010052483
PH_L,0.513891697733518
TPOJ1_L,1.5649219030044206
TPOJ2_L,-1.244859590636567
TPOJ3_L,0.37301495572060245
DVT_L,1.7032811967269164
PGp_L,0.9081876436476111
IP2_L,3.8155055488948846
IP1_L,3.2448671889451766
IP0_L,2.0276084403399524
PFop_L,2.1926211829763766
PF_L,1.740640808755511
PFm_L,1.9038494289462768
PGi_L,0.49135135465186175
PGs_L,1.3608633971552024
V6A_L,1.3292618221781383
VMV1_L,-0.17359235407210075
VMV3_L,-1.2011598826988654
PHA2_L,5.83869678945677
V4t_L,0.6888159191177426
FST_L,0.568845048155132
V3CD_L,-0.19529597507695104
LO3_L,0.6544062633509614
VMV2_L,-0.2916582592446928
31pd_L,-0.7162580969868443
31a_L,-0.0804520136991642
VVC_L,0.8329662470573381
25_L,-2.9352351588815337
s32_L,-2.5497887223545974
pOFC_L,-1.985331834081219
PoI1_L,-0.03525527356039114
Ig_L,0.3098599585872519
FOP5_L,-1.754080449677419
p10p_L,-1.612920028551657
p47r_L,-1.3775339773007378
TGv_L,0.34712916924387854
MBelt_L,2.330511225379555
LBelt_L,5.342582179366087
A4_L,2.4420590520705976
STSva_L,-0.8025295816503891
TE1m_L,-0.2861009999640456
PI_L,-0.630964229990392
a32pr_L,-3.1705562381227614
p24_L,-4.173610463503537
V1_R,-1.5317628976296318
MST_R,1.7005945349867622
V6_R,1.2188552387740441
V2_R,-0.9109346046402741
V3_R,-0.5473890767355652
V4_R,-0.7220568128422301
V8_R,-2.027286773961518
4_R,1.93950600407119
3b_R,2.649119868563905
FEF_R,1.6131896453094097
PEF_R,-0.6364879527228228
55b_R,0.1166243749742259
V3A_R,0.3051278107519077
RSC_R,-0.12209403247493798
POS2_R,2.6533097106551753
V7_R,0.8131065149758033
IPS1_R,1.5909616213290363
FFC_R,-0.5376249611457026
V3B_R,0.5610370069289763
LO1_R,0.14220021590781526
LO2_R,-0.9275310382485903
PIT_R,-0.976303699984011
MT_R,-0.022821329181848347
A1_R,3.8664816818602246
PSL_R,0.6662176076850173
SFL_R,-2.0251692974727216
PCV_R,0.9326893679329812
STV_R,0.45422315681550807
7Pm_R,3.3434691161436834
7m_R,0.8677639764766379
POS1_R,0.5144764058746711
23d_R,-0.37271424714105245
v23ab_R,0.12362711592044053
d23ab_R,0.27548961840823005
31pv_R,-0.14805328895227846
5m_R,1.417364433418384
5mv_R,1.375573121578682
23c_R,-0.26853978628880887
5L_R,1.7449808837263838
24dd_R,1.9926371531737763
24dv_R,1.1236667603209867
7AL_R,2.5945910698179735
SCEF_R,-0.1318590732249423
6ma_R,-0.3980717256771909
7Am_R,1.8003538008968154
7Pl_R,1.7038176646721
7PC_R,2.3947002361654732
LIPv_R,2.8146876193539416
VIP_R,2.5057729484210793
MIP_R,1.9079756809611281
1_R,1.8528646064147585
2_R,3.4906032410312124
3a_R,1.8550193300443978
6d_R,2.2990604846417693
6mp_R,1.696794837595322
6v_R,-0.11596041683563632
p24pr_R,-0.5367210754469898
33pr_R,-2.8140730219976904
a24pr_R,-3.562311689197207
p32pr_R,-2.1306875713277225
a24_R,-4.264014698011127
d32_R,-2.722876882668573
8BM_R,-2.079907242417801
p32_R,-3.379693294930166
10r_R,-3.87193910055475
47m_R,-2.15035488568049
8Av_R,-1.27120641261196
8Ad_R,-0.2751610701303457
9m_R,-2.958554578711922
8BL_R,-1.5746002246905604
9p_R,-1.6582282650523816
10d_R,-0.8793840065655218
8C_R,-2.077834967575435
44_R,-2.1403548074474292
45_R,-2.66398506165901
47l_R,-2.905884891091971
a47r_R,-2.1747319199810433
6r_R,-1.526841455241536
IFJa_R,-2.30678916401042
IFJp_R,-2.7573083741614837
IFSp_R,-1.4815743704771291
IFSa_R,-2.331159297417769
p9-46v_R,-1.03647053244034
46_R,-0.9320440068105114
a9-46v_R,-1.704023115256744
9-46d_R,-0.7864435505126858
9a_R,-1.4161113615258256
10v_R,-2.0353098757172026
a10p_R,-1.477185511538391
10pp_R,-0.9513550562135197
11l_R,-2.0149331520714946
13l_R,-2.9632156737567414
OFC_R,-1.7334919161869857
47s_R,-3.1344245148390684
LIPd_R,2.0739472531368803
6a_R,2.0917139665629323
i6-8_R,0.4473599014276718
s6-8_R,-0.6992626137731576
43_R,0.0755844545014619
OP4_R,1.281532949917064
OP1_R,2.4266470044541384
OP2-3_R,0.6937954245231639
52_R,1.6770812984389865
RI_R,2.7509185439376123
PFcm_R,2.8148791703453475
PoI2_R,-1.0260853521832602
TA2_R,-0.2085438476259114
FOP4_R,-2.3566296766675108
MI_R,-2.4619240410203442
Pir_R,-2.7455749132166356
AVI_R,-2.725368662299793
AAIC_R,-4.0319741379965155
FOP1_R,-1.1459963736984857
FOP3_R,-1.850799634830831
FOP2_R,-0.3659787399880493
PFt_R,3.2585362311389643
AIP_R,3.0262795500524198
EC_R,2.4210925700865116
PreS_R,2.8392703154786
H_R,3.4845710211225165
ProS_R,0.060957540003997605
PeEc_R,1.3435732426977052
STGa_R,-2.5356460055655985
PBelt_R,3.780673572621386
A5_R,0.8751533545810336
PHA1_R,4.223801746907591
PHA3_R,2.7370611172916566
STSda_R,0.44474242813616477
STSdp_R,1.236391717134342
STSvp_R,0.2259221507945506
TGd_R,-1.4032320651857548
TE1a_R,-0.46206712009087264
TE1p_R,-0.13399888857814873
TE2a_R,0.045987948046366425
TF_R,0.9199115934434056
TE2p_R,-0.5960984662303763
PHT_R,0.06468286937901883
PH_R,-0.2433135036032812
TPOJ1_R,0.7782567911456192
TPOJ2_R,-1.2250701411606626
TPOJ3_R,-0.8385450965581946
DVT_R,1.2013588753835291
PGp_R,0.7389196321865515
IP2_R,3.5197143160908895
IP1_R,1.1282666697825854
IP0_R,1.2511813543316466
PFop_R,2.193123085720361
PF_R,2.0476947277241426
PFm_R,1.001797174960388
PGi_R,0.10722584472123366
PGs_R,1.2372679605651344
V6A_R,1.2546092697794418
VMV1_R,-0.36889477965739126
VMV3_R,-1.338109680278191
PHA2_R,5.038834122555898
V4t_R,-0.541605786947749
FST_R,0.7381898661176571
V3CD_R,0.524406648207871
LO3_R,0.4865024264110408
VMV2_R,-0.6963888215083321
31pd_R,0.49342857681351093
31a_R,-0.4413371851907253
VVC_R,1.7959122359852138
25_R,-3.3644425245888256
s32_R,-3.081085253431168
pOFC_R,-2.589866754825557
PoI1_R,-0.04342928417379487
Ig_R,0.33429531962285036
FOP5_R,-2.3873346929512094
p10p_R,-2.1188732389313705
p47r_R,-3.061656264419448
TGv_R,-0.10935770840234846
MBelt_R,2.5881252213519783
LBelt_R,5.208703964541291
A4_R,0.8964051618958949
STSva_R,0.5941442132049782
TE1m_R,-0.12907758154289956
PI_R,-0.8405501176401139
a32pr_R,-3.0052228114638937
p24_R,-3.5555714692155296
