region,decision making
V6A_L,0.43441810750852183
VMV1_L,-1.3617998592374176
VMV3_L,-0.8154333834010008
PHA2_L,-2.394132440152286
V4t_L,1.9323673964718422
FST_L,0.9162946139813193
V3CD_L,-0.14531640855870534
LO3_L,1.228263668399665
VMV2_L,-1.5831398880186258
31pd_L,-2.0839988262750824
31a_L,-0.254515227273414
VVC_L,-1.279094749897825
25_L,1.063050738919977
s32_L,2.5271416172290517
pOFC_L,2.5609873501557714
PoI1_L,-1.1059086303548908
Ig_L,-1.3212287898345274
FOP5_L,0.5434052006066893
p10p_L,-0.6465072234110212
p47r_L,-0.45054097767176476
TGv_L,-1.2490118993406445
MBelt_L,-2.0307000877834684
LBelt_L,-3.1872381315669807
A4_L,-2.023801808857984
STSva_L,-3.2998228159528042
TE1m_L,-1.9103944205611694
PI_L,-1.8814971019132871
a32pr_L,0.9808684511719463
p24_L,1.1791966373950264
V1_R,-0.5775001380419905
MST_R,1.6464150265300255
V6_R,-0.24551212239620016
V2_R,-0.3793090789868577
V3_R,-0.031034670820429936
V4_R,0.02925284719957916
V8_R,0.4041355883364261
4_R,-0.7673288340314661
3b_R,-0.7367814838509676
FEF_R,1.1264028432701918
PEF_R,0.970772735314981
55b_R,-0.05905493522430793
V3A_R,-0.5848411958500637
RSC_R,-0.2645960360526147
POS2_R,0.16350596637039963
V7_R,0.26070934946397
IPS1_R,2.7301339525815047
FFC_R,-0.4837480913021545
V3B_R,1.726587956716854
LO1_R,0.4540233555702182
LO2_R,-0.04765669216283771
PIT_R,-0.4969134891427113
MT_R,-0.02367856741027832
A1_R,-2.794660891964461
PSL_R,-0.8369256545448995
SFL_R,-0.8004434206546214
PCV_R,-0.8775329430593344
STV_R,-0.9919988381696065
7Pm_R,1.365564934260185
7m_R,-1.8349805484414572
POS1_R,-1.1350968089610036
23d_R,0.12367094510109082
v23ab_R,-1.6888509529599423
d23ab_R,-0.4199556122729291
31pv_R,-0.42296148874973316
5m_R,-1.3001737563310172
5mv_R,-0.818897331052445
23c_R,-0.3808841357994506
5L_R,-0.652717414198828
24dd_R,0.5462472562079653
24dv_R,2.1686192796453905
7AL_R,-0.3658858662473235
SCEF_R,1.391258136254836
6ma_R,-0.0425842851876254
7Am_R,0.13375941827968987
7Pl_R,1.0456553372893715
7PC_R,0.040985965029174336
LIPv_R,1.5291834711481613
VIP_R,0.25693847459953445
MIP_R,1.9396334109051547
1_R,-0.43453924203759886
2_R,-0.6612222577500327
3a_R,-0.8321097236289046
6d_R,0.017176530041529497
6mp_R,-0.34848789964492055
6v_R,-0.49535560762061476
p24pr_R,1.627994261639405
33pr_R,1.9576756828665427
a24pr_R,3.7869799155176507
p32pr_R,3.028979273671554
a24_R,0.9052269862608061
d32_R,0.13677880532493022
8BM_R,0.2790057780832901
p32_R,0.5391328181806668
10r_R,1.3425684564402223
47m_R,2.665335834783713
8Av_R,-0.9985702677651324
8Ad_R,-0.5167100792695056
9m_R,-1.4487623161099485
8BL_R,-1.2705184435064998
9p_R,0.0657732912214002
10d_R,-0.44258048685953477
8C_R,0.028758379563534314
44_R,-0.6036314968102036
45_R,0.29292238140533605
47l_R,1.7198881118608633
a47r_R,2.47382968970677
6r_R,0.2009271115895766
IFJa_R,-0.06677534891953077
IFJp_R,0.1715120757433619
IFSp_R,0.5636156549382889
IFSa_R,0.06036684634966762
p9-46v_R,0.8944794415557547
46_R,0.40844155765719636
a9-46v_R,1.0623682294008832
9-46d_R,1.032537489344295
9a_R,-0.6140159459349267
10v_R,1.050825604063531
a10p_R,0.7729045147490284
10pp_R,1.2580696410454448
11l_R,1.9876605330198813
13l_R,1.3257941888550828
OFC_R,-0.054847329401247494
47s_R,1.8010946156968406
LIPd_R,3.121219483384017
6a_R,2.452029740758592
i6-8_R,0.4541873184659343
s6-8_R,-0.6702896822885187
43_R,-1.3388202530870148
OP4_R,-1.815621674605828
OP1_R,-1.7716584512564473
OP2-3_R,-1.400784320655458
52_R,-2.484713940697782
RI_R,-2.435118286237382
PFcm_R,-1.9426602908066757
PoI2_R,-0.8254136885812242
TA2_R,-1.291113870581931
FOP4_R,1.6070097643521382
MI_R,2.3819226527211104
Pir_R,-0.20271242353355703
AVI_R,5.376433413888805
AAIC_R,4.041414173900306
FOP1_R,-0.481890359596366
FOP3_R,0.8880549306137283
FOP2_R,0.5735506768588982
PFt_R,-0.8832757819160414
AIP_R,1.1733364912425912
EC_R,-1.535270042353128
PreS_R,-1.9543894380091498
H_R,-2.2550324111964963
ProS_R,-1.3558517219519466
PeEc_R,-1.8023083723217153
STGa_R,-0.7285368935238014
PBelt_R,-3.079081894278791
A5_R,-3.2585628798494133
PHA1_R,-1.7679178126504096
PHA3_R,-1.5533870051564156
STSda_R,-2.6087618613841315
STSdp_R,-2.488130108093406
STSvp_R,-2.7512242547495274
TGd_R,-1.0414893000570986
TE1a_R,-2.015057345061515
TE1p_R,-1.3624010500619748
TE2a_R,-1.244484688643174
TF_R,-1.7758748614052697
TE2p_R,-0.988819622415766
PHT_R,-0.88402962054674
PH_R,-0.0038920688192478968
TPOJ1_R,-1.2915951250898885
TPOJ2_R,-1.2904261522817022
TPOJ3_R,-1.885930295316087
DVT_R,0.6488944191570152
PGp_R,-1.1848369494799253
IP2_R,1.6615935573627822
IP1_R,1.6804623489435933
IP0_R,0.6838095088624151
PFop_R,-1.3561548603094378
PF_R,-0.7702578866166175
PFm_R,-0.002229381761968259
