region,consciousness
9m_L,3.703394562373768
8BL_L,4.2307500974603895
9p_L,0.057928274630975364
10d_L,3.1274676472975624
8C_L,-1.6278795486429558
44_L,-2.7142219785251127
45_L,-2.509857697527737
47l_L,-2.269712948322442
a47r_L,-1.3157260175907692
6r_L,-2.934770962590412
IFJa_L,-2.613634884292638
IFJp_L,-3.4463988046365173
IFSp_L,-2.3705923288435
IFSa_L,-2.515978522580934
p9-46v_L,-1.774895136746134
46_L,-0.2596466149836592
a9-46v_L,-1.0459303568416225
9-46d_L,-0.42594576694871206
9a_L,-0.23244535415699535
10v_L,2.3072506942595656
a10p_L,-1.258387964698127
10pp_L,0.0059288925224154
11l_L,-1.3795455406755952
13l_L,-1.4592081190878496
OFC_L,-0.17818870667166306
47s_L,-1.845390294905606
LIPd_L,-1.4090693275220267
6a_L,-0.5731270033195243
i6-8_L,-0.3183388039786413
s6-8_L,2.988761969174513
43_L,-1.5377582396264096
OP4_L,-0.6549056011103942
OP1_L,-1.7766641024763092
OP2-3_L,-0.9242600784380002
52_L,-0.5617892308645294
RI_L,-0.6648569548511247
PFcm_L,-1.8465929435676411
PoI2_L,-1.6362443616049662
TA2_L,-1.4162866115930461
FOP4_L,-1.8105673582310269
MI_L,-1.9902508531235727
Pir_L,-1.6187086723192297
AVI_L,-2.6914757123595097
AAIC_L,-2.404194819397095
FOP1_L,-1.736835788978074
FOP3_L,-0.5136127628937922
FOP2_L,-1.6270600384952338
PFt_L,-1.6889660618296494
AIP_L,-1.2839877979415892
EC_L,1.2697172556015264
PreS_L,2.574762773849364
H_L,2.6339622698683716
ProS_L,1.2767908670163672
PeEc_L,0.5479475121991911
STGa_L,-0.651323532723997
PBelt_L,-1.2023267329831884
A5_L,-0.5413445618468237
PHA1_L,3.438332096910239
PHA3_L,0.43503641862504794
STSda_L,-0.059588848446418485
STSdp_L,-1.432685575571375
STSvp_L,-0.7479521116552852
TGd_L,0.2560514802469313
TE1a_L,2.280451174353716
TE1p_L,-0.899948816612923
TE2a_L,3.041671515018698
TF_L,-0.16847355754157697
TE2p_L,-0.574945485640903
PHT_L,-0.9673922273517803
PH_L,-0.4571025370031959
TPOJ1_L,-1.6083147323711122
TPOJ2_L,1.4944458916770615
TPOJ3_L,5.2673322696746485
DVT_L,1.300368728934407
PGp_L,1.9669527719087014
IP2_L,-1.3505568373132844
IP1_L,0.3056352581446118
IP0_L,1.0233683749930123
PFop_L,-1.3858556167754346
PF_L,-0.4171847915817436
PFm_L,0.3226721749051722
PGi_L,5.291088460174135
PGs_L,4.546244181185491
V6A_L,-0.0025115909993380352
VMV1_L,0.5242486722480585
VMV3_L,-0.7041253942391468
PHA2_L,1.6458407282623067
V4t_L,-0.20027569799058198
FST_L,-0.09875962358169502
V3CD_L,0.1436199688509306
LO3_L,2.116780687709218
VMV2_L,-0.8449110565995663
31pd_L,6.859616419840581
31a_L,2.5333717183599633
VVC_L,0.8252657919540711
25_L,1.8502024017848855
s32_L,3.887895347878479
pOFC_L,-0.7182110602887527
PoI1_L,-0.8924003818432007
Ig_L,-1.2268963720293022
FOP5_L,-2.6733371523462917
p10p_L,0.1580166578191901
p47r_L,-1.9479558800012777
TGv_L,0.1634942297323896
MBelt_L,-0.7183788266165935
LBelt_L,-0.9329746183598727
A4_L,-0.7470532063684304
STSva_L,3.373934491896103
TE1m_L,3.4890126735275615
PI_L,-0.6045917463558187
a32pr_L,-0.8095913632152045
p24_L,1.5906851490212754
V1_R,0.6133064721563448
MST_R,0.15476669366812607
V6_R,1.6517955729275016
V2_R,0.9963136041384631
V3_R,0.45706376524262643
V4_R,-0.1688073534948594
V8_R,-1.1651864307191795
4_R,-0.7369111367700536
3b_R,-0.7641388655729022
FEF_R,-0.6279734901987688
PEF_R,-1.8652852790139711
55b_R,-1.0031753510889303
V3A_R,1.171219426544991
RSC_R,2.6621035449645807
POS2_R,4.385766489441449
V7_R,0.025664298048993853
IPS1_R,-0.19370435256219617
FFC_R,-0.5901446441237806
V3B_R,0.1535110357934086
LO1_R,0.48246315359854536
LO2_R,-0.8588157780987514
PIT_R,-0.6322958440836323
MT_R,1.5584176860298447
A1_R,-0.9632597696685287
PSL_R,-0.2556158374846986
SFL_R,-1.031234125494294
PCV_R,0.5728725065959358
STV_R,-0.7784573710859061
7Pm_R,1.2001229978554446
