region,discrimination
VVC_L,2.2434522610026613
25_L,-3.383273288647524
s32_L,-2.9015150108288963
pOFC_L,-2.6300274626943336
PoI1_L,1.267109548911668
Ig_L,0.8773625177923505
FOP5_L,-1.619460419065703
p10p_L,-1.9903736561751184
p47r_L,-2.3257841222953664
TGv_L,0.09629656809859351
MBelt_L,4.954654310591633
LBelt_L,9.665354286888412
A4_L,5.5317073597446615
STSva_L,0.5747064593155878
TE1m_L,0.4497941635839254
PI_L,1.0041573744505523
a32pr_L,-3.4646383951405806
p24_L,-4.0069123476204
V1_R,0.6548066293512447
MST_R,2.3732359827287293
V6_R,-0.17435184040431534
V2_R,0.13830354297224912
V3_R,0.4451762263359036
V4_R,1.8450734918665477
V8_R,1.7894043899993997
4_R,1.6049195296452983
3b_R,2.8004575730838055
FEF_R,0.501605461661052
PEF_R,0.12033588635369107
55b_R,0.43994317132436156
V3A_R,0.08972739809078559
RSC_R,-0.5781720639095324
POS2_R,-1.61741855410852
V7_R,0.2034146423222448
IPS1_R,-1.1523127668926414
FFC_R,3.7187875025016
V3B_R,0.5868309535331084
LO1_R,1.4746643286304522
LO2_R,2.4966910805306837
PIT_R,2.708468354767441
MT_R,0.3487648056904651
A1_R,8.957647685525147
PSL_R,1.6473968007235182
SFL_R,-1.2750652081540983
PCV_R,-0.5769059803079288
STV_R,1.3146910857211447
7Pm_R,0.02958711163636439
7m_R,-2.7241523492460162
POS1_R,-1.5557309290805026
23d_R,-0.9181149612199352
v23ab_R,-1.9555098655164307
d23ab_R,-2.081694449597341
31pv_R,-2.045722903932122
5m_R,2.550882329184582
5mv_R,1.4576421724266146
23c_R,-0.808755421034911
5L_R,1.9815176125354284
24dd_R,0.3648873808556893
24dv_R,0.7003250937807801
7AL_R,1.4165242577862391
SCEF_R,-0.35642201562507186
6ma_R,0.011268007957505637
7Am_R,0.3319724109064745
7Pl_R,-0.3404989085800678
7PC_R,2.1264285505287206
LIPv_R,0.689301438532942
VIP_R,0.36992967138565946
MIP_R,-0.7677918231350203
1_R,2.4692217708866124
2_R,5.552149583278247
3a_R,1.6568641744148056
6d_R,1.8750084186892892
6mp_R,0.5558320364631733
6v_R,0.9438048981979752
p24pr_R,-0.11837113876949401
33pr_R,-1.8657115117831697
a24pr_R,-2.6443814850081298
p32pr_R,-1.9886624797667354
a24_R,-4.0008578583471595
d32_R,-2.203413318978848
8BM_R,-1.2828751171765593
p32_R,-3.923999304282155
10r_R,-3.775531758573492
47m_R,-2.0438272686587813
8Av_R,-0.3934082417842313
8Ad_R,-1.8453043645416347
9m_R,-2.7758524675137455
8BL_R,-1.5660627327537076
9p_R,-1.5588260340108426
10d_R,-1.1331043444064122
8C_R,-2.3669447115504747
44_R,-1.1153571621826086
45_R,-1.2827762700391163
47l_R,-1.3882314842836696
a47r_R,-1.5457739132920427
6r_R,0.13091402298132565
IFJa_R,-1.106123721703044
IFJp_R,-2.1039331058665574
IFSp_R,-1.1159427811268525
IFSa_R,-1.3077110484350436
p9-46v_R,-1.155601127586053
46_R,-1.1697266414237606
a9-46v_R,-1.44410039026459
9-46d_R,-1.7776303261776376
9a_R,-1.623901654052191
10v_R,-2.112563569167222
a10p_R,-0.9853616086416909
10pp_R,-0.38602641061212356
11l_R,-1.9423796704277456
13l_R,-2.75939782199612
OFC_R,-1.6519186263384986
47s_R,-2.6690531250024865
LIPd_R,-0.809497547618161
6a_R,-0.18848597312590337
i6-8_R,-0.40314378264454087
s6-8_R,-0.7500314399691584
43_R,1.827972592130809
OP4_R,4.1624042193833795
OP1_R,6.683754467809881
OP2-3_R,1.9401893247241293
52_R,4.973837697673921
RI_R,7.298319943989571
PFcm_R,8.225042039330265
PoI2_R,0.47479528587198977
TA2_R,1.8273249180816107
FOP4_R,-0.7356665161507868
MI_R,-0.8807728973957708
Pir_R,-2.4497717642166323
AVI_R,-1.4342508678901875
AAIC_R,-2.967714793341095
FOP1_R,0.6255163684930967
FOP3_R,-0.5347104233712852
FOP2_R,1.1393916434958107
PFt_R,5.762811074777857
AIP_R,1.1922809597232205
EC_R,0.23816308516701387
