region,encoding
MST_R,-0.8600181559119104
V6_R,0.128232729926974
V2_R,0.9789523587322153
V3_R,1.000385653802964
V4_R,1.753052197161981
V8_R,1.7582392996374567
4_R,-1.4933681725850305
3b_R,-1.302750118793947
FEF_R,-0.9552377091351252
PEF_R,-1.2163539651225075
55b_R,-1.200729195188394
V3A_R,0.6158716782452291
RSC_R,0.1620026247626065
POS2_R,1.3556729665151819
V7_R,1.4032066402710899
IPS1_R,0.7904410170381192
FFC_R,4.808679860430037
V3B_R,2.7468254385191644
LO1_R,1.11236750590149
LO2_R,0.509713074793569
PIT_R,1.9477150829185597
MT_R,-1.073724210526053
A1_R,-2.0587049304212246
PSL_R,-1.816392773664338
SFL_R,-1.712306012400463
PCV_R,-1.0582879256192168
STV_R,-2.214331992324934
7Pm_R,1.034095307448351
