region,expertise
V6_R,0.6008968358636793
V2_R,1.3775714175691538
V3_R,3.0387931769455614
V4_R,6.479309301495928
V8_R,13.491565096880022
4_R,0.6023379512056685
3b_R,0.5124166255190896
FEF_R,0.8467298965433186
PEF_R,0.5644156358649307
55b_R,0.360002020382813
V3A_R,0.922769606242225
RSC_R,-1.1667392148302007
POS2_R,-0.5891060216999551
V7_R,1.231450204484278
IPS1_R,0.9809332045976785
FFC_R,19.46145336544277
V3B_R,2.7868120124870677
LO1_R,3.7235222018877456
LO2_R,6.47067347737931
PIT_R,11.102628570344383
MT_R,2.598193511860912
A1_R,0.4693172493739116
PSL_R,-0.6950394034802165
SFL_R,-1.1230884301514443
PCV_R,-0.8754166183178504
STV_R,-0.4509054914810505
7Pm_R,-1.014269067762049
