region,reward anticipation
a32pr_L,-0.3091167303199226
p24_L,2.09623848798984
V1_R,0.05333320214032308
MST_R,-1.1655464140256309
V6_R,0.03613558848998308
V2_R,-0.015392697508251056
V3_R,0.07720412800303833
V4_R,-0.34291719180168684
V8_R,0.24710000002755142
4_R,-0.5396972064271496
3b_R,-0.4479685060857226
FEF_R,0.1888909968241039
PEF_R,-0.34897594586289177
55b_R,-0.25747553034142895
V3A_R,-0.7569618053361641
RSC_R,0.5384610080914862
POS2_R,-0.6530692661748771
V7_R,-0.6578348155835725
IPS1_R,0.6669021310409606
FFC_R,-0.3915316117576698
V3B_R,-0.22055039720348063
LO1_R,-0.7182328985058231
LO2_R,-0.5611830643118767
PIT_R,-0.9509942514569041
MT_R,-1.5929661469557115
A1_R,-1.2408982699008313
PSL_R,-0.5083216241827693
