region,face recognition
H_L,-0.26051466512084825
ProS_L,-0.8206862610232972
PeEc_L,0.6803009589013591
STGa_L,-0.5641327453009478
PBelt_L,-1.673698858564703
A5_L,-0.9887668581489667
PHA1_L,-0.3283936293269395
PHA3_L,0.762668958452405
STSda_L,-1.1543932360435063
STSdp_L,-1.1839314528140583
STSvp_L,-0.24559590115958493
TGd_L,-0.3125162139606232
TE1a_L,-0.544686905669917
TE1p_L,-0.09105574419329548
TE2a_L,-0.10740917360884962
TF_L,0.547268596012762
TE2p_L,2.4989711080218133
PHT_L,0.8415135803664281
PH_L,0.4627937522001273
TPOJ1_L,0.2827160523873407
TPOJ2_L,0.15820135605992003
TPOJ3_L,-0.8150668667524439
DVT_L,-0.6401276050935543
PGp_L,-0.4155711934994726
IP2_L,-1.4149817230772592
IP1_L,-0.8645797021148729
IP0_L,-0.7276982347718168
PFop_L,-1.5155111578947378
PF_L,-0.8735104988323464
PFm_L,-0.8672032199347981
PGi_L,-0.7765825348841897
PGs_L,-0.5579559971535248
V6A_L,-0.4632361007803485
VMV1_L,-0.40153255734166726
VMV3_L,2.8780430340488308
PHA2_L,0.6758891697409138
V4t_L,1.8899939736883589
FST_L,0.6713890935279875
V3CD_L,1.1113456933609698
LO3_L,-0.35889870223247095
VMV2_L,0.6767368775544682
31pd_L,-0.3881353040208315
31a_L,-0.8973147521330093
VVC_L,4.7035463480777935
25_L,-1.4360149051114908
s32_L,-1.1800876970901986
pOFC_L,-0.7225018905676696
PoI1_L,-1.2521430557419695
Ig_L,-0.7336341603824499
FOP5_L,-0.8650392017961802
p10p_L,-0.9317613967877278
p47r_L,-0.1909148928499934
TGv_L,-0.052172219542783664
MBelt_L,-1.5714925498966401
LBelt_L,-1.2579006093219107
A4_L,-0.97207868577608
STSva_L,-1.1084636543727235
TE1m_L,-0.21922462063424192
PI_L,-1.3816820525201443
a32pr_L,-0.5861536991771896
p24_L,-1.090835493784949
V1_R,0.6481336665963959
MST_R,5.788239505636598
V6_R,-0.05993471676603584
V2_R,1.0285927111968398
V3_R,2.275313582175853
V4_R,5.140679119383832
V8_R,6.725592957060967
4_R,-0.4144124921534449
3b_R,-0.46258118248418434
FEF_R,0.37406463153126207
PEF_R,0.4608863071794987
55b_R,0.541538761337447
V3A_R,-0.30631493387313785
RSC_R,-0.8028466745664716
POS2_R,-0.9342175656602262
V7_R,-0.4131064819599566
IPS1_R,-0.27610851919695517
FFC_R,13.768556174921223
V3B_R,0.877784629542805
LO1_R,3.242652740674844
LO2_R,5.77279982160651
PIT_R,7.579989111838497
MT_R,3.89797441436583
A1_R,-1.3434931265825556
PSL_R,-0.5277135929114406
SFL_R,-0.19985736564437107
PCV_R,-1.4312218413162656
STV_R,0.05957081478814399
7Pm_R,-1.460625091357462
7m_R,-0.08311683863306586
POS1_R,-0.27222751492221303
23d_R,-0.9808547895130844
v23ab_R,0.13838201666399047
d23ab_R,-0.6585882470067083
31pv_R,-0.7514610521081121
5m_R,-1.24251155753827
5mv_R,-1.1174803813602017
23c_R,-1.038695280409018
5L_R,-0.5078914049657403
24dd_R,-0.8695366374366843
24dv_R,-1.1236315623293833
7AL_R,-0.7444184378698935
SCEF_R,-0.10916964352839484
6ma_R,-0.6554845449005506
7Am_R,-1.2912845616837259
7Pl_R,-1.455376390261554
7PC_R,-0.1652839946154485
LIPv_R,-0.05080093937555167
VIP_R,-1.05064718554883
MIP_R,-0.7306031441057812
1_R,-0.3422359151317097
2_R,-0.3383433251593565
3a_R,-0.9307282147973421
6d_R,-0.4215989046510103
6mp_R,-0.8058728566750752
6v_R,0.5251209973006264
p24pr_R,-0.9631276582129075
33pr_R,-1.3974608389830687
a24pr_R,-1.0359617965852035
p32pr_R,-0.6374205347479711
a24_R,-1.060551415171961
d32_R,-0.6985271542497357
8BM_R,0.39496247804575196
p32_R,-1.1173552140130578
10r_R,-0.610953513218427
47m_R,0.4086624749756557
8Av_R,-0.2795671674828463
8Ad_R,-1.3384268643841055
9m_R,-0.49074461342671394
8BL_R,-0.23180237654155803
9p_R,1.302718818406013
10d_R,-0.13814025695623464
8C_R,-0.7839289965132702
44_R,1.0399820006480434
45_R,0.4102768578774509
47l_R,0.3769378520751484
a47r_R,-0.7990563729065174
6r_R,1.0276047509867854
IFJa_R,2.623839930322841
IFJp_R,1.701554766147399
IFSp_R,0.9853250838120826
IFSa_R,0.4697517155835753
p9-46v_R,1.319563726288351
46_R,-1.2071790500015676
a9-46v_R,-0.11241098660748171
9-46d_R,-0.7476746251911828
9a_R,0.16191106560017143
10v_R,-0.6652797562596754
a10p_R,-0.4420560934551024
10pp_R,-0.3870037891646391
11l_R,-0.8576878944452234
13l_R,-0.5630807123705857
