region,verbal fluency
V3_R,-0.9731456307925858
V4_R,-1.6589976306567429
V8_R,-2.8249929907387696
4_R,-0.8062500557176697
3b_R,-0.5658484558560959
FEF_R,1.1222032845896783
PEF_R,1.1471837953271937
55b_R,0.44310863323493477
V3A_R,-0.927642617077054
RSC_R,-0.8415010341942092
POS2_R,2.6987342222557342
V7_R,-0.12296252075945052
IPS1_R,2.635512064433242
FFC_R,-1.1165152064595678
V3B_R,0.3779942337668087
LO1_R,-2.0827400551338138
LO2_R,-2.867824066878993
PIT_R,-1.7771530528257813
MT_R,-2.5865788948954984
A1_R,-1.9066651059228628
PSL_R,-2.2918050945301705
SFL_R,-1.2345860978665875
PCV_R,0.8239225283164908
STV_R,-2.672220826725842
7Pm_R,3.426274966747784
7m_R,1.8061028277004345
POS1_R,0.023719556769103874
