region,thought
V2_R,0.8592900114938875
V3_R,0.244438361017981
V4_R,-0.8583910469862044
V8_R,-2.23992245700753
4_R,-0.6852484888832475
3b_R,-0.4544395142784664
FEF_R,-0.457947341232778
PEF_R,-0.983859291799215
55b_R,-0.7904573456976868
V3A_R,0.45165230816155955
RSC_R,2.720244508667206
POS2_R,3.9115343191078997
V7_R,-0.7184089377517993
IPS1_R,-0.6441093480441694
FFC_R,-1.401714221314856
V3B_R,-0.19475328752188642
LO1_R,-0.49332435886795384
LO2_R,-1.543225691742165
PIT_R,-1.8404023925283195
MT_R,0.4510122903710596
A1_R,-0.9103827362417031
PSL_R,-0.378415475893318
SFL_R,-1.161818743137552
PCV_R,-0.061002543898385476
STV_R,-1.0270929692078505
7Pm_R,0.9373903021536981
