region,mood
9-46d_L,1.3461849422244445
9a_L,0.6471206646308968
10v_L,2.4873721171452505
a10p_L,1.3549613176352835
10pp_L,1.9090547937305602
11l_L,2.62608213377109
13l_L,1.6255949757600099
OFC_L,2.139356888951085
47s_L,1.5740340049459363
LIPd_L,-3.298834702939532
6a_L,-1.1284364326938399
i6-8_L,-0.5890414767462256
s6-8_L,0.4440431021466118
43_L,-0.9294389421192654
OP4_L,-1.2514856226248199
OP1_L,-2.094499873976953
OP2-3_L,-0.40153249984182765
52_L,-0.0025620975042696045
RI_L,-1.0306936015097015
PFcm_L,-2.8565235888010956
PoI2_L,0.25067899940371313
TA2_L,-0.7494098021606113
FOP4_L,-0.07456406832482104
MI_L,0.3831283274467112
Pir_L,0.9054709764015252
AVI_L,0.7560222240699871
AAIC_L,0.585282617017233
FOP1_L,-0.17691088059558335
FOP3_L,0.3939648639346913
FOP2_L,-0.4647531823746143
PFt_L,-2.619644682299872
AIP_L,-3.893489094028
EC_L,2.7757907446430674
PreS_L,1.220762818856324
H_L,0.05275029167015311
ProS_L,0.9669678006110815
PeEc_L,0.0031262934308648183
STGa_L,-0.9271925852771489
PBelt_L,-2.555895893210269
A5_L,-2.0255626504944626
PHA1_L,1.229954600622482
PHA3_L,0.3741787478499257
STSda_L,-1.8549557233417913
STSdp_L,-3.0320288513691427
STSvp_L,-2.8493327705515576
TGd_L,-0.2092545737031876
TE1a_L,-0.9801492143408691
TE1p_L,-1.5213385186792385
TE2a_L,-0.4481864087213441
TF_L,-0.8023160009248849
TE2p_L,-0.8693463515130943
PHT_L,-2.3075394467739936
PH_L,-2.824528346761263
TPOJ1_L,-2.740970983291851
TPOJ2_L,-1.7179861073724865
TPOJ3_L,-1.0217504294737527
DVT_L,-0.00866459517602817
PGp_L,-0.84972120209448
IP2_L,-3.644223789227259
IP1_L,-2.429511670636189
IP0_L,-1.3097094243682872
PFop_L,-1.6921954784680509
PF_L,-1.5954902639458448
PFm_L,-1.5497051994905569
PGi_L,-0.7567007838806802
PGs_L,-1.161769507470123
V6A_L,-0.40211080545823835
VMV1_L,1.3753199279503592
VMV3_L,-0.17552300925948672
PHA2_L,0.8640038882091863
V4t_L,-3.058396388233406
FST_L,-2.852620138213791
V3CD_L,-1.428270402274805
LO3_L,-1.5558573232044235
VMV2_L,1.4573617469979874
31pd_L,0.687981846717651
31a_L,1.1946347050651887
VVC_L,-0.29515707365811594
25_L,6.339249436443459
s32_L,6.179961109707269
pOFC_L,3.3281791359885498
PoI1_L,0.30986956797581655
Ig_L,0.06410173477991744
FOP5_L,0.31532414526286817
p10p_L,0.9291445537557301
p47r_L,1.6234270887897042
TGv_L,-0.641965387810249
MBelt_L,-1.1548309724064267
LBelt_L,-1.9151084308527508
A4_L,-1.7334316423301968
STSva_L,-2.1096393284336505
TE1m_L,-0.42648387660708925
PI_L,-0.5562624491260674
a32pr_L,4.854937637039534
p24_L,7.048261667082426
V1_R,-0.39881495097056313
MST_R,-2.0382976028509625
V6_R,-0.2507756106137642
V2_R,-0.2669335183648268
V3_R,-0.6095374361102417
V4_R,-2.04688859343015
V8_R,-2.9273348085200266
4_R,-1.695774099414944
3b_R,-1.7435441099513276
FEF_R,-1.0394777789231
PEF_R,-1.1953869530035315
55b_R,-0.7596206755735077
V3A_R,-0.6133754200136154
RSC_R,3.352703854812173
POS2_R,0.029537102279419768
V7_R,-0.8006707005308875
IPS1_R,-2.585715844969103
FFC_R,-1.611341484233048
V3B_R,-0.7044884978666781
LO1_R,-2.395465085187737
LO2_R,-2.532188909375746
PIT_R,-2.25931382655345
MT_R,-1.7734378014260554
A1_R,-0.96205935299905
PSL_R,-1.358660860648418
SFL_R,-0.27563059517380323
PCV_R,-0.18319148256379872
STV_R,-0.9820145484623162
7Pm_R,-1.5816807716567964
7m_R,0.9670031369162181
POS1_R,1.5598260218279008
23d_R,3.038671645230186
