region,monitoring
MST_R,-2.4192550066361944
V6_R,-0.168659016604227
V2_R,-0.6264721514080098
V3_R,-0.7719146439541916
V4_R,-1.5740288640154458
V8_R,-1.7496964833957669
4_R,-0.4718126958247583
3b_R,-0.3275879270782197
FEF_R,-0.11111559510525046
PEF_R,0.608142819097228
55b_R,-0.19871559507956962
V3A_R,-0.5441069346252795
RSC_R,3.341119176385399
POS2_R,1.2535866789774863
V7_R,-1.0734133455995944
IPS1_R,-0.8281667585318959
FFC_R,-1.6375679206847225
V3B_R,-0.38912148194730634
LO1_R,-1.8933551970464875
LO2_R,-2.2712614840874408
PIT_R,-2.172821596487841
MT_R,-2.1692884179386622
A1_R,0.6982076588602318
PSL_R,-0.9097931559961693
SFL_R,-0.6323263609338007
PCV_R,-0.36343880386424465
STV_R,-0.5849685656727358
