region,spatial attention
TE2p_R,1.0054597132332095
PHT_R,0.9911181172731073
PH_R,3.3658144203800986
TPOJ1_R,0.34821176607019527
TPOJ2_R,-0.0008219820031282134
TPOJ3_R,-1.1462029006212062
DVT_R,5.892832400909859
PGp_R,1.7054425173676544
IP2_R,9.153973685813085
IP1_R,6.47437231691743
IP0_R,8.163631593927498
PFop_R,-0.9226005880956197
PF_R,0.72034985168329
PFm_R,2.0345952113296724
PGi_R,0.01613650244805214
PGs_R,2.1455143895083775
V6A_R,5.398861627402209
VMV1_R,2.853538564245838
VMV3_R,2.2008091532682594
PHA2_R,1.6424689565074309
V4t_R,3.4468876879479975
FST_R,2.4536736570548197
V3CD_R,5.00649785545872
LO3_R,1.4852956279084968
VMV2_R,2.5049399662088487
31pd_R,1.4865995572978612
31a_R,-0.2077241974000234
VVC_R,2.9472497595986815
25_R,-4.465002660751595
s32_R,-3.9510033240036866
pOFC_R,-2.6630026441720065
PoI1_R,-2.1832839743208745
Ig_R,-1.3925629169282192
FOP5_R,-1.3928273042630404
p10p_R,-2.110167340360935
p47r_R,-1.0272915410286745
TGv_R,-0.6791321941204861
MBelt_R,0.05102724558035907
LBelt_R,1.4625478536932475
A4_R,-0.6753692587150699
STSva_R,-0.7771363141540889
TE1m_R,-0.728682678282756
PI_R,-2.2789568519972447
a32pr_R,-2.815779453240653
p24_R,-4.426610926353023
