region,judgment
TF_L,1.4528978235883359
TE2p_L,1.4092868387297135
PHT_L,2.0518000967727974
PH_L,2.3370688920242815
TPOJ1_L,3.432560655326939
TPOJ2_L,2.694255146520334
TPOJ3_L,2.8179831188959854
DVT_L,4.550888229313961
PGp_L,1.6426838414367366
IP2_L,6.196713599872334
IP1_L,6.2545234114375905
IP0_L,4.286098450091333
PFop_L,-1.033995467978757
PF_L,1.3209263487316905
PFm_L,2.4114630621300925
PGi_L,2.7417707474568007
PGs_L,1.9738520015546062
V6A_L,2.7839546937070465
VMV1_L,-0.9561987674588994
VMV3_L,0.06600165879279617
PHA2_L,-0.33587010055339844
V4t_L,0.996007847706182
FST_L,1.1512490268601512
V3CD_L,0.5687000588348776
LO3_L,1.9608746421963412
VMV2_L,-1.3478433024027001
31pd_L,3.534686166636511
31a_L,0.35323528999930087
VVC_L,0.9122440966708697
25_L,-3.183522256977311
s32_L,-2.434472089792763
pOFC_L,-2.515819010251413
PoI1_L,-1.8647826002820984
Ig_L,-2.562345222405278
FOP5_L,-0.30097992276951346
p10p_L,-1.4322847586585363
p47r_L,0.2526706905965192
TGv_L,1.0483094632947572
MBelt_L,-0.9981280845871366
LBelt_L,-0.9023364202247002
A4_L,0.1418327608116023
STSva_L,3.1510367297504214
TE1m_L,1.2361987569776598
PI_L,0.9214896426392192
a32pr_L,-1.6335673342051624
p24_L,-3.8379802328708803
V1_R,0.23556568957243168
MST_R,0.9569032308073084
V6_R,3.147326467946094
V2_R,0.7162910367499813
V3_R,0.5261230710274233
V4_R,0.09618234279268693
V8_R,-1.0018254851790682
4_R,-1.5552239772454926
3b_R,-1.3740077383536664
FEF_R,-0.054171774112580263
PEF_R,-0.45390013166554183
55b_R,-0.5615075838712232
V3A_R,0.6371781869487023
RSC_R,-0.2591594197746865
POS2_R,6.449479093375206
V7_R,2.6355477557866522
IPS1_R,5.020040880484496
FFC_R,0.425119718723234
V3B_R,2.3504064174967656
LO1_R,0.6419129252524083
LO2_R,-0.25078998796353574
PIT_R,0.3462297812752324
MT_R,0.5983959803969511
A1_R,-2.422264014566
PSL_R,-0.1583894803416108
SFL_R,-1.4123019111704513
PCV_R,3.8612991162514834
STV_R,0.02194769350277346
7Pm_R,6.737883569408329
7m_R,4.790207745751112
POS1_R,1.915491667261664
23d_R,-0.6875536824484793
v23ab_R,0.35940371445101205
d23ab_R,1.1752025702585729
31pv_R,1.949337322142024
5m_R,-0.6099231439748872
5mv_R,0.21634676553558527
23c_R,0.524632262219386
5L_R,-0.046290800838859815
24dd_R,-1.0887821957193276
24dv_R,-0.6937138240499318
7AL_R,2.0548387333829723
SCEF_R,-0.504097183307226
6ma_R,-0.6802565448833636
7Am_R,3.747074494082933
7Pl_R,2.6792448586172326
7PC_R,1.4470724449409307
LIPv_R,3.468219477468755
VIP_R,2.624906327651149
MIP_R,4.238164732820792
1_R,-0.6736083921190611
2_R,-0.677189804956875
3a_R,-1.4869556324374573
6d_R,0.048375427850556964
6mp_R,-0.9646053788597432
6v_R,-0.7470373623104382
p24pr_R,-1.7783857656930668
33pr_R,-3.036566563132743
a24pr_R,-2.5973990343433555
p32pr_R,-0.8034968915130504
a24_R,-3.7119626111325483
d32_R,-1.8300555947941173
8BM_R,-0.7989316663723979
p32_R,-3.2180810466910055
10r_R,-2.9776807321720415
47m_R,-0.7822568059625444
8Av_R,-0.6934200757627274
8Ad_R,-0.8250181322114787
9m_R,-0.9798309467949762
8BL_R,-1.2390580943598666
9p_R,-1.2927772564026387
10d_R,-0.3521876147860494
8C_R,-0.6861456451697464
44_R,-0.08494697281973625
