region,reinforcement learning
7AL_R,-0.7976470885453109
SCEF_R,0.5135170666544926
6ma_R,-0.23037463510428452
7Am_R,-0.1139179675329507
7Pl_R,-0.30410482602090044
7PC_R,-0.3881566756220493
LIPv_R,-0.2758274856653211
VIP_R,-0.5822880503836178
MIP_R,0.2807080178646672
1_R,-0.16218719300019668
2_R,-0.7552279706006156
3a_R,-0.38750114313286455
6d_R,-0.425408337887598
6mp_R,-0.6765734583648952
6v_R,-1.1820869002448928
p24pr_R,0.687320850671684
33pr_R,1.0875389177122115
a24pr_R,0.5378699438813378
p32pr_R,0.08790771963020667
a24_R,1.616714817754533
d32_R,0.6118745480788877
8BM_R,-0.3592646124473445
p32_R,1.273235472283899
10r_R,2.231685341403021
47m_R,1.0324039415080906
8Av_R,-0.8629956307693071
8Ad_R,-0.5451225088371375
9m_R,-0.24586356534113016
8BL_R,-0.7730503942184638
9p_R,-0.2696602066971891
10d_R,-0.06869592105824619
8C_R,-0.8543297259367902
44_R,-1.3894775087206215
45_R,-1.00968979445794
47l_R,0.21375203876992563
a47r_R,1.2828258276319136
6r_R,-0.679801280969545
IFJa_R,-1.1054270819710164
IFJp_R,-0.9114994905138551
IFSp_R,-0.8250112429866048
IFSa_R,-0.3928874222884013
p9-46v_R,-0.5833861494033323
46_R,-0.47340651808013223
a9-46v_R,0.36485390427904485
9-46d_R,-0.22624833565739105
9a_R,-0.7220719085176408
10v_R,0.2983150488930426
a10p_R,0.5110480956537774
10pp_R,0.13717268305887848
11l_R,0.3386772774939136
13l_R,0.4954095919232509
OFC_R,-0.16303546859899168
47s_R,1.1623356232703963
LIPd_R,0.24699277908104297
6a_R,0.23768623496718735
i6-8_R,-0.5090056844777129
s6-8_R,-0.483995206599775
43_R,-0.6911135633978351
OP4_R,-0.6636450242821833
OP1_R,-0.9497606547906614
OP2-3_R,-0.7643949322487794
52_R,-1.438067652908638
RI_R,-1.6947602399750177
PFcm_R,-1.3042167055899871
PoI2_R,0.20839483200726788
TA2_R,-0.2909720912400418
FOP4_R,0.302099019404706
MI_R,0.5380974990125262
Pir_R,0.170429039196851
AVI_R,2.0820962404926044
AAIC_R,2.1457043689777695
FOP1_R,-0.05450626951868762
FOP3_R,0.44946611781355206
FOP2_R,0.0703168714108329
PFt_R,-0.33575543441096967
AIP_R,-0.3908744553331754
EC_R,-0.08073433334144517
PreS_R,-0.9119583236310286
H_R,-0.9565362673385936
ProS_R,0.07975177869527737
PeEc_R,-0.5610751085579793
STGa_R,-0.555967007625999
PBelt_R,-1.6156725147426574
A5_R,-1.4853737465609367
PHA1_R,-0.3754112944885057
PHA3_R,-0.7868898030664154
STSda_R,-1.3512311679654694
STSdp_R,-1.1023306240419422
STSvp_R,-1.5559279386466518
TGd_R,-0.2733249269897087
TE1a_R,-1.1870065862113655
TE1p_R,-0.7630947755908464
TE2a_R,-0.6825566932452877
TF_R,-0.6844880555155871
TE2p_R,-0.5428439726102403
PHT_R,-0.8280832024852443
PH_R,-0.8266161225859668
TPOJ1_R,-1.0765918315267873
TPOJ2_R,-1.7858022790212569
TPOJ3_R,-2.107456694792803
DVT_R,-0.4107491024855696
PGp_R,-1.4527223294585587
IP2_R,-0.42235890849465035
IP1_R,0.5270957338434052
IP0_R,-0.21435313379408436
PFop_R,-1.0756078388160253
PF_R,-0.37831573997830636
PFm_R,-0.3563704214625844
PGi_R,-1.541834202008275
PGs_R,-0.5251647867936625
V6A_R,-0.40777741760621944
VMV1_R,0.4044258909515737
VMV3_R,-0.09876035554915
PHA2_R,-0.4940788619486773
V4t_R,-0.6087076415567122
FST_R,-1.264509150849905
V3CD_R,-0.36636503188297925
LO3_R,-1.1005126184439418
VMV2_R,-0.21936287964530019
31pd_R,-0.554460525704278
31a_R,0.39782117682005697
VVC_R,-0.4271059118645671
25_R,3.629927491165796
s32_R,1.4755735430347239
pOFC_R,4.246474036886384
PoI1_R,-0.38226176330462347
Ig_R,-0.5646767213247399
FOP5_R,-0.4867149347279491
p10p_R,-0.006179541336873371
p47r_R,0.3140901298039075
TGv_R,-0.8573649002352833
MBelt_R,-1.3719011316779988
LBelt_R,-1.9298279198852835
A4_R,-1.136887685951326
STSva_R,-1.188317466689461
TE1m_R,-0.7899455536870574
PI_R,-0.43662386697600514
a32pr_R,1.4650484039110443
p24_R,1.6436365990626787
