region,sleep
OFC_R,-0.3577952769929683
47s_R,-1.3130683853010015
LIPd_R,-2.2388493278830066
6a_R,-0.8634112958236403
i6-8_R,-0.7539359711206552
s6-8_R,-0.3278355309848192
43_R,-0.4321601894495054
OP4_R,-0.11135474801540733
OP1_R,-0.19016686928990167
OP2-3_R,1.0407910046876914
52_R,1.267780435305212
RI_R,0.3234771363017401
PFcm_R,-0.7215972485011671
PoI2_R,1.013541032220672
TA2_R,-0.42945094680038287
FOP4_R,-0.8004181133032707
MI_R,-0.20039887013563445
Pir_R,-0.5011612294570545
AVI_R,-1.8802472676180046
AAIC_R,-0.8123703695489116
FOP1_R,0.14111565205177334
FOP3_R,0.2930131854389288
FOP2_R,0.5004035129865207
PFt_R,-0.008409770871357412
AIP_R,-1.1521913802381218
EC_R,0.05929791271483194
PreS_R,2.6245893538276412
H_R,0.38737550868723736
ProS_R,0.8240739220428853
PeEc_R,-0.1855081908640484
STGa_R,-1.0353847325408836
PBelt_R,-0.8074698841161616
A5_R,-1.0695803471078127
PHA1_R,2.0588917383042022
PHA3_R,1.2428738313128036
STSda_R,-0.20181890957478574
STSdp_R,-1.6563269701736414
STSvp_R,-1.4722458919606536
TGd_R,-0.5003800281858591
TE1a_R,-0.7288200948616903
TE1p_R,-0.4249967084769972
TE2a_R,0.13221110322933638
TF_R,0.34602754472246117
TE2p_R,0.28158602426632456
PHT_R,-0.9887446817610075
PH_R,-1.1772771242890323
TPOJ1_R,-1.6688414977398964
TPOJ2_R,-1.6458307812893846
TPOJ3_R,-2.0641583439956714
DVT_R,-0.16291278318003322
PGp_R,-1.2342190797859
IP2_R,-1.5255290865148003
IP1_R,-1.432552951432912
IP0_R,-0.664682445593033
PFop_R,1.3232796772845328
PF_R,-0.2354900843286544
PFm_R,-1.246348261977293
PGi_R,-1.9141225555037227
PGs_R,-1.0356734851389913
V6A_R,-0.03234037850969688
VMV1_R,1.2766474218347656
VMV3_R,-0.1274529329493907
PHA2_R,1.327677620471696
V4t_R,-0.8889719880431569
FST_R,-0.9273583652376435
V3CD_R,-0.3515560857515879
LO3_R,-0.9839802065673152
VMV2_R,0.17549161055607967
31pd_R,-1.0151523138475127
31a_R,-0.35561942249826817
VVC_R,1.1532125876009174
25_R,-0.44847320072962593
s32_R,0.16054438781791877
pOFC_R,-0.4669271875056032
PoI1_R,0.6920350020246209
Ig_R,1.8459060681832107
FOP5_R,-1.6124946916292415
p10p_R,-0.3558295370127313
p47r_R,-0.9709048382744043
TGv_R,-0.5630209337244458
MBelt_R,-0.26798062274070644
LBelt_R,-0.34583256445233956
A4_R,-0.764733817448032
STSva_R,-0.21652771404408133
TE1m_R,-0.21328511451758453
PI_R,-0.0631393065711558
a32pr_R,-1.1469446481661922
p24_R,0.33797540730346437
