region,communication
MST_R,0.20165437075363005
V6_R,-0.952462228475894
V2_R,-0.6990570601255628
V3_R,-0.37965672820944374
V4_R,0.084177921067648
V8_R,-0.37425449252580556
4_R,0.2219420769208452
3b_R,0.8370379758303048
FEF_R,0.6957083212075297
PEF_R,1.0514535367888371
55b_R,1.4215068691830588
V3A_R,-0.6340300288499627
RSC_R,-0.7659126190060368
POS2_R,-1.3706758759324904
V7_R,-0.22023655992103533
IPS1_R,-0.7938425540266489
FFC_R,0.8434912984851365
V3B_R,0.24318425646536432
LO1_R,-0.6640239470830257
LO2_R,-0.06516967858534269
PIT_R,0.6087051015256262
MT_R,-0.2731140992469724
A1_R,3.3474920748560644
PSL_R,-0.5728461511335429
SFL_R,-1.1625227356273489
PCV_R,-1.6342754565638624
STV_R,0.21402242226632726
