region,response inhibition
MI_L,3.086234348655602
Pir_L,-2.8432585538495085
AVI_L,2.5993563880281405
AAIC_L,1.051290407015657
FOP1_L,3.699717238023113
FOP3_L,2.517695368780946
FOP2_L,2.060505077806476
PFt_L,1.0009255056790984
AIP_L,4.2307615027281305
EC_L,-3.8550794920839024
PreS_L,-3.7286739053204325
H_L,-3.810384348945358
ProS_L,-2.4052022855075004
PeEc_L,-3.0508991844529083
STGa_L,-1.4044393763671534
PBelt_L,-2.7440594950204726
A5_L,-2.3339716786343416
PHA1_L,-3.7667597970206264
PHA3_L,-2.989655630015529
STSda_L,-2.589712535777984
STSdp_L,-2.665584716348508
STSvp_L,-2.083789921324405
TGd_L,-2.2097773203583104
TE1a_L,-1.897184504630169
TE1p_L,-1.0611838881388473
TE2a_L,-1.4119201308590217
TF_L,-1.8132221407661016
TE2p_L,-1.3792683591965327
PHT_L,-0.7193841791376169
PH_L,-1.245390442046228
TPOJ1_L,-0.15796145366934658
TPOJ2_L,-1.5296720712725762
TPOJ3_L,-0.00924834317524966
DVT_L,-0.2943494237540518
PGp_L,-0.6883671323006286
IP2_L,4.892186506475462
IP1_L,2.6364679146839616
IP0_L,0.35524812934196487
PFop_L,-0.038798741099909786
PF_L,1.3547003474176973
PFm_L,1.086295334602226
PGi_L,-0.6930364285532922
PGs_L,-0.8556567558491173
V6A_L,-0.004454495940476513
VMV1_L,-2.470742502121427
VMV3_L,-0.929701963764197
PHA2_L,-3.8516429119782214
V4t_L,-1.4910967590137416
FST_L,-2.4525028160542517
V3CD_L,-1.485250964356116
LO3_L,-0.5621802146554258
VMV2_L,-2.6765509272324435
31pd_L,-2.5060993802174423
31a_L,-0.7098866690026295
VVC_L,-2.2578807642633096
25_L,-2.8729132577635226
s32_L,-2.5397655304101914
pOFC_L,-1.238537743932733
PoI1_L,-1.0434447058259897
Ig_L,0.08534176004059128
FOP5_L,2.987802779767104
p10p_L,-1.110202297327625
p47r_L,0.6693780034604425
TGv_L,-1.5125428738851505
MBelt_L,-1.5053475762219677
LBelt_L,-2.738524307141552
A4_L,-1.7093159507981952
STSva_L,-2.694548558629897
TE1m_L,-1.9139586269324944
PI_L,-1.787454196454752
a32pr_L,0.7662430728593165
p24_L,-1.0176308324142582
V1_R,-1.4269239753534644
MST_R,-0.9083671248498744
V6_R,-0.7538337083402321
V2_R,-1.5069860202179324
V3_R,-0.9487455141080299
V4_R,-1.6369889657715562
V8_R,-2.0994945652158594
4_R,1.769521392157555
3b_R,1.7431345957623543
FEF_R,2.47827128220108
PEF_R,2.768243563841048
55b_R,1.0430651262417532
V3A_R,-1.0949405452302055
RSC_R,-0.1800035221321396
POS2_R,0.831545320993697
V7_R,-0.3076417923776009
IPS1_R,2.2833362715594223
FFC_R,-1.8216605022589234
V3B_R,-0.20928749659310802
LO1_R,-1.4404345764138775
LO2_R,-1.727013586328978
PIT_R,-1.5400314849572279
MT_R,-1.330104876415034
A1_R,-1.0257358720126866
PSL_R,0.2896966129177846
SFL_R,-0.6458681271867672
PCV_R,-1.4450236348456653
STV_R,0.3768705480493228
7Pm_R,0.9533605223930833
7m_R,-1.717712447464653
POS1_R,-1.1965526883409339
23d_R,1.1309449121162705
v23ab_R,-0.9977291908147353
d23ab_R,-0.26624005476934065
31pv_R,-0.25616435082610745
5m_R,-0.7418564730337487
5mv_R,-0.2139602008765736
23c_R,0.013072733776029886
