region,adaptation
FOP5_L,-2.3792117260284495
p10p_L,-0.8536453923698553
p47r_L,-2.015848252587414
TGv_L,-0.389624402440767
MBelt_L,0.9012239090182788
LBelt_L,2.261035390368923
A4_L,0.6144948261232088
STSva_L,-1.2298561177814131
TE1m_L,-1.4413923367250205
PI_L,-1.1354040631011548
a32pr_L,-3.2515327829266996
p24_L,-2.7740397636978087
V1_R,0.2768177278306568
MST_R,6.032759427831909
V6_R,1.0266042716532366
V2_R,0.31782722730046903
V3_R,0.996222938265833
V4_R,2.196436592753408
V8_R,7.054400994838877
4_R,1.0654650797339058
3b_R,1.1832484081182988
FEF_R,0.6885648228857506
PEF_R,-0.951656316941601
55b_R,-0.17246675442180373
V3A_R,0.48964773230742376
RSC_R,0.3268058398746428
POS2_R,3.460522576646621
V7_R,0.4566406567596689
IPS1_R,-0.10344641113914972
FFC_R,11.55907332710886
V3B_R,0.459466109327451
LO1_R,1.0721063400999058
LO2_R,2.279625176940082
PIT_R,3.6378653663064586
MT_R,2.450941950987365
A1_R,1.352409875389661
PSL_R,-0.23534282743820759
SFL_R,-1.0412841563586552
PCV_R,2.635654140350439
STV_R,-0.09393374860808235
7Pm_R,1.8959522083716982
7m_R,3.2805720488752623
POS1_R,1.4906562925226732
23d_R,0.31644796978180983
v23ab_R,-0.09609820502180853
d23ab_R,1.5292298791488668
31pv_R,1.8368708350828669
5m_R,1.0489950330322444
5mv_R,0.7952696746834919
23c_R,0.7945147107660168
5L_R,1.0086325257848068
24dd_R,1.1246005022768741
24dv_R,0.0537634320088655
7AL_R,1.0919092278052864
SCEF_R,-0.7154889426646736
6ma_R,-0.6802349733283674
7Am_R,1.609245681262869
7Pl_R,0.7505559148254991
7PC_R,-0.33194974884982925
LIPv_R,-0.6435760788294183
VIP_R,0.7620653939998059
MIP_R,-0.3320935182400825
1_R,0.5930493238506466
2_R,0.4677195966830867
3a_R,1.1115927958105007
6d_R,0.7872254030920196
6mp_R,0.9563616592391274
6v_R,-0.688881402653508
p24pr_R,-0.623041388739521
33pr_R,-1.6500318376856336
a24pr_R,-2.6639096519860126
p32pr_R,-2.3506939212701607
a24_R,-2.0387754486046106
d32_R,-1.791528294266724
8BM_R,-1.7734985433840211
p32_R,-2.047468865607224
10r_R,-2.227741382124591
47m_R,-1.4617209068369954
8Av_R,-0.6727873262803321
8Ad_R,-0.6073402062199823
9m_R,-1.3930839626724196
8BL_R,-0.8299076404457614
9p_R,-1.4523028092843575
10d_R,-0.7600830311342092
8C_R,-1.5606554706612543
44_R,-0.8672406582881568
45_R,-1.9083812919589092
47l_R,-1.4368464347377512
a47r_R,-0.7987034807180424
6r_R,-0.8384497732186723
IFJa_R,-0.9458649339743846
IFJp_R,-0.8380912889961588
IFSp_R,-1.705471835596997
IFSa_R,-1.7573949938167468
p9-46v_R,-1.7311040303653904
46_R,-0.49707412173629373
a9-46v_R,-1.3422758776467918
9-46d_R,-0.5872003858781576
9a_R,-1.340554298282812
10v_R,-1.2646810837068596
a10p_R,-0.3572483028632867
10pp_R,-0.48570611312234313
11l_R,-0.9022699443798704
13l_R,-1.4875617546330195
OFC_R,-0.7631446416317682
47s_R,-2.347692127765431
