region,emotion regulation
AIP_L,-2.816926470089692
EC_L,4.356464512661053
PreS_L,-1.0230198322857542
H_L,-0.07755035175576631
ProS_L,-2.1115838378328804
PeEc_L,0.8024469477963984
STGa_L,0.7905652722468911
PBelt_L,-1.924517206347725
A5_L,-1.2552908940999523
PHA1_L,-0.997051334256508
PHA3_L,-1.2803295418091722
STSda_L,-0.435706715466464
STSdp_L,-2.365217284900977
STSvp_L,-2.131701492095828
TGd_L,0.5031526387699553
TE1a_L,-0.6397305878436094
TE1p_L,-1.0931362226588468
TE2a_L,-0.2282070181001011
TF_L,-1.4189169133521622
TE2p_L,-0.9268826627744081
PHT_L,-1.3513778569515185
PH_L,-2.117989175397653
TPOJ1_L,-1.8628879445589832
TPOJ2_L,-1.1393427515729297
TPOJ3_L,-0.8656910727042222
DVT_L,-1.0494949847664805
PGp_L,-0.7666975704079826
IP2_L,-2.09562348590104
IP1_L,-1.5478910921672582
IP0_L,-1.3024092864221972
PFop_L,-0.8956161722910755
PF_L,-1.5127256100006978
PFm_L,-0.9601932888527744
PGi_L,-1.2461089071338174
PGs_L,-0.7696690955303089
V6A_L,-0.4791550160872727
VMV1_L,-1.474496948680987
VMV3_L,-1.3458585808596406
PHA2_L,-1.3476902991111939
V4t_L,-2.276896081956814
FST_L,-2.4091245469121993
V3CD_L,-1.2860409679924723
LO3_L,-0.5554294846528223
VMV2_L,-1.0048171460026485
31pd_L,-1.9083721061555827
31a_L,-1.920304303019648
VVC_L,-0.7624388318761712
25_L,4.283595368353748
s32_L,4.770932329810966
pOFC_L,3.1590393022706524
PoI1_L,0.4401457251856251
Ig_L,0.01086471673404833
FOP5_L,3.0846360935177586
p10p_L,1.4919336442830664
p47r_L,3.318533234446461
TGv_L,-0.4788233698818192
MBelt_L,-0.4173890200263557
LBelt_L,-1.8638207158559978
A4_L,-1.2169876282029466
STSva_L,-1.0275628593673014
TE1m_L,-0.5933467218612226
PI_L,0.45096981463204117
a32pr_L,2.368003846347831
p24_L,1.8169357439381821
V1_R,-1.1358679484359313
MST_R,-1.2750963865493097
V6_R,-1.6433233642950618
V2_R,-1.224965277881126
V3_R,-1.3717821040705735
V4_R,-1.8076985766485232
V8_R,-2.6987048837973173
4_R,-1.570606127173086
3b_R,-1.509535347707725
FEF_R,0.21370893551017917
PEF_R,-0.17924248693968314
55b_R,0.7309445792525859
V3A_R,-1.0115528695261249
RSC_R,-1.1834416279590532
POS2_R,-1.3887013985067334
V7_R,-1.1594378593734478
IPS1_R,-2.0108314077886273
FFC_R,-0.35846598258819107
V3B_R,-1.4008961606579327
LO1_R,-1.3632775931391763
LO2_R,-1.6404385638118208
PIT_R,-1.6695255994249218
MT_R,-1.4398365416383503
A1_R,-1.1236265617492986
PSL_R,-1.2058513166126752
SFL_R,0.0825582968111013
PCV_R,-1.2811595321336149
STV_R,-1.0686750334784663
7Pm_R,-1.2190068450583713
7m_R,-2.3082956065505655
POS1_R,-1.314654720927047
23d_R,-1.5112702021428306
v23ab_R,-1.5653880007298369
d23ab_R,-2.000370732118297
31pv_R,-1.4043022300038204
5m_R,-1.1894561884548378
5mv_R,-1.2243633575974677
23c_R,-1.315391505075949
5L_R,-0.3965254093376285
24dd_R,-1.370843131358361
24dv_R,-0.5706691487353112
7AL_R,-0.42052295490076214
SCEF_R,-0.10597979574956622
6ma_R,0.5739276776439381
7Am_R,-1.4293492563789776
7Pl_R,-0.8248393840861479
7PC_R,-1.3195323623277566
LIPv_R,-1.4890161342705037
VIP_R,-0.903122562456164
MIP_R,-0.9360722936636116
1_R,-0.7915197344747315
2_R,-2.075664152445138
3a_R,-2.028248045757746
6d_R,-1.2791177541052654
6mp_R,-0.9926794326244862
6v_R,0.1915150156988401
p24pr_R,-0.33812854253536956
33pr_R,-0.4687126795491811
a24pr_R,0.5932978786787367
p32pr_R,1.461562973455973
a24_R,3.395931415102674
d32_R,2.5912541496254575
8BM_R,2.1141858883178144
p32_R,2.0381128804132733
10r_R,3.047945077468727
47m_R,3.820881431800084
8Av_R,0.9718472831832674
8Ad_R,1.1601823593852016
9m_R,2.8778513139652193
8BL_R,0.5315875167088175
9p_R,1.185847546646342
10d_R,1.2222672037925306
8C_R,2.2313655960933767
44_R,1.8334407269969388
45_R,1.3704037400860805
47l_R,3.441000266378865
a47r_R,3.2373721112407936
6r_R,1.147153103456158
IFJa_R,3.4830958271931935
IFJp_R,0.300939176265608
IFSp_R,3.0316694919406686
IFSa_R,2.5009502679706626
p9-46v_R,3.078305083834648
46_R,2.7823740831333055
a9-46v_R,4.685629184816982
9-46d_R,3.039785449701155
9a_R,3.4711680789310186
