region,skill
8Av_R,-0.4281344477486298
8Ad_R,-0.5528252598937552
9m_R,-1.7731236518111577
8BL_R,-0.790675157408966
9p_R,-1.6003343858235306
10d_R,-1.0422720133115944
8C_R,-1.5173873773930941
44_R,-1.050467287011352
45_R,-1.76773726955642
47l_R,-1.7383818748615383
a47r_R,-1.5361321172999152
6r_R,0.13513115883695603
IFJa_R,-1.8556178175412996
IFJp_R,-1.713678796981091
IFSp_R,-1.9121027324763873
IFSa_R,-1.7630836569922193
p9-46v_R,-1.6129990164047134
46_R,-0.807125077640331
a9-46v_R,-1.5052368612671212
9-46d_R,-1.3263199223861848
9a_R,-1.2918813771452797
10v_R,-1.6810219423998491
a10p_R,-1.023482395255177
10pp_R,-0.8155922425928985
11l_R,-1.2571323290003955
13l_R,-1.8040797271166182
OFC_R,-0.8792349461156126
47s_R,-2.5050917340710868
LIPd_R,0.09787437079906425
6a_R,3.5886584299384885
i6-8_R,0.5508463475481009
s6-8_R,-0.27265219753346503
43_R,1.9948520087719255
OP4_R,0.4558792219901008
OP1_R,-0.4567287694953754
OP2-3_R,0.8758237409633636
52_R,-0.8878583799142541
RI_R,-0.29699373193493533
PFcm_R,0.4672036225038311
PoI2_R,-0.9854340615184956
TA2_R,-0.8305107702329901
FOP4_R,-2.312987415510423
MI_R,-2.135320573418459
Pir_R,-1.8288563236485098
AVI_R,-3.341499012891049
AAIC_R,-3.235663144865225
FOP1_R,0.2945984957505085
FOP3_R,-1.5715264526539046
FOP2_R,1.5489162241350083
PFt_R,4.560493049776501
AIP_R,2.9582665792697
EC_R,-1.791176615045278
PreS_R,-1.8793099778043079
H_R,-2.0198672325673797
ProS_R,-1.334290658439442
PeEc_R,-1.1819321803700031
STGa_R,-1.6427469678471511
PBelt_R,-0.6383043033925954
A5_R,-1.1866233016126693
PHA1_R,-2.361462068424046
PHA3_R,-1.8435888448866522
STSda_R,-1.351580316911106
STSdp_R,-1.849584974170232
STSvp_R,-1.945944410761493
TGd_R,-1.2597682497638056
TE1a_R,-1.3208355302626187
TE1p_R,-0.9081641873316164
TE2a_R,-1.2365520151169518
TF_R,-1.0326083954295726
TE2p_R,-0.8897080588756212
PHT_R,-0.4606958120283668
PH_R,-0.4379225202965358
TPOJ1_R,-0.7894818269540327
TPOJ2_R,-1.7892048741706017
TPOJ3_R,-2.373237241061555
DVT_R,-0.8865668804282537
PGp_R,-1.3446896437539586
IP2_R,0.6580633548919042
IP1_R,-1.5048891566505402
IP0_R,-1.3246212887931348
PFop_R,0.8897653800142153
PF_R,1.5967519882528078
PFm_R,-0.5259070603999837
PGi_R,-1.6170521907026625
PGs_R,-1.3391262286444507
V6A_R,-0.6306657188386683
VMV1_R,-1.6984011583371221
VMV3_R,-0.8612535608578467
PHA2_R,-2.004853713659329
V4t_R,-1.279834630263517
FST_R,-0.9824444619519191
V3CD_R,-1.3535774576195247
LO3_R,-1.4869589191155919
VMV2_R,-1.3847744216162774
31pd_R,0.3907546871465741
31a_R,-0.4577808699565293
VVC_R,-1.4673776281978728
25_R,-1.6078208085374455
s32_R,-2.0752538946564734
pOFC_R,-1.690839771442411
PoI1_R,-1.0521261842080956
Ig_R,-0.024810682680896746
FOP5_R,-2.2556448256522375
p10p_R,-1.768481795874675
p47r_R,-2.086776880526163
TGv_R,-1.0070403658271758
MBelt_R,-1.0903928577632835
LBelt_R,-0.9796345838619855
A4_R,-0.3454300576687961
STSva_R,-1.2866941293226966
TE1m_R,-1.352835950621227
PI_R,-2.0017371217083864
a32pr_R,-2.470733953385005
p24_R,-2.5220313489975994
