region,sustained attention
23d_R,-0.39033214368113084
v23ab_R,-1.7353135623278912
d23ab_R,-1.4664229373825037
31pv_R,-0.8844991321974139
5m_R,0.050624278844797595
5mv_R,0.3482970580797017
23c_R,-0.6969437711036278
5L_R,0.4646347727313011
24dd_R,0.4992320153300991
24dv_R,2.2308852675694437
7AL_R,1.8198348381398288
SCEF_R,0.38451584898793534
6ma_R,0.03891665367070631
7Am_R,1.8956791298702818
7Pl_R,2.6427575635812377
7PC_R,2.647923677061369
LIPv_R,5.6388959636870615
VIP_R,2.4760419256914883
MIP_R,5.2080609649459895
1_R,0.3993864056285192
2_R,2.4264059332765693
3a_R,0.06662865905797608
6d_R,0.21442415039201657
6mp_R,-0.02302059109713781
6v_R,0.8075880534609492
p24pr_R,1.5881971688012357
33pr_R,-0.6132553116032369
a24pr_R,0.6021466992725582
p32pr_R,1.7235462312619634
a24_R,-3.414470820346614
d32_R,-1.7357848697652005
8BM_R,-0.45620141376048673
p32_R,-3.381373698036506
10r_R,-3.8454863736592944
47m_R,-0.9225428679670461
8Av_R,-0.81928695726183
8Ad_R,-0.9516296792425222
9m_R,-2.659823217992585
8BL_R,-1.9070093032553925
9p_R,-0.7614284965824553
10d_R,-1.0556750768543812
8C_R,-0.6112748652470191
44_R,-0.785572674871864
45_R,-1.3118834944319664
47l_R,-0.48963950782883936
a47r_R,-0.0813262172779839
6r_R,0.9521380542438603
IFJa_R,0.26619805996506446
IFJp_R,0.3538365268593106
IFSp_R,1.0661312197327053
IFSa_R,-0.5800352760484011
p9-46v_R,1.194811114036676
46_R,0.42954750120814394
a9-46v_R,0.6100156789867612
9-46d_R,-0.06920962814440541
9a_R,-0.967089751691118
10v_R,-2.2595959376976182
a10p_R,-0.12527583207534876
10pp_R,0.28091486174138175
11l_R,-1.179242711319547
13l_R,-2.6967126260407324
OFC_R,-2.0957325945021967
47s_R,-1.8924674357649576
LIPd_R,7.396716335074282
6a_R,4.171632906894328
i6-8_R,1.1344360129272424
s6-8_R,-1.1911450502743943
43_R,-0.49988641502277154
OP4_R,-0.633490315395895
OP1_R,1.2359852859001563
OP2-3_R,0.16812821931699432
52_R,-0.7237535791416296
RI_R,1.1156059072454305
PFcm_R,2.182993889282695
PoI2_R,-1.1187934952128005
TA2_R,-2.1321753164867667
FOP4_R,0.7777917213603729
MI_R,1.545934048534721
Pir_R,-3.0502925327594386
AVI_R,2.678024781998627
AAIC_R,0.0343476806676779
FOP1_R,-0.42348735859096875
FOP3_R,0.5746911737080115
FOP2_R,1.1425617314552017
PFt_R,2.282840105918746
AIP_R,4.8386413458051765
EC_R,-2.730654158226123
PreS_R,-2.6216800942132625
H_R,-2.9809861087390397
ProS_R,-1.6930758935257257
PeEc_R,-2.281471566112706
STGa_R,-2.1755874551887397
PBelt_R,-0.8940320669399642
A5_R,-2.3832013614499576
PHA1_R,-1.6417209701430886
PHA3_R,-1.501420033728264
STSda_R,-2.570069989426107
STSdp_R,-1.9559903478954765
STSvp_R,-1.9795009789220526
TGd_R,-1.678050925173809
TE1a_R,-2.095443766780376
TE1p_R,-1.1134258105558277
TE2a_R,-1.3000972978653773
TF_R,-1.6178195912220477
TE2p_R,-0.2940738292018363
PHT_R,-0.6526911444909398
PH_R,1.3086657393195975
TPOJ1_R,-0.964574373949801
TPOJ2_R,-1.4194606484698258
TPOJ3_R,-1.8315071362597783
DVT_R,2.78542513016517
PGp_R,0.4239418452474544
IP2_R,6.040346055588486
IP1_R,4.04025580434316
IP0_R,4.140974104745739
PFop_R,1.2318764991518507
PF_R,1.3813705832347438
PFm_R,0.9885638883122196
PGi_R,-1.4897433750118982
PGs_R,0.3846572108947508
V6A_R,2.467489523523989
VMV1_R,0.4581231056564151
VMV3_R,0.23987621419361868
PHA2_R,-1.7170754820119183
V4t_R,0.8302297360820858
FST_R,0.24559468719359465
V3CD_R,2.4636436883772572
LO3_R,-0.17744928315346883
VMV2_R,-0.7030849303504947
31pd_R,0.1894307819575209
31a_R,-1.1027849012374302
VVC_R,0.24711141265865932
25_R,-3.4503763871761
s32_R,-3.8720538641743105
pOFC_R,-3.0527181755740727
PoI1_R,-1.4902946929803011
Ig_R,-0.015070424041734632
FOP5_R,0.49759886253996166
p10p_R,-1.0581997674354018
p47r_R,-0.09459200500407042
TGv_R,-1.9187051351875826
MBelt_R,-1.2360330748942898
LBelt_R,0.04205057912234728
A4_R,-1.496310765538988
STSva_R,-2.1276568150738164
TE1m_R,-1.4786294172969614
PI_R,-2.499729362994364
a32pr_R,-0.014916800977522245
p24_R,-2.707642488446833
