region,competition
V2_R,1.959138719285059
V3_R,2.6882654499433385
V4_R,4.560536864453512
V8_R,4.625172115002
4_R,-1.6241263523389313
3b_R,-1.5648289799576367
FEF_R,0.32920713477200314
PEF_R,0.8810092634122777
55b_R,0.26460659778528256
V3A_R,1.3323097978631695
RSC_R,-1.5014365843136024
POS2_R,0.24566359204507046
V7_R,3.2885178882841606
IPS1_R,2.9327323674258534
FFC_R,4.820018165019876
V3B_R,4.226705334487178
LO1_R,3.9066837146106255
LO2_R,3.9134678973763606
PIT_R,4.862200984581659
MT_R,1.3193547410308668
A1_R,-3.4560392315410313
PSL_R,-1.5547253434811057
SFL_R,-0.9385508850208045
PCV_R,-1.1942963158470494
STV_R,-1.8071481528922733
7Pm_R,1.1135814807859752
7m_R,-2.027020048532146
