region,distraction
V2_R,-1.032925863462937
V3_R,-1.0365697727154815
V4_R,-0.9593568773973637
V8_R,-1.3203852310065955
4_R,-0.6360476809438961
3b_R,-0.763587930120123
FEF_R,1.4092027688910582
PEF_R,2.774190031649609
55b_R,0.6771975631391979
V3A_R,-0.4398875002841904
RSC_R,-1.0710841478078705
POS2_R,-0.21496645080920046
V7_R,0.422100629975261
IPS1_R,3.053606017196992
FFC_R,-0.8547431836654446
V3B_R,1.1966146202008638
LO1_R,0.7033557323008033
LO2_R,-0.7073949457406111
PIT_R,-1.5701989769572966
MT_R,0.389535218446347
A1_R,-0.13635411888082896
PSL_R,-0.6403315281053008
SFL_R,-0.4365886667675602
PCV_R,-1.3103605232554922
STV_R,-0.848799064984719
7Pm_R,0.972558251561952
7m_R,-2.1938975236872555
