region,empathy
55b_R,-0.06281010683279489
V3A_R,-2.0272131121104042
RSC_R,-0.5409724982207984
POS2_R,-1.735337135925
V7_R,-2.283625054092174
IPS1_R,-2.658620133435567
FFC_R,-0.7157179196801494
V3B_R,-2.2519154481072046
LO1_R,-0.43414795466462813
LO2_R,-0.7285003410957068
PIT_R,-1.2807482422228513
MT_R,0.22967022998853018
A1_R,6.231487365310105
PSL_R,2.5283935100875725
SFL_R,0.010828972987775949
PCV_R,-0.956560293515034
STV_R,2.409532317325362
7Pm_R,-1.54666831253496
7m_R,-2.4840509016477736
POS1_R,-1.9626183094752874
23d_R,0.024375773413536583
v23ab_R,-2.161577264907515
d23ab_R,-2.3082630466702763
31pv_R,-2.164766991715301
5m_R,1.8192680927059404
5mv_R,0.9565044996360744
23c_R,-0.38080970194287933
5L_R,1.946479713637985
24dd_R,0.8125445042586525
24dv_R,0.32017333769353284
7AL_R,0.6244764192638373
SCEF_R,2.0357850800201915
6ma_R,-0.5956343226100087
7Am_R,-0.25084215313170394
7Pl_R,-1.5397637107469644
7PC_R,1.4197742895574201
LIPv_R,-0.05666202206354855
VIP_R,-0.8875383386226152
MIP_R,-1.822420012698282
1_R,1.25086409285843
2_R,3.232194132874945
3a_R,0.9817607089458892
6d_R,0.34929085811513877
6mp_R,0.4942017087122291
6v_R,0.39152699141846836
p24pr_R,1.1143473885671609
33pr_R,3.2720702683619516
a24pr_R,2.689405896446605
p32pr_R,1.2281741557295711
a24_R,-0.9404306237286455
d32_R,0.07435002046628772
8BM_R,0.6854330920209972
p32_R,-0.3639976863106449
10r_R,-1.9819771130155204
47m_R,-0.6184285587529632
8Av_R,-0.774989126504537
8Ad_R,-1.0694396071355863
9m_R,-1.0714785842191161
8BL_R,-1.0532491324494584
9p_R,0.03286643746548061
10d_R,-0.600110159439399
8C_R,-1.4827423068162575
44_R,1.9907318562532121
45_R,2.4343369011060387
47l_R,0.9698436954217897
a47r_R,-1.3705171900736637
6r_R,2.7311037411191856
IFJa_R,-0.4118690150936778
IFJp_R,-0.6154316519809713
IFSp_R,0.08157003168507766
IFSa_R,0.1404074986592399
p9-46v_R,-0.6124493007834375
46_R,-0.3740644503382661
a9-46v_R,-1.0271762673542078
9-46d_R,-0.7600943965888249
9a_R,-0.7080906209061223
10v_R,-1.2313050511342611
a10p_R,-1.3960224084921047
10pp_R,-0.7092232028126114
11l_R,-1.2464056336255482
13l_R,-1.5161333189246893
OFC_R,-0.2063680692107093
47s_R,1.4013402337785545
LIPd_R,-1.8764285075444909
6a_R,-1.3769177151813217
i6-8_R,-1.1303792431325104
s6-8_R,-0.9601032442661637
43_R,3.9996226746149004
OP4_R,2.060989600370921
OP1_R,7.047373231203984
OP2-3_R,4.762831362059795
52_R,6.003702842632087
RI_R,7.159226909861059
PFcm_R,7.8688990506190715
PoI2_R,9.871297209434102
TA2_R,4.499257982934925
FOP4_R,8.475965498791009
MI_R,13.11005428877861
Pir_R,1.693318148305335
AVI_R,5.137910052442043
AAIC_R,6.958634502882818
FOP1_R,8.999541843376486
FOP3_R,7.980111669939598
FOP2_R,4.696687165836748
PFt_R,3.9482832722313344
AIP_R,0.9670663368393252
EC_R,-0.22129546888515142
PreS_R,-1.5038658120924222
H_R,-0.8781299045659362
ProS_R,-1.1119588561423097
PeEc_R,-0.20238429157809745
STGa_R,1.8710704051250677
PBelt_R,2.852371493089939
A5_R,1.6641482592387897
PHA1_R,-1.3286152873327965
PHA3_R,-1.5131510842234404
STSda_R,2.0649609444752204
STSdp_R,1.918870837593923
STSvp_R,1.7114670343525904
TGd_R,0.05515166280338038
TE1a_R,0.4038431068573262
TE1p_R,-0.05009132668811971
TE2a_R,-0.10295480789043687
TF_R,-0.45316420182208217
TE2p_R,-0.5400602332301492
PHT_R,-0.09730497725155984
PH_R,-0.6339385159205491
TPOJ1_R,2.8578474166586902
TPOJ2_R,1.0807148052431867
TPOJ3_R,-0.8777596286200107
DVT_R,-1.7130459717635633
PGp_R,-1.670259662258286
IP2_R,0.4828274816593852
IP1_R,-2.0960168754006223
IP0_R,-2.0295629556305883
PFop_R,4.309745131450306
PF_R,3.4159379586799705
PFm_R,0.39472074105247623
PGi_R,-1.2712389504381558
PGs_R,-1.2569973789992408
V6A_R,-1.6511404421000455
VMV1_R,-0.5783470943932799
VMV3_R,-1.5050371764231643
PHA2_R,-1.6165341589896165
V4t_R,0.15856596269065057
FST_R,0.671305249653853
V3CD_R,-0.8037924254961489
LO3_R,-0.4500101098082625
VMV2_R,-0.9276500916909128
31pd_R,-1.7713212974190595
31a_R,-1.0523339315701505
VVC_R,-1.2960807462442212
25_R,-1.734529523760008
s32_R,-1.3303784383479622
pOFC_R,-1.4804630394178941
PoI1_R,7.838233962037234
Ig_R,7.196910675501473
FOP5_R,3.9078529599094556
p10p_R,-2.005136973690878
p47r_R,-0.8170660907906999
TGv_R,0.16414977333024874
MBelt_R,3.9331274837241015
LBelt_R,4.033083473910316
A4_R,1.8835702180668719
STSva_R,0.7762687164813873
TE1m_R,-0.18604778682988254
PI_R,4.606934366508374
a32pr_R,1.3786995210880795
p24_R,0.4179444391830655
