region,focus
V2_R,-0.11916704321045937
V3_R,-0.40547839372826094
V4_R,-1.0444290930897164
V8_R,-2.0831369619300557
4_R,-1.2646279547035368
3b_R,-1.3498584324335672
FEF_R,0.08483767943743788
PEF_R,0.3667310536409544
55b_R,-0.4818643558537455
V3A_R,0.5820343126180815
RSC_R,2.3615116828441405
POS2_R,2.625497782769343
V7_R,1.9135880014658124
IPS1_R,2.282812017792632
FFC_R,-0.2394101170118245
V3B_R,0.5726776880030611
LO1_R,-1.2329038305070616
LO2_R,-2.054779125504816
PIT_R,-1.7111135780119044
MT_R,-1.108164717975824
A1_R,-0.3555517356951128
PSL_R,-1.1338666266359219
SFL_R,-1.374120950869925
PCV_R,0.24492284834714878
STV_R,-1.2531304554771967
7Pm_R,2.125876592426594
