region,uncertainty
PeEc_R,0.9494192070970489
STGa_R,-0.20453540186364816
PBelt_R,-2.0233626200428314
A5_R,-3.0369852406530335
PHA1_R,2.6784482211854197
PHA3_R,2.406835892198149
STSda_R,-1.4590351809689246
STSdp_R,-1.3623044875571124
STSvp_R,-2.7791780907084433
TGd_R,-0.4495821309459387
TE1a_R,-1.423705087039312
TE1p_R,-1.954593294235601
TE2a_R,-0.8290206623738494
TF_R,0.1314866509380831
TE2p_R,-0.4634146780657752
PHT_R,-1.5261966524369905
PH_R,-1.64647537336112
TPOJ1_R,-1.7544216233424528
TPOJ2_R,-2.4525660248214853
TPOJ3_R,-3.261384231851337
DVT_R,-0.859385249607356
PGp_R,-1.4514161869357762
IP2_R,-1.3583807658915843
IP1_R,-1.6006879500427953
IP0_R,-0.4680863599442546
PFop_R,-0.6904616974918695
PF_R,-1.0386883959464637
PFm_R,-1.3357207890270546
PGi_R,-2.841636869085315
PGs_R,-1.5350721668000065
V6A_R,-1.347581625823072
VMV1_R,0.12901355969290193
VMV3_R,-0.7693728771495971
PHA2_R,5.048011780609462
V4t_R,-1.0419166411739393
FST_R,-1.0937858186567033
V3CD_R,0.4345484335288008
LO3_R,-1.329212277131171
VMV2_R,0.7728334676154749
31pd_R,-0.3899671280832844
31a_R,-0.6792759334514559
VVC_R,0.09376511098490858
25_R,0.9798276993849258
s32_R,1.050406048894194
pOFC_R,0.7307104074956233
PoI1_R,7.046973294896916
Ig_R,6.302737793111627
FOP5_R,2.9292871603873785
p10p_R,-1.4074735732948835
p47r_R,-1.7640766532090648
TGv_R,-0.60213565103593
MBelt_R,1.5635024044198536
LBelt_R,-0.6207807230054425
A4_R,-2.158728214663039
STSva_R,-1.2441929566202454
TE1m_R,-1.3770991338186807
PI_R,2.867503241532705
a32pr_R,2.7077281114536693
p24_R,3.021118324445094
