region,selective attention
i6-8_L,1.427073455487183
s6-8_L,-0.8644139212936612
43_L,-0.5340973078687091
OP4_L,0.1002002461817477
OP1_L,0.7027553390629199
OP2-3_L,-0.6430797773659849
52_L,1.9908831900845967
RI_L,1.9102738317156565
PFcm_L,1.9126292436551577
PoI2_L,-1.6530734328393908
TA2_L,-1.3545062056063222
FOP4_L,-1.8061679368908161
MI_L,-1.7289811323199171
Pir_L,-3.383339714589548
AVI_L,-1.0808325824859677
AAIC_L,-3.4036919818618725
FOP1_L,-1.1801128251276927
FOP3_L,-1.3884071898150452
FOP2_L,-0.5629298099298115
PFt_L,-0.30228507267940785
AIP_L,3.4462222707225383
EC_L,-2.939659410389408
PreS_L,-2.107413451040225
H_L,-2.9262003294219117
ProS_L,-1.1610615846193377
PeEc_L,-2.6659066241784184
STGa_L,-2.105426635019198
PBelt_L,8.741562990068497
A5_L,2.9956221154362224
PHA1_L,-1.9003957405542793
PHA3_L,-1.6173969191714357
STSda_L,0.10300119810199809
STSdp_L,6.829371045297527
STSvp_L,1.257096794507462
TGd_L,-2.03841031442179
TE1a_L,-1.426939016260654
TE1p_L,-0.6394803294322684
TE2a_L,-1.1799803456522704
TF_L,-2.027908246088264
TE2p_L,-0.9304135853517742
PHT_L,1.7027676223047683
PH_L,5.696432373305172
TPOJ1_L,3.611962497219452
TPOJ2_L,0.7441678504423827
TPOJ3_L,0.49496605839899066
DVT_L,1.6509276371931236
PGp_L,2.7146217616821664
IP2_L,4.209968480661152
IP1_L,3.1223492902437924
IP0_L,4.846941356033938
PFop_L,-0.4093151628886856
PF_L,0.03480032739192929
PFm_L,0.7771351453185559
PGi_L,-0.9789181713589323
PGs_L,0.8524391812715605
V6A_L,2.365145226913483
VMV1_L,-1.2283640968763123
VMV3_L,0.5491877050570605
PHA2_L,-2.28781377731343
V4t_L,12.383024558803044
FST_L,13.06116812990878
V3CD_L,3.01711532054073
LO3_L,5.056330100347143
VMV2_L,-1.0187392993207713
31pd_L,-1.5116463093045627
31a_L,-1.483632442543342
VVC_L,0.29440364196930485
25_L,-2.616006215911011
s32_L,-2.604258659339617
pOFC_L,-1.561784873907114
PoI1_L,-0.6616746820918359
Ig_L,-0.9182435243005356
FOP5_L,-0.7226025180864651
p10p_L,-1.1445035526202563
p47r_L,-1.5127082719016216
TGv_L,-1.6208425631487577
MBelt_L,3.2238370509538066
LBelt_L,8.226806809838964
A4_L,3.1753166186410304
STSva_L,-1.6059224260302698
TE1m_L,-0.8467861153852246
PI_L,-1.8445588471197791
a32pr_L,-1.937450001031974
p24_L,-3.5218330806238756
V1_R,1.3747220494833245
MST_R,13.769240882787974
V6_R,3.6409038598370373
V2_R,1.0778880093610779
V3_R,1.5104470498033538
V4_R,3.395896288838305
V8_R,3.1740022672756503
4_R,-0.8563809012822038
3b_R,-0.7944520920073379
FEF_R,2.786546214707828
PEF_R,1.9068096435750062
55b_R,0.8904551408995639
V3A_R,2.7774823104827373
RSC_R,-1.361201658075975
POS2_R,1.2521116920568134
V7_R,4.961779001236598
IPS1_R,4.545730512005512
FFC_R,1.3738753575662064
