region,movement
V1_R,-0.08440380942905212
MST_R,0.22433365680833406
V6_R,0.2981354942352317
V2_R,-0.2686896277726154
V3_R,-0.32580823624141786
V4_R,-0.7861914014570146
V8_R,-0.6786471722182047
4_R,1.9412862261294852
3b_R,1.9716180702397927
FEF_R,1.678896756941402
PEF_R,0.7114773685194222
55b_R,1.061197226205692
V3A_R,-0.031774044154831635
RSC_R,-0.1465434577228764
POS2_R,0.3433544520238056
V7_R,-0.9615497179981012
IPS1_R,-0.9991875809658103
FFC_R,-0.6985692571758731
V3B_R,-0.8613881031509657
LO1_R,0.789519719679286
LO2_R,0.9458200992101052
PIT_R,-0.2910610654035787
MT_R,0.35097131460317393
A1_R,0.9180077933223763
PSL_R,0.8321633322225516
SFL_R,0.8053077994819456
PCV_R,0.023789101948234755
