region,social cognition
MST_R,6.512289320081177
V6_R,0.09015599862850655
V2_R,0.6980306080758888
V3_R,1.1490532212563436
V4_R,3.1520529982726466
V8_R,3.3835884403483956
4_R,-1.3578374373650528
3b_R,-1.2487873755488181
FEF_R,0.1783594783460116
PEF_R,0.36206191685241407
55b_R,0.1906519593373504
V3A_R,-0.3260732029677721
RSC_R,-0.7885462501371111
POS2_R,1.1990089893274267
V7_R,-0.3861649212910441
IPS1_R,-0.10881662046453994
FFC_R,9.554743738779237
V3B_R,1.069558707406846
LO1_R,2.324554489455849
LO2_R,3.34477234806315
PIT_R,4.787763341001432
MT_R,4.490037788167536
A1_R,-1.8331358089909622
PSL_R,-0.6133711569754886
SFL_R,-0.17822489903006916
PCV_R,0.11379671507558466
STV_R,0.5346249331962014
