region,inhibition
47m_R,-0.5610973111337424
8Av_R,-0.28994366639953884
8Ad_R,-0.41889124700781083
9m_R,-1.8935338201258245
8BL_R,-1.1237710613823533
9p_R,-1.025964131611596
10d_R,-1.2362868721275646
8C_R,-0.6303821385655217
44_R,1.708223641032383
45_R,0.4385110517067423
47l_R,0.29915986651628645
a47r_R,-0.9276706836403475
6r_R,2.743140342344005
IFJa_R,0.48890147151955216
IFJp_R,-0.09616026553599451
IFSp_R,0.3409219916117493
IFSa_R,0.2520250892566105
p9-46v_R,-0.019446813136347826
46_R,0.3323785458053136
a9-46v_R,-0.34717223929276025
9-46d_R,-0.40313749644321795
9a_R,-0.766741139619112
10v_R,-2.2555318800668296
a10p_R,-0.8600080767986381
10pp_R,-0.8162790934388112
11l_R,-1.1292687271692328
13l_R,-2.1194426997330527
OFC_R,-1.3675114386878295
47s_R,-1.5793534540576741
LIPd_R,1.6671119564408157
6a_R,4.145109047930376
i6-8_R,1.0638901039094324
s6-8_R,-0.503121141421364
43_R,3.0248359510283147
OP4_R,0.41764828499445117
OP1_R,1.3361089994655795
OP2-3_R,1.9202927634867049
52_R,-0.20247420910995625
RI_R,1.1120026286912328
PFcm_R,2.475215921347382
PoI2_R,0.4615095974255799
TA2_R,-0.39068905164002354
FOP4_R,0.7892881691308363
MI_R,1.4776077039294517
Pir_R,-1.8724488616569972
AVI_R,0.09829327415442085
AAIC_R,0.02183349892240361
FOP1_R,2.5439335014684823
FOP3_R,0.3167222952524193
FOP2_R,2.9367518118878886
PFt_R,5.375171767627889
AIP_R,4.070277700715479
EC_R,-2.685457560146482
PreS_R,-2.9906696475416084
H_R,-3.0320327067516497
ProS_R,-2.319146732741066
PeEc_R,-2.0978302758197604
STGa_R,-1.4268382636766914
PBelt_R,-0.8849191258989185
A5_R,-2.3947523404693554
PHA1_R,-3.307802444832938
PHA3_R,-2.853613407554281
STSda_R,-2.0649921881068596
STSdp_R,-2.8143901831609437
STSvp_R,-2.8698419386002993
TGd_R,-1.6873490633448027
TE1a_R,-1.8675164204899781
TE1p_R,-1.157292204122489
TE2a_R,-1.4583732974606682
TF_R,-1.5976494988836596
TE2p_R,-1.2231985550848767
PHT_R,-0.5124734774813462
PH_R,-0.944993685102575
TPOJ1_R,-0.918044158766725
TPOJ2_R,-2.1735452375906497
TPOJ3_R,-2.833868066757661
DVT_R,-0.5829690134577107
PGp_R,-1.5967137691855944
IP2_R,2.602773412609746
IP1_R,-0.42687247210285983
IP0_R,-1.2469925495948824
PFop_R,1.9113078299457347
PF_R,2.6939666350945615
PFm_R,0.1709760147264852
PGi_R,-1.7561668725110373
PGs_R,-1.2446650101691004
V6A_R,-0.5271869635298355
VMV1_R,-2.110355603889612
VMV3_R,-2.175932631935471
PHA2_R,-3.0432678639535986
V4t_R,-2.3611908238363473
FST_R,-1.6572573510870554
V3CD_R,-1.7100668963456949
LO3_R,-1.861190298842465
VMV2_R,-2.289624207256967
31pd_R,0.08815939200537273
31a_R,-0.10711625682574845
VVC_R,-2.4917003795443775
25_R,-1.9955897707032788
s32_R,-2.3992352470574967
pOFC_R,-2.0535491373468346
PoI1_R,-0.18302524471957005
Ig_R,1.1897653279230902
FOP5_R,-0.06788858893208506
p10p_R,-1.6049528164109534
p47r_R,-0.6020947360554423
TGv_R,-1.6250292053284172
MBelt_R,-0.8217619411382281
LBelt_R,-0.7243367242962702
A4_R,-0.8659830435516046
STSva_R,-2.0373893993865537
TE1m_R,-1.8236617726162039
PI_R,-1.8814718953371297
a32pr_R,-0.2292156686737791
p24_R,-1.2831274329891476
