region,task difficulty
ProS_L,-0.7773173891652606
PeEc_L,-1.538278096157845
STGa_L,-0.436633933868489
PBelt_L,-1.3783954148825186
A5_L,-0.2996511284255404
PHA1_L,-0.9760334786016237
PHA3_L,-0.9486349363343546
STSda_L,-0.41550531799800494
STSdp_L,-0.13137643940613195
STSvp_L,-0.39796887354526156
TGd_L,-1.007674021504916
TE1a_L,-0.5550672717068561
TE1p_L,-0.25657974848598486
TE2a_L,-0.9012142066914482
TF_L,-1.0117205251775336
TE2p_L,-0.8627516121458083
PHT_L,-0.36973991797015104
PH_L,0.028849920637359035
TPOJ1_L,-0.6066446185719399
TPOJ2_L,0.627479166137773
TPOJ3_L,2.4264853927482233
DVT_L,0.9218798568061602
PGp_L,0.865930584008905
IP2_L,4.592769472347966
IP1_L,3.5145932581997474
IP0_L,2.1872072369362012
PFop_L,-1.107579714146752
PF_L,0.16219889894386377
PFm_L,0.18757990094965352
PGi_L,0.5703423213594069
PGs_L,0.3433566562930011
V6A_L,0.5963909038819958
VMV1_L,-0.02427141688168644
VMV3_L,1.2914224089961712
PHA2_L,-1.0384965971621671
V4t_L,-0.2163713227770136
FST_L,-1.3474623686817926
V3CD_L,-0.17590330572213111
LO3_L,2.194807477108857
VMV2_L,-0.0691010838735615
31pd_L,-0.9775292481607075
31a_L,-0.6822035590445307
VVC_L,0.9756656281461704
25_L,-2.6831665111586642
s32_L,-2.4052448256557253
pOFC_L,-2.1300739573110876
PoI1_L,-1.9352567187254974
Ig_L,-1.565286576949776
FOP5_L,0.47451288034525496
p10p_L,-0.6349373875806418
p47r_L,-0.2273280420512094
TGv_L,-1.025897214603039
MBelt_L,-1.174396560780075
LBelt_L,-1.5373222920519585
A4_L,-0.8554601945185639
STSva_L,-0.8671125451903252
TE1m_L,-0.3246777927780927
PI_L,-0.9839360047935358
a32pr_L,0.5435182812578961
p24_L,-2.4853340608638073
V1_R,0.1321485751543474
MST_R,-1.0097348305115417
V6_R,-0.39418378654415326
V2_R,-0.04770224798547252
V3_R,0.08711798278768981
V4_R,0.27128828692051216
V8_R,0.6460724062653218
4_R,-0.48287559216328113
3b_R,-0.4328541707882574
FEF_R,0.7781190204103545
PEF_R,2.0301838426303
55b_R,-0.01349284511348837
V3A_R,-0.46410161875791256
RSC_R,-0.33699982458442046
POS2_R,0.7468673433543938
V7_R,1.123789695365729
IPS1_R,4.254819674046867
FFC_R,0.956433885828621
V3B_R,2.601129584155102
LO1_R,-0.06639503618689757
LO2_R,-0.38301224959167257
PIT_R,-0.1472846068531533
MT_R,-0.9380143938678996
A1_R,-1.5250115636255361
PSL_R,-0.4703378659542982
SFL_R,-0.9532804997398828
PCV_R,-1.6485640905474266
STV_R,-0.8994679783766557
7Pm_R,1.6368595029720872
7m_R,-0.9690674009650218
POS1_R,-0.3377152691912698
23d_R,0.22189490672569656
v23ab_R,-0.7183454709090283
d23ab_R,-0.9760627554040823
31pv_R,-0.6528621804731379
5m_R,-1.3734149772786892
5mv_R,-1.2769867282157104
23c_R,-1.0692794629000286
5L_R,-0.7356678773829299
24dd_R,0.7369186834471845
24dv_R,2.279970764986171
7AL_R,-0.48583033962658645
SCEF_R,1.3300403727043377
6ma_R,0.006059898873985492
7Am_R,-0.7671951248536827
7Pl_R,0.7046415037209725
7PC_R,0.13952268654865957
LIPv_R,2.2384790593216697
VIP_R,-0.5290886938807581
MIP_R,2.688406822082376
1_R,-0.503451153525679
2_R,-0.20718894679341557
3a_R,-0.19864880075136138
